event_class,quadrature_error_full_mean_last40,quadrature_error_ring_mean_last40,hex_bypass_delta_error
b54r_a_feedback,0.0638904267699574,0.6352051709645318,-0.5713147441945744
b54r_countmatched_dphi_1,0.2112672580726682,0.7809181345908209,-0.5696508765181527
b54r_countmatched_dphi_2,0.1408887215668744,0.7267438701151295,-0.585855148548255
b54r_countmatched_dphi_3,0.1526367009825747,0.7644414758052587,-0.6118047748226841
b54r_d2phi_feedback,0.1754720128325608,0.8110683333820108,-0.6355963205494499
b54r_deps_feedback,0.1374645949396254,0.7562470754950538,-0.6187824805554283
b54r_dh_feedback,0.1373724307065095,0.7562248971620751,-0.6188524664555655
b54r_dphi_feedback,0.0954441486213615,0.6940648712489528,-0.5986207226275914
b54r_eta_zero,0.0243714425256356,0.5691723962399591,-0.5448009537143234
b54r_event_block_shuffled_phi_memory,0.0015875846359866,0.5293743407722327,-0.5277867561362459
b54r_lag_shifted_phi_memory,0.002764181274096,0.5308320906611098,-0.5280679093870138
b54r_minus_phi_memory,0.0013328337224096,0.5256548543894538,-0.524322020667044
b54r_plus_phi_memory,0.0040365116408624,0.5305809074618955,-0.526544395821033
b54r_random_ar_feedback,0.0597566817319342,0.6293495059900067,-0.5695928242580723
b54r_session_shuffled_phi_memory,0.0689493528639929,0.6539562921297918,-0.5850069392657988
b54r_shuffled_phi_memory,0.0765255948876396,0.6696257096524075,-0.5931001147647679
