event_class,event_role,n_seed_events,mean_seed_strength,total_impulse_budget,primary_endpoint_name,topology_class,n_runs,steps,topology_name,topology_role,condition,n_nodes,n_directed_edges,edge_convention,topology_notes,mean_bounded_differentiated_recovery,sd_bounded_differentiated_recovery,effect_vs_time_shifted,effect_vs_random_event,effect_vs_C8,effect_vs_degree_null_mean,p_vs_time_shifted_and_random,p_vs_C8,p_vs_degree_null,D12_D24_recovery_improvement,D12_D24_recovery_improvement_sd,D12_recovery,D12_recovery_sd,D24_recovery,D24_recovery_sd,bounded_non_runaway_score,bounded_non_runaway_score_sd,differentiated_recovery,differentiated_recovery_sd,late_window_stability,late_window_stability_sd,mean_phase_locking,mean_phase_locking_sd,n_events_evaluated,n_events_evaluated_sd,non_collapsed_differentiation_score,non_collapsed_differentiation_score_sd,post_event_readout_score,post_event_readout_score_sd,primary_q_value,max_contrast_effect_vs_time_shifted,passes_effect_controls,passes_stability_gates,passes_contrast_switch_gate,positive_candidate,interpretation
b54r_a_feedback,adversarial_control,837,0.078353374866646,65.5817747633827,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,endogenous,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.016190671206253,0.0019807736003952,0.0093313990225924,0.0021996923394687,0.019085830800191,0.0042911662092736,0.199288256227758,0.0070921985815602,0.0332409972299169,0.018294315903503,0.0022242310736048,0.7679373220038058,0.0011705821283947,0.6388983171834336,0.0013078181307692,0.976533531278734,0.0011171492666724,0.016190671206253,0.0019807736003952,0.1617466499429429,0.0056072307055156,0.0693745216992128,0.0007941249701161,231.0,0.0,0.9062194698122648,0.0018603284756593,0.7679373220038058,0.0011705821283947,0.4049031237643337,,True,False,False,False,contrast_switch_control
b54r_a_feedback,adversarial_control,837,0.078353374866646,65.5817747633827,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,time_shifted,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.0068592721836605,0.0015150151116585,,,,,,,,0.0090890902180347,0.0018773831656584,0.7671417702590682,0.0010484544093237,0.6391082286942589,0.0014428282162621,0.9760960848858482,0.0012781440021374,0.0068592721836605,0.0015150151116585,0.021070434114544,0.0053717350212125,0.0705108871766074,0.0007106353308272,231.0,0.0,0.9062828247895328,0.0017301856034074,0.7671417702590682,0.0010484544093237,,,False,False,False,False,control_or_reference_condition
b54r_a_feedback,adversarial_control,837,0.078353374866646,65.5817747633827,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,random_event,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.0139909788667842,0.0052100341940506,,,,,,,,0.0158771675483632,0.0059728784867752,0.7625676827031842,0.0114251788340313,0.6380104216113845,0.0201471957555518,0.9761038152027964,0.0013546284223302,0.0139909788667842,0.0052100341940506,0.2403907890777412,0.1410174379457976,0.0692199620873585,0.00272242678343,230.65714285714284,2.4807010200788824,0.903924152292218,0.0051658941592948,0.7627139933473075,0.0113540390854276,,,False,False,False,False,control_or_reference_condition
b54r_a_feedback,adversarial_control,837,0.078353374866646,65.5817747633827,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,C8(1),contrast,c8_same_schedule,8,8,directed clockwise 1-jump,primary non-D12 contrast,-0.002895159593938,0.0012451737212593,,,,,,,,-0.0049274925994989,0.0020152410477448,0.4837113544190892,0.003495867086588,0.4397349988322356,0.0046235922696104,0.8570963154164079,0.0022049607195235,-0.002895159593938,0.0012451737212593,0.6249008680800653,0.0109585324394471,0.1136781786923323,0.0019449350313853,231.0,0.0,0.7127101602255208,0.0007879188652496,0.5045105698741998,0.0032751017797088,,,False,False,False,False,control_or_reference_condition
b54r_countmatched_dphi_1,countmatched_control,502,0.0784994411719073,39.406719468297474,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,endogenous,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.019509218766372,0.0014254167077252,0.0136779205797319,0.0092646113042444,0.0172165617439961,0.0051316908610624,0.0320284697508896,0.0070921985815602,0.0110803324099723,0.0244053122411301,0.0018537094244971,0.678779340340664,0.0037078083412643,0.5633215207402139,0.0036613869964123,0.967533274428603,0.0012457836666931,0.019509218766372,0.0014254167077252,0.1784350608776019,0.0120188808686457,0.1563384876158451,0.0035046950497259,200.0,0.0,0.8262893219928423,0.004189307319355,0.6869797639672124,0.0035033662358952,0.2467378410438908,,True,False,False,False,contrast_switch_control
b54r_countmatched_dphi_1,countmatched_control,502,0.0784994411719073,39.406719468297474,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,time_shifted,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.0058312981866401,0.0017551962418968,,,,,,,,0.0074729532381041,0.0022637305532684,0.6828310543062965,0.0017368384128358,0.5376804503599457,0.0020947101186372,0.9676301710029052,0.0011795024292939,0.0058312981866401,0.0017551962418968,0.0744562409483694,0.0113491657748125,0.1464759798699674,0.0021520622484583,200.0,0.0,0.8321687863554187,0.0038627205596858,0.6852129750198845,0.0017663476358414,,,False,False,False,False,control_or_reference_condition
b54r_countmatched_dphi_1,countmatched_control,502,0.0784994411719073,39.406719468297474,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,random_event,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.0102446074621276,0.0062387416955587,,,,,,,,0.0125278282118719,0.007710900941746,0.6652289354524928,0.0205519780286346,0.5478358334589377,0.0224781877946815,0.9669720721794054,0.0013246453856706,0.0102446074621276,0.0062387416955587,0.2257753992284566,0.1408203271824432,0.1585291545568521,0.0051517291948335,208.3357142857143,4.162092046565241,0.8288749015105188,0.0075975046128002,0.6691816476463375,0.0194243956893972,,,False,False,False,False,control_or_reference_condition
b54r_countmatched_dphi_1,countmatched_control,502,0.0784994411719073,39.406719468297474,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,C8(1),contrast,c8_same_schedule,8,8,directed clockwise 1-jump,primary non-D12 contrast,0.0022926570223759,0.0014919562565259,,,,,,,,0.0038471555200036,0.0024794091795649,0.492290918346939,0.0042499314527654,0.484043018126948,0.0049140520898745,0.8665297401096647,0.0021989635627089,0.0022926570223759,0.0014919562565259,0.1835733513669862,0.0095914338823717,0.152391661282097,0.0036809382550799,200.0,0.0,0.699044655589765,0.0015840007030018,0.5192345146642824,0.0039520110303722,,,False,False,False,False,control_or_reference_condition
b54r_countmatched_dphi_2,countmatched_control,502,0.0799795321813722,40.14972515504887,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,endogenous,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.0178630168432637,0.0013934351720685,0.0013134408067451,0.0092872349878104,0.0190336759895184,0.0053712362180218,0.1281138790035587,0.0070921985815602,0.0083102493074792,0.0218879856434859,0.001759967493735,0.7074237743345861,0.0025110890564121,0.5799397210214602,0.0034244314634538,0.96816194172925,0.0012041718402139,0.0178630168432637,0.0013934351720685,0.2177258436366982,0.0124077072436915,0.1430328923006088,0.0021683279132374,205.0,0.0,0.838058820140835,0.0032892313154545,0.7075320316990632,0.0024777592458801,0.3416370106761566,,True,False,False,False,contrast_switch_control
b54r_countmatched_dphi_2,countmatched_control,502,0.0799795321813722,40.14972515504887,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,time_shifted,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.0165495760365185,0.0014274457271029,,,,,,,,0.0209585395681322,0.0018081502704683,0.7272280170576031,0.0028137642129869,0.59125257613404,0.0039080204366395,0.9685064777187836,0.0011746173902476,0.0165495760365185,0.0014274457271029,0.1145820241659155,0.0097593924822717,0.1319374210096751,0.001558886424106,205.0,0.0,0.8415454928096673,0.003509193814228,0.7272589893512704,0.0027851495423519,,,False,False,False,False,control_or_reference_condition
b54r_countmatched_dphi_2,countmatched_control,502,0.0799795321813722,40.14972515504887,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,random_event,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.0085757818554533,0.0058820398157296,,,,,,,,0.0108900204559316,0.0070054645524262,0.6618291498884376,0.0171055390876734,0.5402004690159987,0.0210254608474013,0.9677129557292936,0.001207426089813,0.0085757818554533,0.0058820398157296,0.17687629492197,0.1363686131629085,0.149779891880435,0.0047046397547844,208.65,4.176336398601736,0.8384554065421952,0.0073183089724069,0.6657427388243272,0.0161845276395697,,,False,False,False,False,control_or_reference_condition
b54r_countmatched_dphi_2,countmatched_control,502,0.0799795321813722,40.14972515504887,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,C8(1),contrast,c8_same_schedule,8,8,directed clockwise 1-jump,primary non-D12 contrast,-0.0011706591462546,0.0011972336425154,,,,,,,,-0.0017055056637884,0.0019929139751907,0.4990898858502817,0.0036868807167985,0.4678478213665638,0.0031112088618703,0.8645402609273596,0.0020819601088649,-0.0011706591462546,0.0011972336425154,0.3392211556248308,0.01790411854601,0.1537637016150287,0.004516211602198,205.0,0.0,0.6975491694752533,0.0014203396920644,0.5137683726201091,0.003174386594345,,,False,False,False,False,control_or_reference_condition
b54r_countmatched_dphi_3,countmatched_control,502,0.0818697373650326,41.09860815724639,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,endogenous,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.0085529128069202,0.0014602802939234,-0.0028165525782453,-0.0004259936783338,0.0066620731320169,0.0015223134402893,0.7651245551601423,0.0070921985815602,0.2493074792243767,0.0121773451696838,0.001857347189188,0.675243128808017,0.0020376182795602,0.536008705599503,0.0020347582276554,0.9662953589782712,0.001095679608156,0.0085529128069202,0.0014602802939234,0.252774992011793,0.0063127320164386,0.1445686189134967,0.002134670897909,205.0,0.0,0.848766773735788,0.0021446645879444,0.6752611125762013,0.0020234931609054,0.8866293848500254,,False,False,False,False,contrast_switch_control
b54r_countmatched_dphi_3,countmatched_control,502,0.0818697373650326,41.09860815724639,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,time_shifted,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.0113694653851656,0.0016022996974747,,,,,,,,0.0149660395782519,0.0020489960855038,0.6780360870403997,0.0025906236483988,0.5457409887537688,0.0019112040300772,0.9669319044053476,0.001192980491258,0.0113694653851656,0.0016022996974747,1.844734937580131e-05,0.0002174910415626,0.1417348779756939,0.0017807071441226,205.0,0.0,0.8517363335901925,0.0017634546166022,0.6785733660885431,0.0021541990770058,,,False,False,False,False,control_or_reference_condition
b54r_countmatched_dphi_3,countmatched_control,502,0.0818697373650326,41.09860815724639,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,random_event,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.0089789064852541,0.0056735014378161,,,,,,,,0.0117723805472527,0.0067848493564518,0.6825078138541988,0.0172238922293865,0.5440587532163318,0.0230371329669021,0.9663516328721072,0.0014351508947225,0.0089789064852541,0.0056735014378161,0.1869791914084053,0.137758691377425,0.1454072570204763,0.0045928486373341,208.84285714285716,4.672520623773836,0.8443458892784196,0.0065699881405244,0.6835819507774824,0.0168786384319799,,,False,False,False,False,control_or_reference_condition
b54r_countmatched_dphi_3,countmatched_control,502,0.0818697373650326,41.09860815724639,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,C8(1),contrast,c8_same_schedule,8,8,directed clockwise 1-jump,primary non-D12 contrast,0.0018908396749033,0.0013334097646954,,,,,,,,0.0028654749701296,0.0021873364510082,0.5003268223474672,0.0034145309535539,0.5101110689507227,0.0028466204568801,0.8652918789974043,0.0020621232715457,0.0018908396749033,0.0013334097646954,0.2575740268412244,0.0136891435351741,0.1601432344280663,0.0022603477255744,205.0,0.0,0.6963387863571742,0.0011452584715937,0.5348891693637575,0.0027754887013017,,,False,False,False,False,control_or_reference_condition
b54r_d2phi_feedback,adversarial_control,2387,0.0826064432603402,197.18158006243203,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,endogenous,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.0056876372773071,0.0012681064383309,-0.0014432663453899,0.0012298101108134,0.0041182754750365,0.0001346513018109,0.6298932384341637,0.0070921985815602,0.4709141274238227,0.0065863192162363,0.0015239553677533,0.6841928058123027,0.0005298062849292,0.5215197281818295,0.0006040607916022,0.9628158315295576,0.0013157323145703,0.0056876372773071,0.0012681064383309,0.0767508374470699,0.0027409348874067,0.1619282101291291,0.0003252309438768,238.0,0.0,0.8476634343508915,0.0007211110408421,0.6841928058123027,0.0005298062849292,0.8866293848500254,,False,False,False,False,contrast_switch_control
b54r_d2phi_feedback,adversarial_control,2387,0.0826064432603402,197.18158006243203,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,time_shifted,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.0071309036226971,0.0012558059662423,,,,,,,,0.0084384818003984,0.0015369476950766,0.6851527686036762,0.000479819209624,0.5228027617261314,0.0005620362255376,0.9626906834346716,0.0012159879101972,0.0071309036226971,0.0012558059662423,0.0346432230256078,0.0016486620522161,0.1615418325484233,0.0002895504725316,238.0,0.0,0.846847748317526,0.000794279238652,0.6851527686036762,0.000479819209624,,,False,False,False,False,control_or_reference_condition
b54r_d2phi_feedback,adversarial_control,2387,0.0826064432603402,197.18158006243203,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,random_event,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.0044578271664937,0.0043262032043695,,,,,,,,0.0054468969788191,0.0052759803315003,0.6592974415232212,0.0119629319608632,0.5224826951392902,0.0153214284030198,0.962874655694504,0.0012424953292495,0.0044578271664937,0.0043262032043695,0.0662341224540914,0.0572720269007559,0.1622164232063247,0.002351885835889,237.97857142857143,0.1448081066622378,0.8496046992140538,0.0033287842568769,0.6598106081218615,0.01183266799305,,,False,False,False,False,control_or_reference_condition
b54r_d2phi_feedback,adversarial_control,2387,0.0826064432603402,197.18158006243203,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,C8(1),contrast,c8_same_schedule,8,8,directed clockwise 1-jump,primary non-D12 contrast,0.0015693618022706,0.0011060746852989,,,,,,,,0.0026543921706968,0.0018394849583191,0.4996693400858966,0.0003630732230695,0.5414742240282809,0.000343159988386,0.8655134088007977,0.002217257239275,0.0015693618022706,0.0011060746852989,0.0984975817857518,0.004510933702907,0.1445116579379445,0.0003568509360398,238.0,0.0,0.6897839364988361,0.0007299342096116,0.5494046783602252,0.0002546414192206,,,False,False,False,False,control_or_reference_condition
