event_class,event_role,n_seed_events,mean_bounded_differentiated_recovery,effect_vs_time_shifted,effect_vs_random_event,effect_vs_C8,effect_vs_degree_null_mean,p_vs_time_shifted_and_random,p_vs_C8,p_vs_degree_null,mean_late_window_stability,quadrature_error_full_mean_last40,quadrature_error_ring_mean_last40,hex_bypass_delta_error
b54r_countmatched_dphi_1,countmatched_control,502,0.019509218766372,0.0136779205797319,0.0092646113042444,0.0172165617439961,0.0051316908610624,0.0320284697508896,0.0070921985815602,0.0110803324099723,0.1782357909457931,0.2112672580726682,0.7809181345908209,-0.5696508765181527
b54r_plus_phi_memory,primary_phi_fes,502,0.025674236388472,0.0070716011421415,0.0062801972160565,0.030749277131811,0.0091072767951786,0.0427046263345195,0.0070921985815602,0.0055401662049861,0.6160685283394435,0.0040365116408624,0.5305809074618955,-0.526544395821033
b54r_event_block_shuffled_phi_memory,adversarial_control,574,0.0246740997303388,0.0059638187323835,0.005969498208122,0.0283139204617533,0.009957739481736,0.0462633451957295,0.0070921985815602,0.002770083102493,0.6127695514804773,0.0015875846359866,0.5293743407722327,-0.5277867561362459
b54r_dh_feedback,adversarial_control,1120,0.0121916183856794,0.0024315570601114,0.0048030631535464,0.0125295950715646,0.0019667348123201,0.0889679715302491,0.0070921985815602,0.1634349030470914,0.1238791873753664,0.1373724307065095,0.7562248971620751,-0.6188524664555655
b54r_deps_feedback,adversarial_control,1120,0.012150584980309,0.0025759235422433,0.0048009856480045,0.0126391356374284,0.0021391226317071,0.096085409252669,0.0070921985815602,0.1108033240997229,0.1244999134821534,0.1374645949396254,0.7562470754950538,-0.6187824805554283
b54r_countmatched_dphi_2,countmatched_control,502,0.0178630168432637,0.0013134408067451,0.0092872349878104,0.0190336759895184,0.0053712362180218,0.1281138790035587,0.0070921985815602,0.0083102493074792,0.2193777678535145,0.1408887215668744,0.7267438701151295,-0.585855148548255
b54r_a_feedback,adversarial_control,837,0.016190671206253,0.0093313990225924,0.0021996923394687,0.019085830800191,0.0042911662092736,0.199288256227758,0.0070921985815602,0.0332409972299169,0.1619273414246056,0.0638904267699574,0.6352051709645318,-0.5713147441945744
b54r_shuffled_phi_memory,adversarial_control,2755,0.0061845234891476,0.001335820893338,0.0029386022673998,0.0059401436517621,0.0001358277158094,0.2241992882562277,0.0070921985815602,0.4792243767313019,0.0,0.0765255948876396,0.6696257096524075,-0.5931001147647679
b54r_eta_zero,adversarial_control,763,0.0150715915372677,0.0097804226351287,0.0017242451544355,0.0195482295876134,0.004242953383825,0.2277580071174377,0.0070921985815602,0.0554016620498614,0.3912638827748608,0.0243714425256356,0.5691723962399591,-0.5448009537143234
b54r_lag_shifted_phi_memory,adversarial_control,480,0.0230357869380279,-0.0026033099950039,0.0023530310312838,0.0264463736895158,0.007835600209615,0.6014234875444839,0.0070921985815602,0.002770083102493,0.4520266896125421,0.002764181274096,0.5308320906611098,-0.5280679093870138
b54r_d2phi_feedback,adversarial_control,2387,0.0056876372773071,-0.0014432663453899,0.0012298101108134,0.0041182754750365,0.0001346513018109,0.6298932384341637,0.0070921985815602,0.4709141274238227,0.0770390921446739,0.1754720128325608,0.8110683333820108,-0.6355963205494499
b54r_minus_phi_memory,adversarial_control,581,0.019920661883903,-0.0048888307785138,-0.0001130674846769,0.0221004780945035,0.0056767158976208,0.7437722419928826,0.0070921985815602,0.0083102493074792,0.584028786166421,0.0013328337224096,0.5256548543894538,-0.524322020667044
b54r_countmatched_dphi_3,countmatched_control,502,0.0085529128069202,-0.0028165525782453,-0.0004259936783338,0.0066620731320169,0.0015223134402893,0.7651245551601423,0.0070921985815602,0.2493074792243767,0.2528237932875183,0.1526367009825747,0.7644414758052587,-0.6118047748226841
b54r_dphi_feedback,adversarial_control,2137,0.0061099713360507,-0.0067171297937696,-0.0001399148997834,0.0005235384766219,0.0006341747619663,0.7758007117437722,0.3546099290780142,0.3240997229916897,0.1264077690230621,0.0954441486213615,0.6940648712489528,-0.5986207226275914
b54r_session_shuffled_phi_memory,adversarial_control,2719,-0.0025378578192691,-0.0148358009762346,-0.0059755033639658,-0.0022347401975443,0.0002967203703436,0.9572953736654805,0.9787234042553192,0.4127423822714681,0.0,0.0689493528639929,0.6539562921297918,-0.5850069392657988
b54r_random_ar_feedback,adversarial_control,1348,0.0030194375155973,-0.0092004734502798,-0.0076443506268357,0.0051589283119085,-7.045812941337305e-07,0.9786476868327402,0.0070921985815602,0.4930747922437673,0.1154508002109823,0.0597566817319342,0.6293495059900067,-0.5695928242580723
