event_class,event_role,source_file,label,task_idx,phase,strength,event_rule
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P1,14.0,-0.03785167452529965,0.2069379684065279,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P1,17.0,-0.11766358318355385,0.23560069945736933,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P1,50.0,-0.36808057778111136,0.9919350282825896,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P1,64.0,0.16028641659351717,0.3006619974164476,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P1,82.0,-0.1562000863025128,0.7446751035778585,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P1,87.0,-0.14008932492200513,0.14741082215675733,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P1,114.0,0.11494110855077538,0.714685128064352,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P1,121.0,-0.17849824508290663,0.24156732193932806,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P1,137.0,-0.4890505830227577,0.7636805687581292,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P1,167.0,-0.6105248682090633,1.4409292372277602,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P1,169.0,0.2402892948651696,0.3561226998171617,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P1,183.0,0.7941908706461056,0.9781834714331896,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P1,184.0,-0.04091514366048876,0.8351060143065944,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P1,214.0,-0.17305406535079643,0.7658424503486103,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P1,255.0,0.0077257644508898216,0.2385941289564445,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P1,256.0,-0.3786812046625547,0.3864069691134445,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P1,258.0,0.12581018294686103,0.8064673230390509,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P1,259.0,-0.2957716337081351,0.4215818166549961,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P1,268.0,-0.4013195599863786,1.1179127579445778,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P1,269.0,0.26552798723086546,0.666847547217244,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P1,298.0,-1.4601216707503728,1.5629930964588925,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P1,314.0,-0.050277290666147556,0.07144704871745908,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P1,333.0,0.12010793943351739,0.3310558887766707,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P1,344.0,-0.12267887626198237,0.15099297203115492,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P1,365.0,-0.1250721082517352,0.2466148551133326,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P1,366.0,0.11085393866717755,0.23592604691891275,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P1,372.0,0.17884844235038613,0.18270119519189884,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P10,77.0,-0.23356984309253812,0.4549305317632256,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P10,81.0,-0.07067263310553508,0.18295167630566084,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P10,85.0,0.05515950438339809,0.08664430926381092,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P10,105.0,-0.20108284526416204,0.4903202546824736,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P10,134.0,0.2273559455048838,0.6557909377606491,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P10,135.0,-0.16373720484272325,0.39109315034760705,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P10,151.0,0.1477822863847229,0.2520480123902933,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P10,178.0,-0.24351428485790927,0.3325473764280152,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P10,236.0,-0.005757146156514667,0.1711734210970116,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P10,243.0,0.04263980570493525,0.23739730363727077,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P10,272.0,-0.04699455247450052,0.6895708871064776,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P10,274.0,0.1826897742092788,0.49122231825151375,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P10,295.0,0.1962168402327154,0.2142257977274989,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P10,301.0,-0.35518940031442536,0.9760587799914494,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P10,315.0,-0.12143904902427494,0.21769671639505644,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P10,317.0,-0.1281700930013459,0.18206008115893202,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P10,331.0,0.37300854116349413,0.4680523487817549,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P10,371.0,-0.2449584328145259,0.9289026804786565,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P11,32.0,-0.1440771341594834,0.3326386854274237,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P11,62.0,0.3537414238665868,0.5738782944052849,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P11,64.0,0.11743600456510969,0.20424302553041715,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P11,76.0,0.41138027628316987,0.4821514508587292,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P11,108.0,-0.09323039918592341,0.5624232771185116,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P11,117.0,-0.04241786920474827,0.3293892408458351,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P11,162.0,-0.19062195798907725,0.4016728060261935,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P11,173.0,0.43957160484448476,0.7429478639847089,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P11,217.0,0.19723275554975467,0.6087502936016189,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P11,225.0,-0.43207800266742696,0.4623519624306317,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P11,226.0,0.3712889863417238,0.8033669890091508,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P11,258.0,0.19874376843156327,0.2765302007246727,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P11,267.0,-0.019723441819247206,0.23442263288115162,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P11,268.0,0.07163554675789538,0.09135898857714259,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P11,342.0,-0.17930952198138966,0.44592944644485893,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P11,344.0,0.2839992178145301,0.28402340695030004,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P11,379.0,-0.397035941254681,0.6337584963529537,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P12,29.0,-0.2690455412465373,0.27605989256004965,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P12,75.0,-0.03250322704527436,0.5993354485450038,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P12,76.0,0.34537119205428946,0.3778744190995638,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P12,135.0,0.11568341379571437,0.15510974452646786,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P12,140.0,-0.061707042108292476,0.3511951188075053,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P12,150.0,-0.343797680741443,0.38864681515749205,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P12,167.0,0.0721534882019308,0.32287907926821946,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P12,203.0,-0.056923959438457405,0.5322853914232977,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P12,204.0,0.3866910536853286,0.443615013123786,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P12,246.0,-0.048539180958717454,0.7501164897538153,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P12,344.0,-0.054555821245407865,0.5001712719500515,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P12,364.0,-0.33492339392111065,0.40086698048134556,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P13,3.0,-0.013944766175572915,0.20732541762176285,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P13,4.0,0.3031488364335345,0.31709360260910746,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P13,6.0,-0.3055808472903975,0.7966222064873808,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P13,16.0,-0.5988263779154314,0.7256910362077515,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P13,29.0,-0.7771311812069799,0.800812927580586,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P13,59.0,-0.13904956557131276,0.25046075798108086,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P13,81.0,0.0037650691810564574,0.6173934252343076,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P13,102.0,0.2109354039876075,0.22749316555726634,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P13,104.0,-0.4863953859723969,0.8489370326601,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P13,107.0,-0.2258785435166083,0.2275209483474433,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P13,173.0,-0.05312771990666926,0.16063319769417622,d2phi feedback sign-switches matched to +eta label/block counts
b54s_block_density_matched_d2phi,differential_event_control,b5_4s_specificity_audit,P13,175.0,-0.13402330335846957,0.1689589498625197,d2phi feedback sign-switches matched to +eta label/block counts
