event_class,event_role,null_index,null_model,n_nodes,n_directed_edges,mean_bounded_differentiated_recovery,sd_bounded_differentiated_recovery,D12_recovery,D24_recovery
b54s_block_density_matched_d2phi,differential_event_control,0,degree-matched directed random graph,12,48,0.0072631029620600085,0.0008942596823339927,0.624734482733171,0.5130118283855117
b54s_block_density_matched_d2phi,differential_event_control,1,degree-matched directed random graph,12,48,0.005700618382270058,0.0011351218681008815,0.638243414788346,0.4927187018766019
b54s_block_density_matched_d2phi,differential_event_control,2,degree-matched directed random graph,12,48,0.005571630405399832,0.001042195911064635,0.6449368284048212,0.5062454436056002
b54s_block_density_matched_d2phi,differential_event_control,3,degree-matched directed random graph,12,48,0.00691895264636144,0.0014742146840904234,0.651770422893536,0.5061036055221094
b54s_block_density_matched_d2phi,differential_event_control,4,degree-matched directed random graph,12,48,0.008091379983296487,0.0013505922498038077,0.6410770461094925,0.5069945639236934
b54s_block_density_matched_d2phi,differential_event_control,5,degree-matched directed random graph,12,48,0.009818532132127147,0.0015180370550438227,0.6605979108674342,0.5113104327525734
b54s_block_density_matched_d2phi,differential_event_control,6,degree-matched directed random graph,12,48,-0.00048169265638237985,0.001095109825094072,0.5960096271558146,0.482238245705191
b54s_block_density_matched_d2phi,differential_event_control,7,degree-matched directed random graph,12,48,0.0025767110553253604,0.0010959507258312426,0.604142369173054,0.4920006282496811
b54s_block_density_matched_d2phi,differential_event_control,8,degree-matched directed random graph,12,48,0.004859086667388252,0.0015633349401123415,0.6341086843565352,0.5032674191334152
b54s_block_density_matched_d2phi,differential_event_control,9,degree-matched directed random graph,12,48,0.00675863214688624,0.0005720878950420549,0.6423966557146624,0.5083079147883187
b54s_block_density_matched_d2phi,differential_event_control,10,degree-matched directed random graph,12,48,0.009905546447796246,0.0007907803038118706,0.6629347414292057,0.5204098336591808
b54s_block_density_matched_d2phi,differential_event_control,11,degree-matched directed random graph,12,48,0.005845021662169203,0.001446559141250868,0.6431059191197808,0.5045319485493921
b54s_block_density_matched_d2phi,differential_event_control,12,degree-matched directed random graph,12,48,0.006676984119862833,0.000895704867445594,0.6491908112288559,0.5023599855887712
b54s_block_density_matched_d2phi,differential_event_control,13,degree-matched directed random graph,12,48,0.0075049767327973775,0.0009890218559490758,0.6652455896138018,0.516707601982399
b54s_block_density_matched_d2phi,differential_event_control,14,degree-matched directed random graph,12,48,0.0037883351593394946,0.0009041411345562595,0.6361891887669034,0.5100170576548766
b54s_block_density_matched_d2phi,differential_event_control,15,degree-matched directed random graph,12,48,0.0006831090984760027,0.001262124738763907,0.5993465958149807,0.5004550607327612
b54s_block_density_matched_d2phi,differential_event_control,16,degree-matched directed random graph,12,48,0.009685389193051485,0.0011058897394115763,0.6643720278761829,0.5118670246170659
b54s_block_density_matched_d2phi,differential_event_control,17,degree-matched directed random graph,12,48,0.008575982719436643,0.0016857853158556459,0.6544991649217845,0.502515233010233
b54s_block_density_matched_d2phi,differential_event_control,18,degree-matched directed random graph,12,48,0.010213062164923993,0.001523324098732735,0.6451838535217448,0.5088061167439548
b54s_block_density_matched_d2phi,differential_event_control,19,degree-matched directed random graph,12,48,0.0061364422867832315,0.0007618143684499955,0.6494389196319998,0.5016429438348418
