event_class,event_role,n_seed_events,mean_seed_strength,total_impulse_budget,primary_endpoint_name,topology_class,n_runs,steps,topology_name,topology_role,condition,n_nodes,n_directed_edges,edge_convention,topology_notes,mean_bounded_differentiated_recovery,sd_bounded_differentiated_recovery,effect_vs_time_shifted,effect_vs_random_event,effect_vs_C8,effect_vs_degree_null_mean,p_vs_time_shifted_and_random,p_vs_C8,p_vs_degree_null,D12_D24_recovery_improvement,D12_D24_recovery_improvement_sd,D12_recovery,D12_recovery_sd,D24_recovery,D24_recovery_sd,bounded_non_runaway_score,bounded_non_runaway_score_sd,differentiated_recovery,differentiated_recovery_sd,late_window_stability,late_window_stability_sd,mean_phase_locking,mean_phase_locking_sd,n_events_evaluated,n_events_evaluated_sd,non_collapsed_differentiation_score,non_collapsed_differentiation_score_sd,post_event_readout_score,post_event_readout_score_sd,primary_q_value,max_contrast_effect_vs_time_shifted,passes_effect_controls,passes_stability_gates,passes_contrast_switch_gate,positive_candidate,interpretation
b54s_block_density_matched_d2phi,differential_event_control,502,0.08266951391592924,41.50009598579648,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,endogenous,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.009290760786823548,0.0014307814994279995,0.0034629154781443674,0.0007961418837021048,0.012440139690779596,0.0023250455240827507,0.2597864768683274,0.0070921985815602835,0.2520775623268698,0.013194784382788944,0.0018558515727158523,0.6610436806256235,0.0023851664808806836,0.518730271969974,0.002089877703023067,0.9646130348024846,0.0012959147229027284,0.009290760786823548,0.0014307814994279995,0.40292180943552386,0.007476519101066634,0.16437070013905536,0.0020677187306537516,200.0,0.0,0.8357366224052921,0.001757898876563626,0.6642346609771836,0.0023293987091622865,0.5628706998813761,,True,False,False,False,contrast_switch_control
b54s_block_density_matched_d2phi,differential_event_control,502,0.08266951391592924,41.50009598579648,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,time_shifted,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.00582784530867918,0.0018826348517249447,,,,,,,,0.00909536793820497,0.0024499610336292865,0.6475755599597701,0.0028421715700271796,0.5033575275600148,0.002309958148174334,0.9649208951257102,0.001159710551054604,0.00582784530867918,0.0018826348517249447,0.09352580589023675,0.011425205122519213,0.16699490484503993,0.0017968347909204359,200.0,0.0,0.8334903465136985,0.0018477858452694827,0.65072432173937,0.0027981095383487462,,,False,False,False,False,control_or_reference_condition
b54s_block_density_matched_d2phi,differential_event_control,502,0.08266951391592924,41.50009598579648,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,random_event,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.008494618903121443,0.005750003888200714,,,,,,,,0.011419973819118816,0.007056100089752444,0.6562072713496736,0.019918900935110274,0.5262526704996907,0.023787365547279855,0.9644241834063503,0.001413964263261595,0.008494618903121443,0.005750003888200714,0.18139590089016375,0.13275448736028728,0.1662660448169976,0.004800999919398394,209.05714285714285,4.184617116076843,0.8344163373425738,0.006564121218814068,0.6600722139932357,0.0184170623998519,,,False,False,False,False,control_or_reference_condition
b54s_block_density_matched_d2phi,differential_event_control,502,0.08266951391592924,41.50009598579648,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,C8(1),contrast,c8_same_schedule,8,8,directed clockwise 1-jump,primary non-D12 contrast,-0.0031493789039560485,0.0013835220287943893,,,,,,,,-0.003970517445614384,0.002315989429963536,0.4917155250615121,0.002649014720047877,0.4861463118527949,0.002394242160789386,0.8658474647075197,0.001799273410990526,-0.0031493789039560485,0.0013835220287943893,0.19145469388327807,0.010891638168011504,0.1518105117511068,0.003847542749837891,200.0,0.0,0.6891998626661884,0.0014126851514639862,0.5095082062591784,0.002177707720936571,,,False,False,False,False,control_or_reference_condition
b54s_block_density_matched_dphi,differential_event_control,502,0.08537984410846335,42.8606817424486,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,endogenous,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,-0.0026866438739508074,0.0017841927114194782,-0.011743073414479763,-0.01114506170615424,-0.00760720947954937,-0.0008017463768160769,0.9822064056939501,1.0,0.590027700831025,-0.002140425281361649,0.0023422828588321974,0.6789794526692953,0.002636578131635647,0.5489341920983499,0.0030379488050386164,0.9666230437323622,0.0012017284806440612,-0.0026866438739508074,0.0017841927114194782,0.0,0.0,0.15710368348364914,0.0018492265323134887,194.0,0.0,0.8435966191305824,0.002591962966098237,0.6816013779251827,0.0026499574760360696,0.9822064056939502,,False,False,False,False,contrast_switch_control
b54s_block_density_matched_dphi,differential_event_control,502,0.08537984410846335,42.8606817424486,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,time_shifted,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.009056429540528954,0.0014917684126861063,,,,,,,,0.011290799340164833,0.0018314938708639218,0.7013794273292892,0.003157262829662651,0.5541234385282895,0.003800628813897275,0.9675562397646427,0.001260424856096105,0.009056429540528954,0.0014917684126861063,0.18317189231990347,0.009889684012163717,0.14699164378027157,0.0021235551840646494,194.0,0.0,0.8486799802565448,0.0025890276306776683,0.7016641045538297,0.0030830982571991763,,,False,False,False,False,control_or_reference_condition
b54s_block_density_matched_dphi,differential_event_control,502,0.08537984410846335,42.8606817424486,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,random_event,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.008458417832203432,0.006026349061241119,,,,,,,,0.01067445986416517,0.007375822649531987,0.6552565657569198,0.018166631365572655,0.5314299642175265,0.021188296996134334,0.9668722778047225,0.0013546579078289468,0.008458417832203432,0.006026349061241119,0.1586271640332857,0.1239096886568855,0.14937476514409648,0.005170140280285693,209.2357142857143,4.442667657879368,0.8438866417356266,0.006864545342375453,0.6594868904348078,0.017722095418051285,,,False,False,False,False,control_or_reference_condition
b54s_block_density_matched_dphi,differential_event_control,502,0.08537984410846335,42.8606817424486,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,C8(1),contrast,c8_same_schedule,8,8,directed clockwise 1-jump,primary non-D12 contrast,0.004920565605598563,0.0015649294891192807,,,,,,,,0.007236649788616277,0.0027044315859905458,0.4984918335788143,0.0029031676774894403,0.5343071862260682,0.004215353516664277,0.8673911502449455,0.00196823973526232,0.004920565605598563,0.0015649294891192807,0.19011639541806735,0.011952336876831917,0.16403227284417085,0.002781155074611068,194.0,0.0,0.6880700914865843,0.0012676322536003906,0.5427388093479316,0.0033682102693375167,,,False,False,False,False,control_or_reference_condition
b54s_block_density_matched_dphi_rep1,differential_event_control,502,0.08650860002019861,43.427317210139705,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,endogenous,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.011340421858128313,0.0014173575910228322,0.00632821603150247,0.003208720993663967,0.015705593376289635,0.003881359975549988,0.1708185053380783,0.0070921985815602835,0.024930747922437674,0.0142209791357224,0.0017331990345351906,0.6107902815647138,0.0025560790348859493,0.4962174385045553,0.0023315954342514556,0.9653938718343649,0.0012478731441965558,0.011340421858128313,0.0014173575910228322,0.26458731944942965,0.007955031621775905,0.15305002819018876,0.002162722049453282,202.0,0.0,0.8597032447227481,0.002269806914277246,0.6372693905105846,0.0020954882587594023,0.4441281138790035,,True,False,False,False,contrast_switch_control
b54s_block_density_matched_dphi_rep1,differential_event_control,502,0.08650860002019861,43.427317210139705,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,time_shifted,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.005012205826625843,0.0014115731856818921,,,,,,,,0.006503694356479074,0.0019182147689831709,0.6306476179168115,0.0022528118778693588,0.5015574023459242,0.0018198239670854154,0.9655547360731962,0.0011794506677420286,0.005012205826625843,0.0014115731856818921,0.04660766257091051,0.00711484726375182,0.14885236689131298,0.0018818063916017965,202.0,0.0,0.8663585906011294,0.0016501294796672846,0.6456849277022112,0.0018107583032353936,,,False,False,False,False,control_or_reference_condition
