event_class,event_role,n_seed_events,mean_seed_strength,total_impulse_budget,primary_endpoint_name,topology_class,n_runs,steps,topology_name,topology_role,condition,n_nodes,n_directed_edges,edge_convention,topology_notes,mean_bounded_differentiated_recovery,sd_bounded_differentiated_recovery,effect_vs_time_shifted,effect_vs_random_event,effect_vs_C8,effect_vs_degree_null_mean,p_vs_time_shifted_and_random,p_vs_C8,p_vs_degree_null,D12_D24_recovery_improvement,D12_D24_recovery_improvement_sd,D12_recovery,D12_recovery_sd,D24_recovery,D24_recovery_sd,bounded_non_runaway_score,bounded_non_runaway_score_sd,differentiated_recovery,differentiated_recovery_sd,late_window_stability,late_window_stability_sd,mean_phase_locking,mean_phase_locking_sd,n_events_evaluated,n_events_evaluated_sd,non_collapsed_differentiation_score,non_collapsed_differentiation_score_sd,post_event_readout_score,post_event_readout_score_sd,primary_q_value,max_contrast_effect_vs_time_shifted,passes_effect_controls,passes_stability_gates,passes_contrast_switch_gate,positive_candidate,interpretation,b54s_family_q,early_improvement,mid_improvement,late_improvement,mean_late_window_stability,mean_final_readout,quadrature_error_full_mean_last40,quadrature_error_ring_mean_last40,hex_bypass_delta_error
b54s_phase_preserving_timing_shuffle,timing_control,502,0.08134730913748246,40.8363491870162,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,endogenous,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.025291091924996487,0.0022574727762854248,0.004308094230879085,0.0065132248699794545,0.029311747332200454,0.009935342946061148,0.03914590747330961,0.0070921985815602835,0.00554016620498615,0.02942191941776176,0.0023853667730569976,0.8458031006820952,0.0034116110484935652,0.7668260977621836,0.004103836315096094,0.9836030626351067,0.001904450960522098,0.025291091924996487,0.0022574727762854248,0.6028622767015936,0.01184707628611035,0.044317239655022524,0.005328011376695088,214.0,0.0,0.8925051890153626,0.009522816309979806,0.8458279666999248,0.0033915286584227503,0.3932384341637011,,True,False,False,False,contrast_switch_control,0.3932384341637011,0.07224964176322467,0.005751283579855261,0.010680413643852462,0.6040221423938731,0.8658182235482993,0.005809102179129813,0.5384668952347571,-0.5326577930556272
b54s_plus_phi_memory,primary_phi_memory,502,0.08134730913748246,40.8363491870162,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,endogenous,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.025280909248404752,0.002162408353603569,0.006898914378721997,0.005341713015345483,0.030384871990516024,0.009086103418094064,0.060498220640569395,0.0070921985815602835,0.002770083102493075,0.029468246309580084,0.0023635277905329323,0.8300938957107288,0.0032112740638240347,0.7375572271978174,0.0035106805584154,0.9829037086630925,0.001982403598947646,0.025280909248404752,0.002162408353603569,0.6219494891457249,0.03455562961975074,0.046237161083119475,0.005936269772411677,214.0,0.0,0.8999764421303742,0.008046027592444861,0.8301681799164204,0.003157933570405788,0.3932384341637011,,True,False,False,False,contrast_switch_control,0.3932384341637011,0.04763954479577632,0.027072838807095385,0.014081067002086459,0.6121528738841651,0.9196971675586221,0.0023922846782857303,0.527791034982976,-0.5253987503046902
b54s_block_density_matched_dphi_rep2,differential_event_control,502,0.08600977258931677,43.17690583983702,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,endogenous,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.012275248646936309,0.0016198581524578342,0.005292907819339588,0.0037389947148556892,0.014323887899263194,0.003718431973265676,0.12811387900355872,0.0070921985815602835,0.10526315789473684,0.015014552161401934,0.0020584907922222818,0.6439498929727514,0.0030694447975068494,0.5255130791254217,0.0033911472853454536,0.9651818632559945,0.0011945635511066827,0.012275248646936309,0.0016198581524578342,0.23163477421395595,0.020146612809911868,0.1545428056749703,0.002164794223506387,193.0,0.0,0.8437974817113145,0.0023064005270450327,0.6565286427145525,0.0025283115484247905,0.4441281138790035,,True,False,False,False,contrast_switch_control,0.4441281138790035,0.03462639497282972,0.01931907640830487,-0.008269044224009328,0.23022908192800798,0.6343388804151741,0.1392772498403356,0.7276115169119294,-0.5883342670715936
b54s_block_matched_shuffled_phi_memory,block_matched_phi_control,502,0.09496400098564713,47.671928494794855,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,endogenous,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.00751670181003571,0.0016185413754129826,0.007503462459603507,0.0026347677000725656,0.012046963922107502,0.0029532926909380253,0.16370106761565836,0.0070921985815602835,0.13850415512465375,0.010175865660556895,0.0019345461067383383,0.5404286870469621,0.0032294867133406467,0.44641000644866435,0.0018092893933494031,0.9672545782030735,0.0012750166821705545,0.00751670181003571,0.0016185413754129826,0.23551755980904768,0.00431592974805092,0.1454786797000903,0.0022851240376731818,213.0,0.0,0.8708694135661029,0.001542448734548032,0.5528306651960999,0.0020782969571307365,0.4441281138790035,,True,False,False,False,contrast_switch_control,0.4441281138790035,0.03808280818063102,-0.03757958150499156,0.028928322839420016,0.2359056867738815,0.5987600070320788,0.04770877618400796,0.6114239075018517,-0.5637151313178437
b54s_block_density_matched_dphi_rep1,differential_event_control,502,0.08650860002019861,43.427317210139705,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,endogenous,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.011340421858128313,0.0014173575910228322,0.00632821603150247,0.003208720993663967,0.015705593376289635,0.003881359975549988,0.1708185053380783,0.0070921985815602835,0.024930747922437674,0.0142209791357224,0.0017331990345351906,0.6107902815647138,0.0025560790348859493,0.4962174385045553,0.0023315954342514556,0.9653938718343649,0.0012478731441965558,0.011340421858128313,0.0014173575910228322,0.26458731944942965,0.007955031621775905,0.15305002819018876,0.002162722049453282,202.0,0.0,0.8597032447227481,0.002269806914277246,0.6372693905105846,0.0020954882587594023,0.4441281138790035,,True,False,False,False,contrast_switch_control,0.4441281138790035,0.026086057997619636,0.004946872367634121,0.011323017026435544,0.265233611094671,0.686131245108242,0.26409218072439133,0.8574576095375683,-0.5933654288131771
b54s_block_density_matched_d2phi,differential_event_control,502,0.08266951391592924,41.50009598579648,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,endogenous,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.009290760786823548,0.0014307814994279995,0.0034629154781443674,0.0007961418837021048,0.012440139690779596,0.0023250455240827507,0.2597864768683274,0.0070921985815602835,0.2520775623268698,0.013194784382788944,0.0018558515727158523,0.6610436806256235,0.0023851664808806836,0.518730271969974,0.002089877703023067,0.9646130348024846,0.0012959147229027284,0.009290760786823548,0.0014307814994279995,0.40292180943552386,0.007476519101066634,0.16437070013905536,0.0020677187306537516,200.0,0.0,0.8357366224052921,0.001757898876563626,0.6642346609771836,0.0023293987091622865,0.5628706998813761,,True,False,False,False,contrast_switch_control,0.5628706998813761,0.0060430411901998176,0.029394840765256277,0.0038360893527857086,0.40221489110854863,0.7034539478757715,0.19380667313721425,0.7947450124609674,-0.6009383393237531
b54s_same_schedule_phase_strength_shuffle,same_schedule_control,502,0.08134730913748249,40.83634918701621,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,endogenous,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.02100449702000784,0.0020638160621207235,0.004337707395897346,-0.0011499467082821298,0.02473148722456632,0.006815550352182105,0.3096085409252669,0.0070921985815602835,0.024930747922437674,0.02467777969326116,0.0021379724355661154,0.8490617105146694,0.003981865999628814,0.7729437896190435,0.004344901290129116,0.9860496878538864,0.0017624683746826756,0.02100449702000784,0.0020638160621207235,0.6135627620135242,0.007386760509817233,0.03635819606264662,0.004304389274743777,214.0,0.0,0.904896347249176,0.008394791530708741,0.8491217850171545,0.003944196792551845,0.5749872902897815,,False,False,False,False,contrast_switch_control,0.5749872902897815,0.09133961306662071,-0.014705091133799562,-0.0028341853607352307,0.613556694228626,0.8776954817395506,9.50802823761307e-05,0.5236509518770041,-0.5235558715946278
b54s_block_permuted_schedule,event_block_control,502,0.08134730913748246,40.8363491870162,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,endogenous,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.01954021859664275,0.001700061202326395,0.0010373080039157018,4.7620400691106984e-05,0.023344681257485286,0.007612659636878582,0.39501779359430605,0.0070921985815602835,0.002770083102493075,0.022633014924346013,0.0019709469795540623,0.8183042291239999,0.004508439149651177,0.7149657354731794,0.0058975877600189386,0.9814343792651706,0.00196124319118639,0.01954021859664275,0.001700061202326395,0.507077857406989,0.006082406752910712,0.04947560886976739,0.006391313999174344,204.0,0.0,0.9038747686702866,0.0070466684327764985,0.8183201669815592,0.004502644099566302,0.6419039145907474,,True,False,False,False,contrast_switch_control,0.6419039145907474,0.05835836167630182,0.004137408413324518,0.005924973658516813,0.5065827441483397,0.8298105746419356,0.003174060082416803,0.532813624007796,-0.5296395639253791
b54s_block_density_matched_dphi_rep3,differential_event_control,502,0.0846539436624347,42.49627971854222,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,endogenous,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.015218843116077399,0.001662875184726844,-0.0036765455819022675,0.005497105700067456,0.015255538747377187,0.00509026157028847,0.5693950177935944,0.0070921985815602835,0.01662049861495845,0.018132356230084985,0.0019846472153236617,0.7137508924489643,0.00225821542618343,0.574105779232348,0.0023551007633134365,0.9687314671482312,0.0011303257748113101,0.015218843116077399,0.001662875184726844,0.1497626720583247,0.011254159000328185,0.1287018632355631,0.0020862104751061517,200.0,0.0,0.8542618114581935,0.003805794857810521,0.7137508924489643,0.00225821542618343,0.822459470146303,,False,False,False,False,contrast_switch_control,0.822459470146303,0.056359858721350596,-0.035442905696019815,0.03480161349197676,0.14874815539985342,0.6872587081270085,0.1775618877146168,0.7846802156809278,-0.607118327966311
b54s_block_matched_lag_shifted_phi,timing_control,502,0.08981935923768139,45.08931833731606,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,endogenous,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.020708734968365144,0.001962300699092243,-0.004701316867794406,9.634147122544734e-05,0.024305991985159175,0.007168228345037881,0.7437722419928826,0.0070921985815602835,0.002770083102493075,0.024581768995816086,0.0020267116652120643,0.8389654551690372,0.004692337082363137,0.7428156666334849,0.0045394106094438875,0.9847012986736762,0.0018875122522427604,0.020708734968365144,0.001962300699092243,0.44405153692341487,0.011073783485992623,0.040816734917206644,0.005364830756319991,198.0,0.0,0.9002582351692786,0.009477892313129153,0.8389714707737604,0.004690242128460797,0.9084438692979617,,False,False,False,False,contrast_switch_control,0.9084438692979617,0.07018328307203647,0.0012726407306953764,0.0021083982509512256,0.4434889920802842,0.8436283889489331,0.00480684974631942,0.5350538802841561,-0.5302470305378366
