event_class,n_event_steps,min_step,max_step,early_improvement,mid_improvement,late_improvement,early_n,mid_n,late_n,mean_late_window_stability,mean_final_readout
b54s_block_density_matched_d2phi,202,0,239,0.0060430411901998176,0.029394840765256277,0.0038360893527857086,6700,6700,6600,0.40221489110854863,0.7034539478757715
b54s_block_density_matched_dphi,196,0,239,0.05887486242544457,-0.02016864710920465,-0.045230299755843306,6500,6500,6400,0.0,0.6308874616905282
b54s_block_density_matched_dphi_rep1,204,0,239,0.026086057997619636,0.004946872367634121,0.011323017026435544,6700,6800,6700,0.265233611094671,0.686131245108242
b54s_block_density_matched_dphi_rep2,195,0,239,0.03462639497282972,0.01931907640830487,-0.008269044224009328,6400,6500,6400,0.23022908192800798,0.6343388804151741
b54s_block_density_matched_dphi_rep3,202,0,239,0.056359858721350596,-0.035442905696019815,0.03480161349197676,6700,6700,6600,0.14874815539985342,0.6872587081270085
b54s_block_matched_event_block_shuffled_phi,189,0,239,0.06928839447751312,-0.019650125566209205,0.002462705401479749,6200,6300,6200,0.12438864276953727,0.7851828788427548
b54s_block_matched_lag_shifted_phi,200,0,239,0.07018328307203647,0.0012726407306953764,0.0021083982509512256,6600,6600,6600,0.4434889920802842,0.8436283889489331
b54s_block_matched_shuffled_phi_memory,215,0,239,0.03808280818063102,-0.03757958150499156,0.028928322839420016,7100,7100,7100,0.2359056867738815,0.5987600070320788
b54s_block_permuted_schedule,206,0,239,0.05835836167630182,0.004137408413324518,0.005924973658516813,6800,6800,6800,0.5065827441483397,0.8298105746419356
b54s_phase_preserving_timing_shuffle,216,0,239,0.07224964176322467,0.005751283579855261,0.010680413643852462,7100,7200,7100,0.6040221423938731,0.8658182235482993
b54s_plus_phi_memory,216,0,239,0.04763954479577632,0.027072838807095385,0.014081067002086459,7100,7200,7100,0.6121528738841651,0.9196971675586221
b54s_same_schedule_phase_strength_shuffle,216,0,239,0.09133961306662071,-0.014705091133799562,-0.0028341853607352307,7100,7200,7100,0.613556694228626,0.8776954817395506
b54s_same_schedule_random_phase_strength,216,0,239,-0.004227382828031746,-0.0020287073016563677,-0.000744498131106997,7100,7200,7100,0.5647018693171888,0.5400071290291589
