event_class,event_role,n_events,n_labels,min_task_idx,max_task_idx,mean_strength
b54t_block_structure_only,block_control,502,26,1.3261401716892531,445.2414506061812,0.22128391410121923
b54t_dphi_density_block_matched,differential_event_control,502,26,3.0,417.0,0.3918387326800993
b54t_event_density_only,density_control,502,26,1.149203666552428,416.9070545962336,0.23241758619759262
b54t_local_shift_minus1,local_alignment_control,502,26,0.0,416.0,0.2259009710696841
b54t_local_shift_minus2,local_alignment_control,502,26,0.0,415.0,0.2259009710696841
b54t_local_shift_minus5,local_alignment_control,502,26,0.0,412.0,0.2259009710696841
b54t_local_shift_plus1,local_alignment_control,502,26,2.0,417.0,0.2259009710696841
b54t_local_shift_plus2,local_alignment_control,502,26,3.0,417.0,0.2259009710696841
b54t_local_shift_plus5,local_alignment_control,502,26,6.0,417.0,0.2259009710696841
b54t_original_phi_geometry,primary_phi_geometry,502,26,1.0,417.0,0.2259009710696841
b54t_phase_only,factorial_ablation,502,26,1.0,417.0,0.2277155077139903
b54t_phase_strength,factorial_ablation,502,26,1.0,417.0,0.2259009710696841
b54t_phase_strength_only,factorial_ablation,502,26,1.0,417.0,0.2259009710696841
b54t_strength_only,factorial_ablation,502,26,1.0,417.0,0.2259009710696841
b54t_timing_only,factorial_ablation,502,26,1.0,417.0,0.21884634101343473
b54t_timing_phase,factorial_ablation,502,26,1.0,417.0,0.23444276470768172
b54t_timing_strength,factorial_ablation,502,26,1.0,417.0,0.2259009710696841
