event_class,quadrature_error_full_mean_last40,quadrature_error_ring_mean_last40,hex_bypass_delta_error
b54t_block_structure_only,1.5516407230484777,1.5549289472095977,-0.0032882241611202705
b54t_dphi_density_block_matched,0.09503419910558278,0.6975988718005321,-0.6025646726949494
b54t_event_density_only,1.5523248814452864,1.55486508491882,-0.0025402034735336116
b54t_local_shift_minus1,0.004257614613821787,0.530896013982898,-0.5266383993690762
b54t_local_shift_minus2,0.0038051220644145173,0.5299397862475214,-0.5261346641831068
b54t_local_shift_minus5,0.004559928741917843,0.5308446705181654,-0.5262847417762477
b54t_local_shift_plus1,0.003310409974422565,0.5289267154889176,-0.525616305514495
b54t_local_shift_plus2,0.0033839880848633317,0.5295895080398374,-0.526205519954974
b54t_local_shift_plus5,0.002036980474750463,0.5274225555305024,-0.525385575055752
b54t_original_phi_geometry,0.003086995878975938,0.5290733315836025,-0.5259863357046265
b54t_phase_only,0.004861641834154063,0.5318659063819904,-0.5270042645478362
b54t_phase_strength,0.015435353523097339,0.5593179105161814,-0.5438825569930842
b54t_phase_strength_only,0.0022578696147489644,0.530334163030789,-0.52807629341604
b54t_strength_only,1.5525057531662192,1.5596250958071578,-0.007119342640938817
b54t_timing_only,1.5120819647032246,1.5258034023914218,-0.013721437688197289
b54t_timing_phase,0.0031551548324977733,0.5292802729406503,-0.5261251181081525
b54t_timing_strength,1.5539949111624192,1.5604723836700856,-0.006477472507666687
