event_class,event_role,n_seed_events,mean_seed_strength,total_impulse_budget,primary_endpoint_name,topology_class,n_runs,steps,topology_name,topology_role,condition,n_nodes,n_directed_edges,edge_convention,topology_notes,mean_bounded_differentiated_recovery,sd_bounded_differentiated_recovery,effect_vs_time_shifted,effect_vs_random_event,effect_vs_C8,effect_vs_degree_null_mean,p_vs_time_shifted_and_random,p_vs_C8,p_vs_degree_null,D12_D24_recovery_improvement,D12_D24_recovery_improvement_sd,D12_recovery,D12_recovery_sd,D24_recovery,D24_recovery_sd,bounded_non_runaway_score,bounded_non_runaway_score_sd,differentiated_recovery,differentiated_recovery_sd,late_window_stability,late_window_stability_sd,mean_phase_locking,mean_phase_locking_sd,n_events_evaluated,n_events_evaluated_sd,non_collapsed_differentiation_score,non_collapsed_differentiation_score_sd,post_event_readout_score,post_event_readout_score_sd,primary_q_value,max_contrast_effect_vs_time_shifted,passes_effect_controls,passes_stability_gates,passes_contrast_switch_gate,positive_candidate,interpretation
b54t_block_structure_only,block_control,502,0.09631364159500072,48.349448080690365,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,endogenous,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,-0.0006092128683478818,0.0007355433994004687,-0.0008049365693542647,-0.0006702819172929374,2.0864115698915396e-05,-0.00030892259988879716,0.8042704626334519,0.48936170212765956,0.6094182825484764,-0.001749748086635169,0.0018457331806562018,0.49821794867976377,0.000617295222630268,0.49610183702047345,0.0008216379785282165,0.9497437447405463,0.0002165807838559531,-0.0006092128683478818,0.0007355433994004687,0.6960592697111909,0.011468196666497048,0.923952584206752,0.0004448856456744855,204.0,0.0,0.3529205948900708,0.0007040954160515647,0.508378715714494,0.0006741897379916596,0.8545373665480427,,False,False,False,False,contrast_switch_control
b54t_block_structure_only,block_control,502,0.09631364159500072,48.349448080690365,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,time_shifted,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.00019572370100638293,0.000671956952545649,,,,,,,,0.00025051952435904256,0.0018095110096302033,0.4985299261933702,0.0008209492892175532,0.4959840870557714,0.0012224202865238265,0.9501392010328796,0.0002264468041973506,0.00019572370100638293,0.000671956952545649,0.636962166223594,0.006860632425393005,0.9252325611777101,0.000545756325941279,204.0,0.0,0.3517305567305143,0.0009283019808039901,0.5084036591431348,0.0007625796609604496,,,False,False,False,False,control_or_reference_condition
b54t_block_structure_only,block_control,502,0.09631364159500072,48.349448080690365,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,random_event,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,6.106904894505551e-05,0.0009757317757433346,,,,,,,,0.00011775215969165884,0.0027040479305363596,0.5005205271926497,0.005951745954881621,0.5001026471471884,0.005711902535328575,0.9517520551827277,0.0011715245992750007,6.106904894505551e-05,0.0009757317757433346,0.5873790200947163,0.04721999207732654,0.9213516724702868,0.006839488901752346,208.28571428571428,4.475785189352197,0.35882982700371896,0.009674981117050929,0.5124592693228175,0.004408139613584066,,,False,False,False,False,control_or_reference_condition
b54t_block_structure_only,block_control,502,0.09631364159500072,48.349448080690365,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,C8(1),contrast,c8_same_schedule,8,8,directed clockwise 1-jump,primary non-D12 contrast,-0.0006300769840467972,0.0007817433907754495,,,,,,,,-0.0019268954540094545,0.002076644889642028,0.4955831061210755,0.0008341168247126545,0.4948361280637594,0.001229135345142301,0.9126463567407552,0.0004162653684969441,-0.0006300769840467972,0.0007817433907754495,0.46696984932838037,0.015207048777410618,0.927647612035948,0.0005847506486671862,204.0,0.0,0.3338723745388241,0.0010431195727682576,0.5106755944705319,0.0008068211789897285,,,False,False,False,False,control_or_reference_condition
b54t_dphi_density_block_matched,differential_event_control,502,0.08482025770449891,42.57976936765846,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,endogenous,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.010996290005079937,0.0016766727985444059,0.016092902102274542,0.0020345356401390013,0.01396058018003112,0.0031699002428730496,0.18505338078291814,0.0070921985815602835,0.08033240997229917,0.015261476261416228,0.0021570197449217905,0.6377469796004982,0.0024519770114977807,0.5265249015653968,0.0014284543743131848,0.965662368923975,0.001127289115109229,0.010996290005079937,0.0016766727985444059,0.4147434082481186,0.00815698365931053,0.1534471027443707,0.001823238921703535,199.0,0.0,0.8464021893604788,0.0016608874775933269,0.6463313940672507,0.0017781539965784248,0.2859915884826916,,True,False,False,False,contrast_switch_control
b54t_dphi_density_block_matched,differential_event_control,502,0.08482025770449891,42.57976936765846,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,time_shifted,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,-0.005096612097194605,0.001568102999434159,,,,,,,,-0.004181536904828381,0.0020641642571208405,0.623003882847195,0.0027942831714095275,0.5095277125999128,0.0021674742570087177,0.9658162090036866,0.001281204683774611,-0.005096612097194605,0.001568102999434159,0.10892615634122343,0.011721164712761502,0.1552962560450963,0.0026270608757670505,199.0,0.0,0.8482937999277527,0.002169825976668226,0.6318208566605114,0.0022881460152152718,,,False,False,False,False,control_or_reference_condition
b54t_dphi_density_block_matched,differential_event_control,502,0.08482025770449891,42.57976936765846,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,random_event,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.008961754364940936,0.0062798449696621255,,,,,,,,0.011499502265027873,0.0074549944533445715,0.64912882023142,0.01831647907012979,0.5238595166167369,0.023131827013469188,0.9659992951009294,0.0012847754039385685,0.008961754364940936,0.0062798449696621255,0.15046319966509364,0.11507544732674439,0.15200824100005633,0.0040181614486686805,208.97857142857143,4.17041939847585,0.843985801999617,0.006758893113958927,0.6536026463317008,0.01783945499989736,,,False,False,False,False,control_or_reference_condition
b54t_dphi_density_block_matched,differential_event_control,502,0.08482025770449891,42.57976936765846,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,C8(1),contrast,c8_same_schedule,8,8,directed clockwise 1-jump,primary non-D12 contrast,-0.0029642901749511834,0.0013207799153415172,,,,,,,,-0.004567501567761605,0.0022921256967224604,0.4951436813705184,0.0030921445155628825,0.4936074090025137,0.0020056545777017115,0.8661533140708867,0.0020325537707347593,-0.0029642901749511834,0.0013207799153415172,0.09358248593336047,0.018536254076738586,0.16534619142128193,0.002354807505940302,199.0,0.0,0.6858342551236648,0.001013166042033857,0.5280388912154184,0.002639214058823946,,,False,False,False,False,control_or_reference_condition
b54t_event_density_only,density_control,502,0.10421422084344474,52.31553886340926,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,endogenous,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,-0.0014909117695731794,0.0007259805433809057,-0.0008590869740124264,-0.0013881669589410547,-0.0009078958041188184,-0.00023417190241271013,0.9359430604982206,0.8794326241134752,0.631578947368421,-0.0048960275638519615,0.001910655244920365,0.48933310181818185,0.0007007318151287403,0.49157613540322376,0.0008472278178209316,0.9519026720346542,0.00024773617307550984,-0.0014909117695731794,0.0007259805433809057,0.5640429597832386,0.005378512476777815,0.9277828433759098,0.00039160658498304466,208.0,0.0,0.34640693566870534,0.0006844508624642328,0.5030125006621814,0.0006186852477733887,0.9359430604982206,,False,False,False,False,contrast_switch_control
b54t_event_density_only,density_control,502,0.10421422084344474,52.31553886340926,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,time_shifted,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,-0.000631824795560753,0.0006052347481274569,,,,,,,,-0.0022994710215434844,0.001808310773218185,0.4894423040967591,0.0005964915797484508,0.49058299914153464,0.0009249338408365624,0.9519353143904636,0.00023969321262173998,-0.000631824795560753,0.0006052347481274569,0.6471430511190659,0.007999722978016361,0.9267092235895463,0.00019750764934002034,208.0,0.0,0.34765616725259146,0.0005389887670867058,0.5031788939398883,0.0008765374044609278,,,False,False,False,False,control_or_reference_condition
