event_class,event_role,n_seed_events,mean_seed_strength,total_impulse_budget,primary_endpoint_name,topology_class,n_runs,steps,topology_name,topology_role,condition,n_nodes,n_directed_edges,edge_convention,topology_notes,mean_bounded_differentiated_recovery,sd_bounded_differentiated_recovery,effect_vs_time_shifted,effect_vs_random_event,effect_vs_C8,effect_vs_degree_null_mean,p_vs_time_shifted_and_random,p_vs_C8,p_vs_degree_null,D12_D24_recovery_improvement,D12_D24_recovery_improvement_sd,D12_recovery,D12_recovery_sd,D24_recovery,D24_recovery_sd,bounded_non_runaway_score,bounded_non_runaway_score_sd,differentiated_recovery,differentiated_recovery_sd,late_window_stability,late_window_stability_sd,mean_phase_locking,mean_phase_locking_sd,n_events_evaluated,n_events_evaluated_sd,non_collapsed_differentiation_score,non_collapsed_differentiation_score_sd,post_event_readout_score,post_event_readout_score_sd,primary_q_value,max_contrast_effect_vs_time_shifted,passes_effect_controls,passes_stability_gates,passes_contrast_switch_gate,positive_candidate,interpretation,b54t_family_q,early_improvement,mid_improvement,late_improvement,mean_late_window_stability,mean_final_readout,quadrature_error_full_mean_last40,quadrature_error_ring_mean_last40,hex_bypass_delta_error
b54t_local_shift_plus5,local_alignment_control,502,0.08134730913748246,40.8363491870162,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,endogenous,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.026648159292749583,0.001882303879924376,0.013797573757371314,0.006943370008383264,0.03145469655439647,0.010554058848651442,0.03558718861209965,0.0070921985815602835,0.002770083102493075,0.03114162888624642,0.002081223554782511,0.8300558046007345,0.0031347607138793813,0.7381049343251709,0.003669056084828113,0.9826932279550107,0.00184652729445755,0.026648159292749583,0.001882303879924376,0.6117411433109894,0.017289236591614226,0.047013018120958795,0.006124402538365104,209.0,0.0,0.8993163799253102,0.007155109384631218,0.8301634659292754,0.003056013126814986,0.22686832740213525,,True,False,False,False,contrast_switch_control,0.22686832740213525,0.04040168530066858,0.02892023086775149,0.024367686395482025,0.6138705554816332,0.9196578096830389,0.002036980474750463,0.5274225555305024,-0.525385575055752
b54t_original_phi_geometry,primary_phi_geometry,502,0.08134730913748246,40.8363491870162,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,endogenous,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.025557207139705544,0.0020356722344388057,0.006946956619345732,0.005578699926315277,0.030931083019922607,0.009696329832849907,0.046263345195729534,0.0070921985815602835,0.002770083102493075,0.029805645881454745,0.002225696139929879,0.8296795844860032,0.003774406699821193,0.7374019490220921,0.00408847611739155,0.9828056968011859,0.0020375316031647044,0.025557207139705544,0.0020356722344388057,0.6163018662838057,0.04043545772725826,0.04597082191535301,0.006040628405608653,214.0,0.0,0.9004368858051444,0.008601924365171838,0.8298453101301244,0.0036240631659298253,0.22686832740213525,,True,False,False,False,contrast_switch_control,0.22686832740213525,0.047328062248706546,0.026883925932685945,0.014856745806552852,0.6217113901410222,0.9213282359071105,0.003086995878975938,0.5290733315836025,-0.5259863357046265
b54t_local_shift_minus1,local_alignment_control,502,0.08134730913748246,40.8363491870162,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,endogenous,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.025856539512512842,0.00201564777474116,0.007472121266476745,0.006122389585743602,0.031190366212400497,0.009430319740012443,0.0498220640569395,0.0070921985815602835,0.002770083102493075,0.030085877406113744,0.002359818835429366,0.8302271882375152,0.0033519566741544004,0.7379414768596699,0.003751083831574952,0.9829642245074398,0.0019560504135897865,0.025856539512512842,0.00201564777474116,0.6150079367910043,0.04107233994573639,0.0456224957640279,0.005972904003977283,214.0,0.0,0.9014114713724597,0.007023366509165956,0.830347389606351,0.003254543084037692,0.22686832740213525,,True,False,False,False,contrast_switch_control,0.22686832740213525,0.04794739295478875,0.026974977289087092,0.014769847553650304,0.6191263525407305,0.9213926576027296,0.004257614613821787,0.530896013982898,-0.5266383993690762
b54t_phase_only,factorial_ablation,502,0.10620988263831029,53.31736108443177,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,endogenous,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.027657168169919352,0.0027444575176285863,0.005789452671749493,0.007470446011615707,0.03166397813943745,0.00833886360231435,0.05338078291814947,0.0070921985815602835,0.002770083102493075,0.03115877727666244,0.0030618083855184063,0.8569263399100842,0.004587235197369441,0.7706346772588724,0.005383356007137312,0.984729529101276,0.0024987372513490896,0.027657168169919352,0.0027444575176285863,0.3646369476743899,0.044551122816107014,0.038793889649043685,0.008399417482539162,214.0,0.0,0.896529474452496,0.009607251040239672,0.8569263399100842,0.004587235197369441,0.22686832740213525,,True,False,False,False,contrast_switch_control,0.22686832740213525,0.07750617023831019,0.006663683604882092,0.00953393813240108,0.3646652787341311,0.8539340446680326,0.004861641834154063,0.5318659063819904,-0.5270042645478362
b54t_local_shift_plus1,local_alignment_control,502,0.08134730913748246,40.8363491870162,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,endogenous,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.024618246700905497,0.0021997389266854763,0.009339626821419637,0.0045977558866593105,0.02842939913885528,0.008818022074710982,0.07829181494661921,0.0070921985815602835,0.002770083102493075,0.028850130436006,0.002389640238776377,0.8263552834786911,0.003203776029015509,0.7326816613516846,0.0032772701799859308,0.9821830867230428,0.001867303442203803,0.024618246700905497,0.0021997389266854763,0.6078158944390227,0.01874544907856739,0.04875635401378571,0.005955072073519489,208.0,0.0,0.9002556792307109,0.00823963740248597,0.826448908849218,0.0031102668102766626,0.2661921708185053,,True,False,False,False,contrast_switch_control,0.2661921708185053,0.041573165260022804,0.027535490722037845,0.017702566992233,0.6095167522947557,0.9181367549824972,0.003310409974422565,0.5289267154889176,-0.525616305514495
b54t_timing_phase,factorial_ablation,502,0.1019876262966782,51.19778840093245,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,endogenous,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.024169649230940525,0.0027043839190366457,0.004227248940353666,0.0038079864161393515,0.028574906415944627,0.006544480901791397,0.12455516014234876,0.0070921985815602835,0.019390581717451522,0.028335527204920132,0.0029856236291578055,0.8666991573944376,0.004323546332769662,0.7896510312200649,0.004361772311677513,0.9862521070554818,0.0021025672980965002,0.024169649230940525,0.0027043839190366457,0.6191714363238867,0.04023591950126546,0.03236385517380176,0.006218624739617264,214.0,0.0,0.8960428273222762,0.01107564457644928,0.8666991573944376,0.004323546332769662,0.2661921708185053,,True,False,False,False,contrast_switch_control,0.2661921708185053,0.0599165970783272,0.016715466328684956,0.009071338010745313,0.6148093113336711,0.936421146955152,0.0031551548324977733,0.5292802729406503,-0.5261251181081525
b54t_local_shift_minus5,local_alignment_control,502,0.08134730913748246,40.8363491870162,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,endogenous,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.022624810526018845,0.0024931488679418154,0.007753484514277818,0.0032668588266214493,0.02706416508318939,0.008345217786125765,0.1423487544483986,0.0070921985815602835,0.00554016620498615,0.026067178113807134,0.002703552442921094,0.8276099212853801,0.0027508933179008943,0.7297239678917661,0.0032536406759144858,0.9825287165246948,0.001998448649243422,0.022624810526018845,0.0024931488679418154,0.6169200439022613,0.03542039514920136,0.04533143743576218,0.005583029991993129,210.0,0.0,0.9073814558758745,0.0068610739562506495,0.8276355980928634,0.00273213038003003,0.2661921708185053,,True,False,False,False,contrast_switch_control,0.2661921708185053,0.034101208643666586,0.031049366839848897,0.014885007162788233,0.6183925735008075,0.9172661785973841,0.004559928741917843,0.5308446705181654,-0.5262847417762477
b54t_phase_strength_only,factorial_ablation,502,0.08134730913748248,40.836349187016204,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,endogenous,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.024464452279057827,0.0021539760305860868,0.0019586668262376594,0.004772116333174502,0.0269013676565879,0.010117376423341295,0.1494661921708185,0.0070921985815602835,0.002770083102493075,0.027853459765128253,0.002302694277820382,0.827283561247904,0.0029104871725810274,0.7313962403523492,0.0029771377895284434,0.983592489231056,0.0015765702658337812,0.024464452279057827,0.0021539760305860868,0.5907712598665706,0.012377598052453767,0.0430191073384262,0.004407119570446947,214.0,0.0,0.9053455994087667,0.008975684957334695,0.8273066954252636,0.00288796472548753,0.2661921708185053,,True,False,False,False,contrast_switch_control,0.2661921708185053,0.08537980782201583,-0.03162987366039841,0.029862688281021073,0.5904322116286113,0.8341878938624023,0.0022578696147489644,0.530334163030789,-0.52807629341604
b54t_local_shift_minus2,local_alignment_control,502,0.08134730913748246,40.8363491870162,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,endogenous,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.02227525786272368,0.0024387073244449336,0.007635270010090086,0.002746996670627007,0.027204485125859157,0.009742073512040787,0.15302491103202848,0.0070921985815602835,0.002770083102493075,0.02580562715788407,0.0026755959591047568,0.8273317298430125,0.0031948005802705675,0.7287440573985617,0.0037811370939994844,0.9829012033727392,0.0018970122234845763,0.02227525786272368,0.0024387073244449336,0.618099976378131,0.037766728842822284,0.04572787324319641,0.006160369184478488,208.0,0.0,0.9062213226810953,0.007868875433480678,0.8274137063322452,0.003148009902460143,0.2661921708185053,,True,False,False,False,contrast_switch_control,0.2661921708185053,0.03268879559566455,0.028164110596858846,0.015977741458289205,0.6182477699029216,0.9212073895426779,0.0038051220644145173,0.5299397862475214,-0.5261346641831068
b54t_local_shift_plus2,local_alignment_control,502,0.08134730913748246,40.8363491870162,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,endogenous,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.02188114255227377,0.0021963041001231325,0.005742806324303348,0.0020621945168491813,0.026131486034208166,0.007912759474321907,0.15658362989323843,0.0070921985815602835,0.002770083102493075,0.025647756684979827,0.0025328182963376346,0.8269803553976581,0.0034108284993568053,0.7314502638116733,0.003759953590921169,0.9828388743341914,0.0019225589281643158,0.02188114255227377,0.0021963041001231325,0.6401962124769232,0.03453924160877032,0.046767271534231866,0.006129316008657461,211.0,0.0,0.9022938461408622,0.007479757231089493,0.8270874957803865,0.0032974311650534544,0.2661921708185053,,True,False,False,False,contrast_switch_control,0.2661921708185053,0.02598960990884825,0.03145523242311453,0.018136297952210712,0.6345993210507751,0.9220402993959756,0.0033839880848633317,0.5295895080398374,-0.526205519954974
