event_class,n_event_steps,min_step,max_step,early_improvement,mid_improvement,late_improvement,early_n,mid_n,late_n,mean_late_window_stability,mean_final_readout
b54t_block_structure_only,206,0,239,0.0010976004443006605,-0.0023600861026455817,-0.003044928557739555,6800,6800,6800,0.695457434173994,0.5268077550012853
b54t_dphi_density_block_matched,201,0,239,0.0467827951522698,-0.04499730904191879,0.045700871161745135,6600,6700,6600,0.4163695365839926,0.7719717330747204
b54t_event_density_only,210,0,239,-0.0005011956061204297,-0.0031458803247153234,-0.01134273463864515,6900,7000,6900,0.5641325549774173,0.5296373115845237
b54t_local_shift_minus1,216,0,239,0.04794739295478875,0.026974977289087092,0.014769847553650304,7100,7200,7100,0.6191263525407305,0.9213926576027296
b54t_local_shift_minus2,210,0,239,0.03268879559566455,0.028164110596858846,0.015977741458289205,6900,7000,6900,0.6182477699029216,0.9212073895426779
b54t_local_shift_minus5,212,0,239,0.034101208643666586,0.031049366839848897,0.014885007162788233,7000,7000,7000,0.6183925735008075,0.9172661785973841
b54t_local_shift_plus1,210,0,239,0.041573165260022804,0.027535490722037845,0.017702566992233,6900,7000,6900,0.6095167522947557,0.9181367549824972
b54t_local_shift_plus2,213,0,239,0.02598960990884825,0.03145523242311453,0.018136297952210712,7000,7100,7000,0.6345993210507751,0.9220402993959756
b54t_local_shift_plus5,211,0,239,0.04040168530066858,0.02892023086775149,0.024367686395482025,7000,7000,6900,0.6138705554816332,0.9196578096830389
b54t_original_phi_geometry,216,0,239,0.047328062248706546,0.026883925932685945,0.014856745806552852,7100,7200,7100,0.6217113901410222,0.9213282359071105
b54t_phase_only,216,0,239,0.07750617023831019,0.006663683604882092,0.00953393813240108,7100,7200,7100,0.3646652787341311,0.8539340446680326
b54t_phase_strength,216,0,239,0.084979800357225,0.001457833849148904,-0.015547110383383607,7100,7200,7100,0.4048331248853749,0.7729897361497876
b54t_phase_strength_only,216,0,239,0.08537980782201583,-0.03162987366039841,0.029862688281021073,7100,7200,7100,0.5904322116286113,0.8341878938624023
b54t_strength_only,216,0,239,-0.006431420861173618,0.006669920057563609,-0.0009083339990531121,7100,7200,7100,0.6281874687214117,0.5460086499232104
b54t_timing_only,216,0,239,-0.001477064980116116,0.005242402571233471,-0.006715813167980702,7100,7200,7100,0.6129816797723275,0.5474712096303752
b54t_timing_phase,216,0,239,0.0599165970783272,0.016715466328684956,0.009071338010745313,7100,7200,7100,0.6148093113336711,0.936421146955152
b54t_timing_strength,216,0,239,-0.006038439473234457,0.006190774555484013,0.002849045042601708,7100,7200,7100,0.5552675194357088,0.5538721141517104
