event_class,event_role,n_events,n_labels,min_task_idx,max_task_idx,mean_strength
b54u_boundary_far_matched,boundary_distance_stratum,167,26,1.0,406.0,0.1704858075063907
b54u_boundary_middle_matched,boundary_distance_stratum,167,26,3.0,416.0,0.20643759180585688
b54u_boundary_near_matched,boundary_distance_stratum,167,26,11.0,417.0,0.3009022567936056
b54u_lag_0,lag_sweep,502,26,1.0,417.0,0.2259009710696841
b54u_lag_minus1,lag_sweep,502,26,0.0,416.0,0.2259009710696841
b54u_lag_minus12,lag_sweep,502,26,0.0,405.0,0.2259009710696841
b54u_lag_minus2,lag_sweep,502,26,0.0,415.0,0.2259009710696841
b54u_lag_minus3,lag_sweep,502,26,0.0,414.0,0.2259009710696841
b54u_lag_minus5,lag_sweep,502,26,0.0,412.0,0.2259009710696841
b54u_lag_minus8,lag_sweep,502,26,0.0,409.0,0.2259009710696841
b54u_lag_plus1,lag_sweep,502,26,2.0,417.0,0.2259009710696841
b54u_lag_plus12,lag_sweep,502,26,13.0,417.0,0.2259009710696841
b54u_lag_plus2,lag_sweep,502,26,3.0,417.0,0.2259009710696841
b54u_lag_plus3,lag_sweep,502,26,4.0,417.0,0.2259009710696841
b54u_lag_plus5,lag_sweep,502,26,6.0,417.0,0.2259009710696841
b54u_lag_plus8,lag_sweep,502,26,9.0,417.0,0.2259009710696841
b54u_leading_window_r1,one_sided_window,1004,26,0.0,417.0,0.11295048553484205
b54u_leading_window_r2,one_sided_window,1506,26,0.0,417.0,0.0753003236898947
b54u_leading_window_r5,one_sided_window,3012,26,0.0,417.0,0.03765016184494735
b54u_symmetric_window_r1,symmetric_window,1506,26,0.0,417.0,0.0753003236898947
b54u_symmetric_window_r2,symmetric_window,2510,26,0.0,417.0,0.04518019421393682
b54u_symmetric_window_r3,symmetric_window,3514,26,0.0,417.0,0.03227156729566916
b54u_symmetric_window_r5,symmetric_window,5522,26,0.0,417.0,0.020536451915425826
b54u_symmetric_window_r8,symmetric_window,8534,26,0.0,417.0,0.01328829241586377
b54u_trailing_window_r1,one_sided_window,1004,26,1.0,417.0,0.11295048553484205
b54u_trailing_window_r2,one_sided_window,1506,26,1.0,417.0,0.0753003236898947
b54u_trailing_window_r5,one_sided_window,3012,26,1.0,417.0,0.03765016184494735
