event_class,event_role,source_file,label,task_idx,phase,strength,event_rule
b54u_boundary_far_matched,boundary_distance_stratum,b5_4u_local_alignment_audit,P1,37.0,-0.14823509400177226,0.35090509718104734,far-boundary tercile; count matched
b54u_boundary_far_matched,boundary_distance_stratum,b5_4u_local_alignment_audit,P1,80.0,0.04098330143734222,0.09886662212521205,far-boundary tercile; count matched
b54u_boundary_far_matched,boundary_distance_stratum,b5_4u_local_alignment_audit,P1,97.0,0.019752890766218167,0.16945651226917918,far-boundary tercile; count matched
b54u_boundary_far_matched,boundary_distance_stratum,b5_4u_local_alignment_audit,P1,109.0,-0.22175138322247856,0.2852758562216058,far-boundary tercile; count matched
b54u_boundary_far_matched,boundary_distance_stratum,b5_4u_local_alignment_audit,P1,164.0,0.018015845295974137,0.0650695789350374,far-boundary tercile; count matched
b54u_boundary_far_matched,boundary_distance_stratum,b5_4u_local_alignment_audit,P1,213.0,0.0826799849791917,0.25498277915040096,far-boundary tercile; count matched
b54u_boundary_far_matched,boundary_distance_stratum,b5_4u_local_alignment_audit,P1,250.0,-0.0880840255914333,0.1203257521566732,far-boundary tercile; count matched
b54u_boundary_far_matched,boundary_distance_stratum,b5_4u_local_alignment_audit,P1,253.0,0.08888773721906444,0.10644740217334354,far-boundary tercile; count matched
b54u_boundary_far_matched,boundary_distance_stratum,b5_4u_local_alignment_audit,P1,266.0,0.6024508604545811,0.6809908275966515,far-boundary tercile; count matched
b54u_boundary_far_matched,boundary_distance_stratum,b5_4u_local_alignment_audit,P1,342.0,0.07833339810543556,0.17031715843836814,far-boundary tercile; count matched
b54u_boundary_far_matched,boundary_distance_stratum,b5_4u_local_alignment_audit,P1,376.0,0.11950965363179125,0.17023126882623255,far-boundary tercile; count matched
b54u_boundary_far_matched,boundary_distance_stratum,b5_4u_local_alignment_audit,P10,170.0,0.16937921554427482,0.18898246821238956,far-boundary tercile; count matched
b54u_boundary_far_matched,boundary_distance_stratum,b5_4u_local_alignment_audit,P10,386.0,-0.030243734669149286,0.12466410685584645,far-boundary tercile; count matched
b54u_boundary_far_matched,boundary_distance_stratum,b5_4u_local_alignment_audit,P11,62.0,0.008913260759410846,0.13270282175395198,far-boundary tercile; count matched
b54u_boundary_far_matched,boundary_distance_stratum,b5_4u_local_alignment_audit,P11,84.0,-0.19156498406652556,0.3236201101577263,far-boundary tercile; count matched
b54u_boundary_far_matched,boundary_distance_stratum,b5_4u_local_alignment_audit,P11,115.0,-0.04238653362433673,0.05600505137861626,far-boundary tercile; count matched
b54u_boundary_far_matched,boundary_distance_stratum,b5_4u_local_alignment_audit,P11,141.0,0.026563717386437202,0.1462041906124932,far-boundary tercile; count matched
b54u_boundary_far_matched,boundary_distance_stratum,b5_4u_local_alignment_audit,P11,206.0,-0.007723448376650677,0.3927199271386263,far-boundary tercile; count matched
b54u_boundary_far_matched,boundary_distance_stratum,b5_4u_local_alignment_audit,P11,319.0,0.011328744070790459,0.06056757418524806,far-boundary tercile; count matched
b54u_boundary_far_matched,boundary_distance_stratum,b5_4u_local_alignment_audit,P12,13.0,0.04310561361544996,0.05184749895608645,far-boundary tercile; count matched
b54u_boundary_far_matched,boundary_distance_stratum,b5_4u_local_alignment_audit,P12,54.0,-0.00880726142041277,0.06516682540482344,far-boundary tercile; count matched
b54u_boundary_far_matched,boundary_distance_stratum,b5_4u_local_alignment_audit,P12,87.0,0.12413733651787931,0.14891368213770784,far-boundary tercile; count matched
b54u_boundary_far_matched,boundary_distance_stratum,b5_4u_local_alignment_audit,P12,170.0,-0.1047082424722583,0.1351497674637015,far-boundary tercile; count matched
b54u_boundary_far_matched,boundary_distance_stratum,b5_4u_local_alignment_audit,P12,183.0,0.06886493539479539,0.2334719967933661,far-boundary tercile; count matched
b54u_boundary_far_matched,boundary_distance_stratum,b5_4u_local_alignment_audit,P12,348.0,0.005973580141317589,0.06122662575680863,far-boundary tercile; count matched
b54u_boundary_far_matched,boundary_distance_stratum,b5_4u_local_alignment_audit,P12,390.0,-0.032271741082391336,0.062431591670622864,far-boundary tercile; count matched
b54u_boundary_far_matched,boundary_distance_stratum,b5_4u_local_alignment_audit,P13,4.0,0.017507536512067587,0.0752733926089651,far-boundary tercile; count matched
b54u_boundary_far_matched,boundary_distance_stratum,b5_4u_local_alignment_audit,P13,36.0,-0.016218562878226914,0.028868109408940773,far-boundary tercile; count matched
b54u_boundary_far_matched,boundary_distance_stratum,b5_4u_local_alignment_audit,P13,67.0,-0.12641235492884795,0.1462652059218677,far-boundary tercile; count matched
