event_class,event_role,null_index,null_model,n_nodes,n_directed_edges,mean_bounded_differentiated_recovery,sd_bounded_differentiated_recovery,D12_recovery,D24_recovery
b54u_boundary_far_matched,boundary_distance_stratum,0,degree-matched directed random graph,12,48,0.009648769278570488,0.002634615888471929,0.5850356491018377,0.4876880555339284
b54u_boundary_far_matched,boundary_distance_stratum,1,degree-matched directed random graph,12,48,0.006967222267726204,0.0026252310829049247,0.5380779819219136,0.4753817873159197
b54u_boundary_far_matched,boundary_distance_stratum,2,degree-matched directed random graph,12,48,0.012982427631160335,0.002436545476084389,0.6272350632732294,0.5252303860780861
b54u_boundary_far_matched,boundary_distance_stratum,3,degree-matched directed random graph,12,48,0.017207448356942264,0.002054678227681474,0.657655432957384,0.5251248613590466
b54u_boundary_far_matched,boundary_distance_stratum,4,degree-matched directed random graph,12,48,0.009106815565214144,0.0010242147368130202,0.5605096243659696,0.5435770579664226
b54u_boundary_far_matched,boundary_distance_stratum,5,degree-matched directed random graph,12,48,0.003945293010447887,0.004773856253411268,0.48630074138269536,0.4639860854098421
b54u_boundary_far_matched,boundary_distance_stratum,6,degree-matched directed random graph,12,48,0.003254859079246719,0.0008210998287126809,0.5441383066270787,0.5064666534178079
b54u_boundary_far_matched,boundary_distance_stratum,7,degree-matched directed random graph,12,48,0.002168402961478766,0.0008669214493142012,0.5125770783571076,0.524299666046003
b54u_boundary_far_matched,boundary_distance_stratum,8,degree-matched directed random graph,12,48,0.003058348351300548,0.0013843664824032243,0.5436801746277286,0.5455805797899876
b54u_boundary_far_matched,boundary_distance_stratum,9,degree-matched directed random graph,12,48,0.0098775207062416,0.002811839620102063,0.5226842290370133,0.4515704215471497
b54u_boundary_far_matched,boundary_distance_stratum,10,degree-matched directed random graph,12,48,0.0065868901505991145,0.001727866916458828,0.5692248330503986,0.48951750294968854
b54u_boundary_far_matched,boundary_distance_stratum,11,degree-matched directed random graph,12,48,0.011335179567671999,0.0014194833044026856,0.6449551986228215,0.5012051717621865
b54u_boundary_far_matched,boundary_distance_stratum,12,degree-matched directed random graph,12,48,0.004485784353380061,0.0012108440209095532,0.5424084577497134,0.5158055921654368
b54u_boundary_far_matched,boundary_distance_stratum,13,degree-matched directed random graph,12,48,0.006238060933992144,0.003375415156418909,0.5633510637901114,0.5369483006917144
b54u_boundary_far_matched,boundary_distance_stratum,14,degree-matched directed random graph,12,48,0.012194187347415992,0.0014727273392481305,0.5989608117132781,0.5033463962829344
b54u_boundary_far_matched,boundary_distance_stratum,15,degree-matched directed random graph,12,48,0.008252746925195885,0.0028332127136416665,0.5657917045282824,0.4930208805035023
b54u_boundary_far_matched,boundary_distance_stratum,16,degree-matched directed random graph,12,48,0.015179824658620769,0.002680808065823345,0.6979763262045863,0.5658948772101127
b54u_boundary_far_matched,boundary_distance_stratum,17,degree-matched directed random graph,12,48,0.004273846427260986,0.0007295719214582708,0.5344150659843261,0.48101717970021624
b54u_boundary_far_matched,boundary_distance_stratum,18,degree-matched directed random graph,12,48,0.007378124435566621,0.001815814171908723,0.57356764616637,0.49869190681635417
b54u_boundary_far_matched,boundary_distance_stratum,19,degree-matched directed random graph,12,48,0.011385296492107122,0.0038758500753924385,0.5680480079387777,0.47973331848341316
b54u_boundary_far_matched,boundary_distance_stratum,20,degree-matched directed random graph,12,48,0.00909040311478383,0.002009922244676479,0.6142768860968579,0.5339518346561885
b54u_boundary_far_matched,boundary_distance_stratum,21,degree-matched directed random graph,12,48,0.005962770822088056,0.005584209115085603,0.5347035918341022,0.47301816130066626
b54u_boundary_far_matched,boundary_distance_stratum,22,degree-matched directed random graph,12,48,0.010147702741844544,0.003171273402110705,0.5876541363777503,0.4650590122434231
b54u_boundary_far_matched,boundary_distance_stratum,23,degree-matched directed random graph,12,48,0.005418294736243279,0.00391648389686352,0.5799047924731745,0.5130503780165423
b54u_boundary_far_matched,boundary_distance_stratum,24,degree-matched directed random graph,12,48,0.005897003556598818,0.002741815981210509,0.5139190776898815,0.47597341108368735
b54u_boundary_far_matched,boundary_distance_stratum,25,degree-matched directed random graph,12,48,0.009005537421311813,0.001438544584042609,0.6134869150472606,0.5061191504150154
b54u_boundary_far_matched,boundary_distance_stratum,26,degree-matched directed random graph,12,48,0.0032193219343700616,0.002261929656418217,0.5495253149664076,0.4826162408606907
b54u_boundary_far_matched,boundary_distance_stratum,27,degree-matched directed random graph,12,48,0.019050027665977198,0.0015613796060366162,0.6771953054426807,0.5283895574695608
b54u_boundary_far_matched,boundary_distance_stratum,28,degree-matched directed random graph,12,48,0.00804552214060287,0.001171401397870508,0.5534059216725947,0.47087984125935095
b54u_boundary_far_matched,boundary_distance_stratum,29,degree-matched directed random graph,12,48,0.011384291860697643,0.0033263208185324816,0.6085129586459671,0.4700014172757736
b54u_boundary_far_matched,boundary_distance_stratum,30,degree-matched directed random graph,12,48,0.01058787259518059,0.0020744708419452858,0.5585798703667381,0.4968122890457072
b54u_boundary_far_matched,boundary_distance_stratum,31,degree-matched directed random graph,12,48,0.004307002875612912,0.000891730980692688,0.5492870132637402,0.5235579335540218
b54u_boundary_far_matched,boundary_distance_stratum,32,degree-matched directed random graph,12,48,0.009993326642813818,0.002431090486695831,0.6293134761441642,0.5353481361262583
b54u_boundary_far_matched,boundary_distance_stratum,33,degree-matched directed random graph,12,48,0.0054976354265489575,0.0024025410446768375,0.5212566732361483,0.5147607641324036
b54u_boundary_far_matched,boundary_distance_stratum,34,degree-matched directed random graph,12,48,0.012281903743994557,0.0017583704037596431,0.5876424059465081,0.5305280764792312
