event_class,event_role,n_seed_events,mean_seed_strength,total_impulse_budget,primary_endpoint_name,topology_class,n_runs,steps,topology_name,topology_role,condition,n_nodes,n_directed_edges,edge_convention,topology_notes,mean_bounded_differentiated_recovery,sd_bounded_differentiated_recovery,effect_vs_time_shifted,effect_vs_random_event,effect_vs_C8,effect_vs_degree_null_mean,p_vs_time_shifted_and_random,p_vs_C8,p_vs_degree_null,D12_D24_recovery_improvement,D12_D24_recovery_improvement_sd,D12_recovery,D12_recovery_sd,D24_recovery,D24_recovery_sd,bounded_non_runaway_score,bounded_non_runaway_score_sd,differentiated_recovery,differentiated_recovery_sd,late_window_stability,late_window_stability_sd,mean_phase_locking,mean_phase_locking_sd,n_events_evaluated,n_events_evaluated_sd,non_collapsed_differentiation_score,non_collapsed_differentiation_score_sd,post_event_readout_score,post_event_readout_score_sd,primary_q_value,max_contrast_effect_vs_time_shifted,passes_effect_controls,passes_stability_gates,passes_contrast_switch_gate,positive_candidate,interpretation
b54u_boundary_far_matched,boundary_distance_stratum,167,0.08263387222485157,13.799856661550212,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,endogenous,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.03253976151136845,0.002884510215093023,0.023019517859062432,0.009480983654073682,0.021447725540553957,0.023163513210801377,0.05338078291814947,0.0070921985815602835,0.002770083102493075,0.03703661101046848,0.003173257657175966,0.7798277273010107,0.014451648612343174,0.6738165512934353,0.016924012831930988,0.9826980786136374,0.0023659963444960367,0.03253976151136845,0.002884510215093023,0.6434524966262459,0.03492097678672089,0.07808041919726065,0.015599090248146957,117.0,0.0,0.8710001260386959,0.014202661577989524,0.7820994092629653,0.01373190263836167,0.2775800711743772,,True,False,False,False,contrast_switch_control
b54u_boundary_far_matched,boundary_distance_stratum,167,0.08263387222485157,13.799856661550212,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,time_shifted,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.009520243652306016,0.003476735708875058,,,,,,,,0.010412444438866375,0.004081354954967597,0.7968925569344151,0.018076085085561994,0.6879066088889184,0.022454619580212512,0.9832320821848856,0.003432357097148905,0.009520243652306016,0.003476735708875058,0.4481895294221238,0.06100625956938145,0.07248071018954946,0.018974793218841098,118.0,0.0,0.8745868873985961,0.014796304067707497,0.7983890859535839,0.01766319471769393,,,False,False,False,False,control_or_reference_condition
b54u_boundary_far_matched,boundary_distance_stratum,167,0.08263387222485157,13.799856661550212,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,random_event,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.023058777857294765,0.007062622670592189,,,,,,,,0.025959765240194693,0.007903477820301654,0.7964144226751888,0.019493994390827978,0.7051372545251755,0.0287688625220921,0.9836567758541966,0.0030690317127236937,0.023058777857294765,0.007062622670592189,0.5800283796447732,0.2071745712201036,0.0767424606502511,0.020013861617426763,165.64285714285714,0.6444424896365691,0.8641519479424771,0.019512216962169735,0.7984771528677629,0.018944454838103073,,,False,False,False,False,control_or_reference_condition
b54u_boundary_far_matched,boundary_distance_stratum,167,0.08263387222485157,13.799856661550212,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,C8(1),contrast,c8_same_schedule,8,8,directed clockwise 1-jump,primary non-D12 contrast,0.01109203597081449,0.0026435717683453985,,,,,,,,0.018186712732209922,0.004561057275872127,0.4843997596780382,0.00923689161228366,0.5897800629940688,0.011028972865600338,0.862683683527873,0.0021992672341242295,0.01109203597081449,0.0026435717683453985,0.21833027164873556,0.055957020252595406,0.2104134312024321,0.01454505960948713,117.0,0.0,0.700664372189442,0.005073821472176849,0.6057934521036364,0.011090485448870284,,,False,False,False,False,control_or_reference_condition
b54u_boundary_middle_matched,boundary_distance_stratum,167,0.10291253724888358,17.186393720563558,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,endogenous,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.025271042845080666,0.0029756607806469193,-0.00012513048388808692,-4.33364350372438e-05,0.0309002289215958,0.011350555570375398,0.5160142348754448,0.0070921985815602835,0.002770083102493075,0.02822353637956055,0.003730857219057198,0.8392890971580347,0.020198991211540174,0.7771524212841856,0.025996426362288168,0.985411028850098,0.004187773917990514,0.025271042845080666,0.0029756607806469193,0.8502367313186202,0.1359315937496826,0.06003806885631303,0.020105470810486095,113.0,0.0,0.8480925349701743,0.024896344368884455,0.8416691313835315,0.01927448998440388,0.6966192170818506,,False,True,False,False,contrast_switch_control
b54u_boundary_middle_matched,boundary_distance_stratum,167,0.10291253724888358,17.186393720563558,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,time_shifted,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.025396173328968753,0.0036388920670815347,,,,,,,,0.02882924174330746,0.003842863947930788,0.8511271793584427,0.017729375395555375,0.7847966584130083,0.025434598519412613,0.9857209415151248,0.003938276974274051,0.025396173328968753,0.0036388920670815347,0.860654115242391,0.10220129488872766,0.055021325059881346,0.017787010596719117,115.0,0.0,0.8521905299665288,0.025100349101900243,0.8521126430908054,0.01738863295833394,,,False,True,False,False,control_or_reference_condition
b54u_boundary_middle_matched,boundary_distance_stratum,167,0.10291253724888358,17.186393720563558,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,random_event,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.02531437928011791,0.006156659610592666,,,,,,,,0.028522334979930314,0.006970195820497398,0.8468421185982783,0.018942861986025485,0.7759196749135663,0.027408794314243895,0.9854481066953281,0.004036893805123111,0.02531437928011791,0.006156659610592666,0.65739523955071,0.22488167565826353,0.05963443660962439,0.01862959017905745,165.6,0.6948792289723034,0.8506522933179438,0.025838244084836842,0.8480790168709996,0.018631623386495304,,,False,False,False,False,control_or_reference_condition
b54u_boundary_middle_matched,boundary_distance_stratum,167,0.10291253724888358,17.186393720563558,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,C8(1),contrast,c8_same_schedule,8,8,directed clockwise 1-jump,primary non-D12 contrast,-0.005629186076515134,0.0027013324988429013,,,,,,,,-0.009227049768603177,0.004368706424216257,0.4871283270739861,0.008264874653779616,0.5685740282902934,0.013677610342444165,0.860924626184575,0.002297826905746151,-0.005629186076515134,0.0027013324988429013,0.24318632677728788,0.06891396467607543,0.17838945713560425,0.010860919490478951,113.0,0.0,0.7066492526259925,0.004174346102612902,0.5854737210963743,0.010978332259875769,,,False,False,False,False,control_or_reference_condition
b54u_boundary_near_matched,boundary_distance_stratum,167,0.08963633110960254,14.969267295303624,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,endogenous,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.014854754320261444,0.002295994270674271,0.006067888298276394,-0.00035415194667891454,0.0011278267052811219,0.010731102146194119,0.29537366548042704,0.3191489361702128,0.01662049861495845,0.01788601796596117,0.003214685935860202,0.7195637161377162,0.008889520473465437,0.5982051747307594,0.008675861163902359,0.9757531553025891,0.001383514802985733,0.014854754320261444,0.002295994270674271,0.731314559104304,0.020167168576213094,0.10128785594145234,0.010587905985501007,129.0,0.0,0.866854257565471,0.007635910480762751,0.7213070968857573,0.007757309455640401,0.44306049822064053,,False,True,False,False,contrast_switch_control
b54u_boundary_near_matched,boundary_distance_stratum,167,0.08963633110960254,14.969267295303624,bounded_differentiated_recovery,standalone Cn(k) directed rings,140,240,"C12(1,2)",primary,time_shifted,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.00878686602198505,0.0016372677522414586,,,,,,,,0.011940553645987891,0.002089516059419416,0.7121144829369799,0.009304991084224818,0.5843434369250151,0.008148205986126816,0.9745392291521208,0.0012095217923015406,0.00878686602198505,0.0016372677522414586,0.4316240906748096,0.032290276728806515,0.10488609178930176,0.013713834213365994,129.0,0.0,0.8633389708314692,0.008166892020509213,0.7143106442528384,0.00802846238266557,,,False,False,False,False,control_or_reference_condition
