event_class,n_event_steps,min_step,max_step,early_improvement,mid_improvement,late_improvement,early_n,mid_n,late_n,mean_late_window_stability,mean_final_readout
b54u_boundary_far_matched,119,0,239,0.0805893618191005,-0.0003743267748256401,0.030644661038889517,3900,3900,3900,0.6497861865090843,0.9035265012232171
b54u_boundary_middle_matched,115,0,239,0.054571279330937576,0.029672585104654654,0.00022562666883568815,3800,3800,3700,0.8535859913088774,0.9505958273975499
b54u_boundary_near_matched,131,0,239,0.006076408439035255,0.04718926595466052,1.731384683723699e-05,4300,4300,4300,0.7346231877128113,0.788346127000601
b54u_lag_0,216,0,239,0.04660161651722556,0.02709051203091179,0.014701564292995763,7100,7200,7100,0.6190762346752912,0.9211676580393222
b54u_lag_minus1,216,0,239,0.04741047684067232,0.027083234549028744,0.014219571717373817,7100,7200,7100,0.6152606147493891,0.9203603935002291
b54u_lag_minus12,205,0,239,0.036343235972817786,0.0319693294614543,0.014893485269243244,6800,6800,6700,0.5986181967437546,0.9212840123251322
b54u_lag_minus2,210,0,239,0.032842140668242495,0.028226843481947542,0.0164868696592893,6900,7000,6900,0.6249406588694546,0.9224798929663627
b54u_lag_minus3,216,0,239,0.04081446707636253,0.029747262799232087,0.015189451800122017,7100,7200,7100,0.6141091572726634,0.9204891425280027
b54u_lag_minus5,212,0,239,0.03356356477215071,0.031191180397807505,0.014346966560282568,7000,7000,7000,0.6153573684206622,0.9160283109272759
b54u_lag_minus8,209,0,239,0.039920720875630616,0.029026414702086244,0.01638273436426696,6900,6900,6900,0.6046027492574967,0.9170980201784072
b54u_lag_plus1,210,0,239,0.0427818445446186,0.027568502873523852,0.01729339478386196,6900,7000,6900,0.6057865240870237,0.9171314496319062
b54u_lag_plus12,204,0,239,0.03053198836122235,0.028206965822546875,0.023000690540572567,6700,6800,6700,0.5936370116842845,0.9159631550099329
b54u_lag_plus2,213,0,239,0.02673550548336407,0.031217363644013514,0.018956668619694406,7000,7100,7000,0.6417110263136938,0.923207791631761
b54u_lag_plus3,207,0,239,0.02568633078347016,0.03114596453419971,0.02322857420599689,6800,6900,6800,0.6113187627742943,0.9182061090269836
b54u_lag_plus5,211,0,239,0.04085787314329793,0.02884773820035937,0.024186424988439537,7000,7000,6900,0.611997283295088,0.919395158325555
b54u_lag_plus8,211,0,239,0.038758855385832035,0.02772107571852162,0.025365944634835866,7000,7000,6900,0.6407455172561275,0.924434456335244
b54u_leading_window_r1,232,0,239,0.02261813329787484,0.025322789313065832,0.018224398354475313,7700,7700,7600,0.35612283519950777,0.9291713937264631
b54u_leading_window_r2,237,0,239,0.006487427316178986,0.02887951668892327,0.0009450261696162211,7800,7900,7800,0.2652187485988892,0.9274400459717481
b54u_leading_window_r5,240,0,239,-0.030453843069539393,0.03771396744322517,-0.030223332161413933,7900,8000,7900,0.005597033256393968,0.9076544913367874
b54u_symmetric_window_r1,239,0,239,0.005911490822954056,0.030614171075039952,0.008950396154645749,7900,7900,7900,0.33107134811911665,0.9344192941935371
b54u_symmetric_window_r2,240,0,239,-0.004976216197176341,0.028239111962075708,-0.009056621307918171,7900,8000,7900,0.14941035903751515,0.9223899666346546
b54u_symmetric_window_r3,240,0,239,-0.014923444245222465,0.030933577677225804,-0.011862871128680735,7900,8000,7900,0.20033526298793344,0.926329283556775
b54u_symmetric_window_r5,240,0,239,-0.037097221702843595,0.04291010322823179,-0.005707430281387092,7900,8000,7900,0.37145260471236546,0.9342926816615749
b54u_symmetric_window_r8,240,0,239,-0.07092540052817749,0.06682946225180254,0.0053069599149389145,7900,8000,7900,0.5948414393045112,0.9560417330332036
b54u_trailing_window_r1,233,0,239,0.0234654751776238,0.025864856592354876,0.013362943951046249,7700,7700,7700,0.3743282316692754,0.9310194783532566
b54u_trailing_window_r2,238,0,239,0.00835193458091333,0.030055057052967786,0.004599602130978841,7900,7900,7800,0.29734466367356627,0.9321561175388853
b54u_trailing_window_r5,240,0,239,-0.003060371037419337,0.027514561326806786,0.0007339273246153717,7900,8000,7900,0.2894955360895587,0.9350246283624485
