event_class,event_role,n_seed_events,mean_seed_strength,total_impulse_budget,primary_endpoint_name,topology_class,n_runs,steps,topology_name,topology_role,condition,n_nodes,n_directed_edges,edge_convention,topology_notes,mean_bounded_differentiated_recovery,sd_bounded_differentiated_recovery,effect_vs_time_shifted,effect_vs_random_event,effect_vs_C8,effect_vs_degree_null_mean,p_vs_time_shifted_and_random,p_vs_C8,p_vs_degree_null,D12_D24_recovery_improvement,D12_D24_recovery_improvement_sd,D12_recovery,D12_recovery_sd,D24_recovery,D24_recovery_sd,bounded_non_runaway_score,bounded_non_runaway_score_sd,differentiated_recovery,differentiated_recovery_sd,late_window_stability,late_window_stability_sd,mean_phase_locking,mean_phase_locking_sd,n_events_evaluated,n_events_evaluated_sd,non_collapsed_differentiation_score,non_collapsed_differentiation_score_sd,post_event_readout_score,post_event_readout_score_sd,primary_q_value,max_contrast_effect_vs_time_shifted,passes_effect_controls,passes_stability_gates,passes_contrast_switch_gate,positive_candidate,interpretation
b55_density_only_gate,density_control,1206,0.08144387420224278,98.2213122879048,bounded_differentiated_recovery,standalone Cn(k) directed rings,120,240,"C12(1,2)",primary,endogenous,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,-0.002123330408663097,0.001115389875056582,-0.0015631960371681125,-0.0029954955791498586,-0.0012435076641203926,-9.815111058734038e-05,0.975103734439834,0.8760330578512396,0.5548172757475083,-0.0034433319006560038,0.0017812657514867647,0.4966709715846676,0.0003978720613682537,0.498542945268791,0.00047160228979581164,0.9518329153054473,0.0010075959409869845,-0.002123330408663097,0.001115389875056582,0.5158315146980927,0.002471218119866048,0.6024854569370667,0.0005146689897322568,236.0,0.0,0.6296107744913562,0.000523578850605431,0.5135779309420824,0.0004252162146978721,0.9751037344398339,,False,False,False,False,contrast_switch_control
b55_density_only_gate,density_control,1206,0.08144387420224278,98.2213122879048,bounded_differentiated_recovery,standalone Cn(k) directed rings,120,240,"C12(1,2)",primary,time_shifted,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,-0.0005601343714949844,0.0008012455246884132,,,,,,,,-0.0011386649736733214,0.0015563470822799845,0.4978338701133136,0.0002915654673721192,0.4963215385502698,0.0003645906479370018,0.9515936829041766,0.0010328290601734267,-0.0005601343714949844,0.0008012455246884132,0.4101064890490348,0.0036125062460383157,0.600092800837539,0.0004762245817503611,236.0,0.0,0.6320708539314727,0.0004591790016819398,0.5140529691281438,0.0003479379781382837,,,False,False,False,False,control_or_reference_condition
b55_density_only_gate,density_control,1206,0.08144387420224278,98.2213122879048,bounded_differentiated_recovery,standalone Cn(k) directed rings,120,240,"C12(1,2)",primary,random_event,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.0008721651704867616,0.0015860924451076223,,,,,,,,0.001354473728895655,0.0026942562876629745,0.5002742499545648,0.008327591367386594,0.5011747162509155,0.007657878290445833,0.9510695174446094,0.0011977568617539585,0.0008721651704867616,0.0015860924451076223,0.4525232691014832,0.06276722948071442,0.6403454334007681,0.005200827047398363,236.35,1.2757350822173072,0.6104531439599303,0.004194779846441523,0.5173516276788981,0.006194971324544671,,,False,False,False,False,control_or_reference_condition
b55_density_only_gate,density_control,1206,0.08144387420224278,98.2213122879048,bounded_differentiated_recovery,standalone Cn(k) directed rings,120,240,C8(1),contrast,c8_same_schedule,8,8,directed clockwise 1-jump,primary non-D12 contrast,-0.0008798227445427043,0.0010288583802816659,,,,,,,,-0.0018018828731958753,0.0019641753886732467,0.5040852703827728,0.0004815088728511046,0.49311115184272514,0.0005319406253909023,0.874845129188761,0.001994326776529203,-0.0008798227445427043,0.0010288583802816659,0.41684624213068455,0.0034742472690693768,0.6116171987095332,0.000704421195156058,236.0,0.0,0.5613411491461994,0.0005383226251929741,0.518511744377675,0.0005128519605413091,,,False,False,False,False,control_or_reference_condition
b55_pairwise_ab_only,pairwise_control,109,0.09019510302936846,9.831266230201162,bounded_differentiated_recovery,standalone Cn(k) directed rings,120,240,"C12(1,2)",primary,endogenous,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.018271026945256973,0.0027147785938146725,0.007829764422226423,0.00223561860556799,0.0226950997303969,0.015164790234503728,0.21161825726141079,0.008264462809917356,0.0033222591362126247,0.021156054144637997,0.0035278585766934183,0.6933080382797723,0.014786244265102578,0.5775381874141885,0.014409860984181818,0.976216049275834,0.0015700580722817837,0.018271026945256973,0.0027147785938146725,0.5769325022044417,0.024613622393662257,0.11644224701502065,0.01873503941298798,79.0,0.0,0.8517371804695035,0.010628908052609042,0.69851676566697,0.013183186960476495,0.3809128630705394,,True,False,False,False,contrast_switch_control
b55_pairwise_ab_only,pairwise_control,109,0.09019510302936846,9.831266230201162,bounded_differentiated_recovery,standalone Cn(k) directed rings,120,240,"C12(1,2)",primary,time_shifted,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.01044126252303055,0.003028072381783247,,,,,,,,0.011573190524572226,0.004222222037654561,0.6947093487217155,0.014813880616934593,0.5749450199752069,0.017806696750171925,0.9767871271257261,0.0016547795165180134,0.01044126252303055,0.003028072381783247,0.350387986882143,0.04184158899561357,0.12672034562645265,0.024614242359765115,80.0,0.0,0.8470971925872935,0.015372674709096533,0.6994827995499643,0.013675886349647668,,,False,False,False,False,control_or_reference_condition
b55_pairwise_ab_only,pairwise_control,109,0.09019510302936846,9.831266230201162,bounded_differentiated_recovery,standalone Cn(k) directed rings,120,240,"C12(1,2)",primary,random_event,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.016035408339688983,0.008875228088366773,,,,,,,,0.018489774570139908,0.010423495353239129,0.6850477478498608,0.028066942545891756,0.5718659457421896,0.037406062248148554,0.9762566147726781,0.002379592972980309,0.016035408339688983,0.008875228088366773,0.502924120553392,0.20038603075475814,0.1281268711011408,0.024217502640165815,108.05833333333334,0.7222168803221247,0.8529493176790836,0.01633530047611527,0.6907686472920833,0.026908108008024664,,,False,False,False,False,control_or_reference_condition
b55_pairwise_ab_only,pairwise_control,109,0.09019510302936846,9.831266230201162,bounded_differentiated_recovery,standalone Cn(k) directed rings,120,240,C8(1),contrast,c8_same_schedule,8,8,directed clockwise 1-jump,primary non-D12 contrast,-0.004424072785139927,0.0032285528184174133,,,,,,,,-0.006971667568131192,0.0057730010162992725,0.4722088905155795,0.012125847115142401,0.47224868461065206,0.01192190146719275,0.8677553532621267,0.0020378019668265976,-0.004424072785139927,0.0032285528184174133,0.4617072221914717,0.12925927664800657,0.24842741543851243,0.02221395049200835,79.0,0.0,0.6858646697302115,0.006497693660903006,0.5055535740233909,0.009541457416552084,,,False,False,False,False,control_or_reference_condition
b55_pairwise_ac_only,pairwise_control,89,0.10550646416097303,9.3900753103266,bounded_differentiated_recovery,standalone Cn(k) directed rings,120,240,"C12(1,2)",primary,endogenous,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.03801496715958397,0.0036479761623853515,0.017321233009490667,0.016814753906203413,0.04212495947165511,0.03284178232386597,0.024896265560165973,0.008264462809917356,0.0033222591362126247,0.04396801940268331,0.004129390320571653,0.744210463229409,0.01614399037240548,0.6416073651420099,0.019760289186361434,0.9803170754227966,0.0032484572728161518,0.03801496715958397,0.0036479761623853515,0.5280145532089016,0.07177839777467844,0.10497286466403498,0.025083843257791533,75.0,0.0,0.848745221045004,0.01431503772801719,0.7479424246459897,0.015439192293210615,0.16804979253112032,,True,False,False,False,contrast_switch_control
b55_pairwise_ac_only,pairwise_control,89,0.10550646416097303,9.3900753103266,bounded_differentiated_recovery,standalone Cn(k) directed rings,120,240,"C12(1,2)",primary,time_shifted,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.0206937341500933,0.0036267466171296314,,,,,,,,0.02352593739450685,0.004600244473776808,0.7304507894789073,0.02371993668121216,0.6270838206426489,0.024308448858907056,0.9814760204724642,0.002401491522772178,0.0206937341500933,0.0036267466171296314,0.5343706184154321,0.04560086894766823,0.09790705170742163,0.02614098664018501,77.0,0.0,0.859083689778734,0.01940351308282642,0.7357333252393824,0.021993426730890015,,,False,False,False,False,control_or_reference_condition
