label,idx_in_session,event_class,event_role,delta,future_AB,return_gain,pre_AB,TFC_mean,TFC_min,A_C,B_C,A_B_at_t,closure_min_z,constraint_closure_min_z
P1,3.0,b55_density_only_gate,density_control,5,0.013752881948671188,,,0.1875380547650054,0.1875380547650054,,,0.1875380547650054,-1.5574327579278338,0.34301260745806256
P1,7.0,b55_density_only_gate,density_control,5,0.22054813523466515,,,0.18338540244252263,0.18338540244252263,,,0.18338540244252263,0.26614217853561684,0.26614217853561684
P1,11.0,b55_density_only_gate,density_control,5,0.22972169925047317,,,0.17731835948074032,0.17731835948074032,,,0.17731835948074032,0.15383415018512947,0.15383415018512947
P1,19.0,b55_density_only_gate,density_control,5,0.0440291910735436,-0.5419876765301666,0.5860168676037102,0.20620005836704766,0.1828692530011805,0.19662324958451508,0.1828692530011805,0.2391076725154474,-1.2791049457941546,-2.955181694946921
P1,42.0,b55_density_only_gate,density_control,5,0.20660109910889468,-0.013947036125770473,0.22054813523466515,0.15628428672228512,0.00689610046082181,0.00689610046082181,0.3583805531111812,0.10357620659485237,-0.2355310240131474,-0.2355310240131474
P1,45.0,b55_density_only_gate,density_control,5,0.21339594788929392,-0.10486382280918302,0.31825977069847694,0.16948596093514837,0.10390213027795255,0.10390213027795255,0.2580250000955039,0.14653075243198865,0.008847334787296083,-0.5418081251331586
P1,47.0,b55_density_only_gate,density_control,5,0.08264733577247979,-0.14442769954577356,0.22707503531825335,0.1483088471164837,0.11794780418983472,0.11794780418983472,0.12037763805072174,0.20660109910889468,-0.9240912722850974,-0.7602414447121987
P1,94.0,b55_density_only_gate,density_control,5,0.04634502075183338,-0.15830373340127352,0.2046487541531069,0.15673790182490296,0.07918041050712035,0.07918041050712035,0.19424350742986204,0.19678978753772652,-1.2578156993085874,-0.8368514331071125
P1,97.0,b55_density_only_gate,density_control,5,0.05409734904052015,-0.13757684839239442,0.19167419743291458,0.16215334184076566,0.07505492834051637,0.07505492834051637,0.19447645648144415,0.21692864070033638,-1.1865491336703191,-0.7224176953021589
P1,109.0,b55_density_only_gate,density_control,5,0.09030823243551363,-0.3232398514508199,0.4135480838863335,0.15818648342332498,0.07290265788635794,0.07290265788635794,0.25527286526659415,0.14638392711702283,-0.8536652306427643,-1.7474685605415146
P1,112.0,b55_density_only_gate,density_control,5,0.01677344410184444,-0.522806806741996,0.5395802508438404,0.20361480415116615,0.08060826200156905,0.08060826200156905,0.30948303906566244,0.22075311138626696,-1.5296649592823952,-2.8492835523524027
P1,114.0,b55_density_only_gate,density_control,5,0.1147701786720052,-0.16926668904083822,0.2840368677128434,0.17707795793925643,0.07665534356376837,0.07665534356376837,0.3642702978184873,0.09030823243551363,-0.6287884152933942,-0.8973782315472959
P1,120.0,b55_density_only_gate,density_control,5,0.1883097719446587,-0.0753188788264108,0.2636286507710695,0.1760824187383396,0.03409769843052781,0.18092192800362697,0.03409769843052781,0.313227629780864,0.047255484785675525,-0.37868962605631945
P1,135.0,b55_density_only_gate,density_control,5,0.2562777197393053,0.1424776340774239,0.1138000856618814,0.13332415322591964,0.04723172846422768,0.04723172846422768,0.11717436281759726,0.23556636839593403,-0.6874091766689554,-0.6874091766689554
P1,147.0,b55_density_only_gate,density_control,5,0.4809213625562093,0.46414791845436487,0.016773444101844448,0.11627210594645554,0.0540421134045885,0.0540421134045885,0.10889904742991664,0.18587515700486146,-1.5611095157527712,-1.5611095157527712
