mode,endpoint,direction,comparison,mean_true_c,mean_ab_history,effect,p_greater,n_pairs,passes
linear_c_state,z_reward,A_to_C_to_B,true_c_intersection_vs_ab_history_policy,-0.6043177364472337,-0.4255623880395955,-0.17875534840763826,0.9974005198960207,79,False
linear_c_state,z_reward,B_to_C_to_A,true_c_intersection_vs_ab_history_policy,-0.6638222948500208,-0.4255623880395955,-0.2382599068104253,1.0,79,False
linear_c_state,rank_reward,A_to_C_to_B,true_c_intersection_vs_ab_history_policy,-0.567879015034395,-0.34971975311639397,-0.21815926191800106,0.9996000799840032,79,False
linear_c_state,rank_reward,B_to_C_to_A,true_c_intersection_vs_ab_history_policy,-0.6167090194525405,-0.34971975311639397,-0.2669892663361465,1.0,79,False
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,true_c_intersection_vs_ab_history_policy,-0.23268078060079295,-0.21720106381097906,-0.015479716789813854,0.8464307138572286,79,False
linear_c_state,gmr72_bridge_composite,B_to_C_to_A,true_c_intersection_vs_ab_history_policy,-0.25131471256695687,-0.21720106381097906,-0.03411364875597781,0.9906018796240752,79,False
gmr72_phase_conditioned,z_reward,A_to_C_to_B,true_c_intersection_vs_ab_history_policy,-0.6046359837135435,-0.4255623880395955,-0.1790735956739478,0.9968006398720256,79,False
gmr72_phase_conditioned,z_reward,B_to_C_to_A,true_c_intersection_vs_ab_history_policy,-0.6683129123719772,-0.4255623880395955,-0.24275052433238184,1.0,79,False
gmr72_phase_conditioned,rank_reward,A_to_C_to_B,true_c_intersection_vs_ab_history_policy,-0.5672121211652803,-0.34971975311639397,-0.2174923680488864,0.999000199960008,79,False
gmr72_phase_conditioned,rank_reward,B_to_C_to_A,true_c_intersection_vs_ab_history_policy,-0.6188057904253564,-0.34971975311639397,-0.2690860373089625,1.0,79,False
gmr72_phase_conditioned,gmr72_bridge_composite,A_to_C_to_B,true_c_intersection_vs_ab_history_policy,-0.2322477685692637,-0.21720106381097906,-0.015046704758284627,0.8202359528094381,79,False
gmr72_phase_conditioned,gmr72_bridge_composite,B_to_C_to_A,true_c_intersection_vs_ab_history_policy,-0.25281053652401936,-0.21720106381097906,-0.03560947271304031,0.994001199760048,79,False
fes_string_conditioned,z_reward,A_to_C_to_B,true_c_intersection_vs_ab_history_policy,-0.6453873476930061,-0.4255623880395955,-0.21982495965341062,1.0,79,False
fes_string_conditioned,z_reward,B_to_C_to_A,true_c_intersection_vs_ab_history_policy,-0.6944277989100636,-0.4255623880395955,-0.2688654108704679,1.0,79,False
fes_string_conditioned,rank_reward,A_to_C_to_B,true_c_intersection_vs_ab_history_policy,-0.626802396916124,-0.34971975311639397,-0.27708264379972997,1.0,79,False
fes_string_conditioned,rank_reward,B_to_C_to_A,true_c_intersection_vs_ab_history_policy,-0.6616777953866614,-0.34971975311639397,-0.3119580422702673,1.0,79,False
fes_string_conditioned,gmr72_bridge_composite,A_to_C_to_B,true_c_intersection_vs_ab_history_policy,-0.23750764510034553,-0.21720106381097906,-0.020306581289366424,0.9200159968006398,79,False
fes_string_conditioned,gmr72_bridge_composite,B_to_C_to_A,true_c_intersection_vs_ab_history_policy,-0.25253217414729706,-0.21720106381097906,-0.035331110336318014,0.9946010797840432,79,False
combined_c_fes_gmr72,z_reward,A_to_C_to_B,true_c_intersection_vs_ab_history_policy,-0.6242706272351255,-0.4255623880395955,-0.19870823919552982,0.9998000399920016,79,False
combined_c_fes_gmr72,z_reward,B_to_C_to_A,true_c_intersection_vs_ab_history_policy,-0.6346731989766168,-0.4255623880395955,-0.2091108109370212,1.0,79,False
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,true_c_intersection_vs_ab_history_policy,-0.5866500141007969,-0.34971975311639397,-0.2369302609844031,1.0,79,False
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,true_c_intersection_vs_ab_history_policy,-0.5815339323612918,-0.34971975311639397,-0.23181417924489775,0.9998000399920016,79,False
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,true_c_intersection_vs_ab_history_policy,-0.2438886828630849,-0.21720106381097906,-0.026687619052105836,0.9316136772645471,79,False
combined_c_fes_gmr72,gmr72_bridge_composite,B_to_C_to_A,true_c_intersection_vs_ab_history_policy,-0.24682707670704002,-0.21720106381097906,-0.02962601289606093,0.9744051189762047,79,False
