mode,endpoint,path,direction_with_c,arm_type_with_c,pass_count_with_c,core_pass_count_with_c,survives_with_c,fails_with_c,mean_effect_with_c,mean_core_effect_with_c,mean_true_access_effect_with_c,direction_no_c,arm_type_no_c,pass_count_no_c,core_pass_count_no_c,survives_no_c,fails_no_c,mean_effect_no_c,mean_core_effect_no_c,mean_true_access_effect_no_c,c_necessary_pattern,access_effect_gap_with_c_minus_no_c,direction_w,true_c_non_substitutable,mean_effect_true_minus_fake,direction_z,phase_collapse_detected,first_significant_collapse_degrees,narrow_boundary_supported,b71_frozen_b6_supported
linear_c_state,rank_reward,B_path,B_to_C_to_A,with_c_intersection,5,3,True,False,0.0680890952053347,0.056847474508588,-0.6594298734361925,B_to_A_no_C,no_c_direct_ab,1,0,False,True,0.0039845075921997,-0.0013154531714615,-0.7243245405813526,True,0.0581629276800496,B_to_C_to_A,True,0.0682173737170786,B_to_C_to_A,True,22.5,True,True
gmr72_phase_conditioned,rank_reward,B_path,B_to_C_to_A,with_c_intersection,5,3,True,False,0.0649903576775532,0.0535799542626035,-0.6622754368866695,B_to_A_no_C,no_c_direct_ab,1,0,False,True,0.0039845075921997,-0.0013154531714615,-0.7243245405813526,True,0.054895407434065,B_to_C_to_A,True,0.0642062880216323,B_to_C_to_A,True,22.5,True,True
linear_c_state,rank_reward,A_path,A_to_C_to_B,with_c_intersection,5,3,True,False,0.0634331184861992,0.0525515792175717,-0.6645096745245741,A_to_B_no_C,no_c_direct_ab,1,0,False,True,-3.827124193004593e-05,-0.0013154531714615,-0.7243245405813526,True,0.0538670323890333,A_to_C_to_B,True,0.039781039105865,A_to_C_to_B,True,22.5,True,True
gmr72_phase_conditioned,rank_reward,A_path,A_to_C_to_B,with_c_intersection,5,3,True,False,0.0621815095608962,0.0506034659038305,-0.6647165268672198,A_to_B_no_C,no_c_direct_ab,1,0,False,True,-3.827124193004593e-05,-0.0013154531714615,-0.7243245405813526,True,0.051918919075292,A_to_C_to_B,True,0.037301458971436,A_to_C_to_B,True,22.5,True,True
linear_c_state,z_reward,B_path,B_to_C_to_A,with_c_intersection,5,3,True,False,0.0608969420111973,0.0480473799269546,-0.6667860859214115,B_to_A_no_C,no_c_direct_ab,1,0,False,True,0.0039686229507464,-0.0013059481053828,-0.7290410663847228,True,0.0493533280323374,B_to_C_to_A,True,0.0616690330346876,B_to_C_to_A,True,22.5,True,True
gmr72_phase_conditioned,z_reward,B_path,B_to_C_to_A,with_c_intersection,5,3,True,False,0.0573503200214344,0.0444327036950986,-0.6702306265480349,B_to_A_no_C,no_c_direct_ab,1,0,False,True,0.0039686229507464,-0.0013059481053828,-0.7290410663847228,True,0.0457386518004815,B_to_C_to_A,True,0.0565517862493825,B_to_C_to_A,True,22.5,True,True
combined_c_fes_gmr72,rank_reward,A_path,A_to_C_to_B,with_c_intersection,5,3,True,False,0.0454710082498663,0.04274388529251,-0.6821306903104767,A_to_B_no_C,no_c_direct_ab,1,0,False,True,0.0037031103857541,-0.0013154531714615,-0.7243245405813526,True,0.0440593384639715,A_to_C_to_B,False,0.0180195674245186,A_to_C_to_B,True,22.5,True,False
combined_c_fes_gmr72,rank_reward,B_path,B_to_C_to_A,with_c_intersection,4,3,True,False,0.0377464676247083,0.0401391270952357,-0.6894363253276026,B_to_A_no_C,no_c_direct_ab,1,0,False,True,0.0042734686726179,-0.0013154531714615,-0.7243245405813526,True,0.0414545802666973,B_to_C_to_A,False,0.0235450571691784,B_to_C_to_A,True,22.5,True,False
linear_c_state,z_reward,A_path,A_to_C_to_B,with_c_intersection,5,3,True,False,0.0520131572576207,0.0385857228967625,-0.6758495687440289,A_to_B_no_C,no_c_direct_ab,1,0,False,True,0.0016391640598244,-0.0013059481053828,-0.7290410663847228,True,0.0398916710021453,A_to_C_to_B,True,0.0324092553852126,A_to_C_to_B,True,22.5,True,True
gmr72_phase_conditioned,z_reward,A_path,A_to_C_to_B,with_c_intersection,5,3,True,False,0.0509744458540598,0.0366369043062387,-0.6755231193671457,A_to_B_no_C,no_c_direct_ab,1,0,False,True,0.0016391640598244,-0.0013059481053828,-0.7290410663847228,True,0.0379428524116216,A_to_C_to_B,True,0.0298850988052655,A_to_C_to_B,True,22.5,True,True
