mode,endpoint,direction,comparison,passes_all_core_fake_controls,n_core_fake_controls_passed,mean_effect_true_minus_fake
linear_c_state,rank_reward,B_to_C_to_A,true_c_vs_core_fake_c_controls,True,5,0.0682173737170786
gmr72_phase_conditioned,rank_reward,B_to_C_to_A,true_c_vs_core_fake_c_controls,True,5,0.0642062880216323
linear_c_state,z_reward,B_to_C_to_A,true_c_vs_core_fake_c_controls,True,5,0.0616690330346876
gmr72_phase_conditioned,z_reward,B_to_C_to_A,true_c_vs_core_fake_c_controls,True,5,0.0565517862493825
linear_c_state,rank_reward,A_to_C_to_B,true_c_vs_core_fake_c_controls,True,5,0.039781039105865
gmr72_phase_conditioned,rank_reward,A_to_C_to_B,true_c_vs_core_fake_c_controls,True,5,0.037301458971436
linear_c_state,z_reward,A_to_C_to_B,true_c_vs_core_fake_c_controls,True,5,0.0324092553852126
gmr72_phase_conditioned,z_reward,A_to_C_to_B,true_c_vs_core_fake_c_controls,True,5,0.0298850988052655
linear_c_state,gmr72_bridge_composite,B_to_C_to_A,true_c_vs_core_fake_c_controls,True,5,0.0084388628639925
gmr72_phase_conditioned,gmr72_bridge_composite,B_to_C_to_A,true_c_vs_core_fake_c_controls,True,5,0.0062809307925805
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,true_c_vs_core_fake_c_controls,True,5,0.0062383463832846
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,true_c_vs_core_fake_c_controls,False,3,0.0235450571691784
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,true_c_vs_core_fake_c_controls,False,3,0.0180195674245186
gmr72_phase_conditioned,gmr72_bridge_composite,A_to_C_to_B,true_c_vs_core_fake_c_controls,False,3,0.0047051847385076
fes_string_conditioned,rank_reward,A_to_C_to_B,true_c_vs_core_fake_c_controls,False,2,0.0098603078325291
fes_string_conditioned,rank_reward,B_to_C_to_A,true_c_vs_core_fake_c_controls,False,1,0.0053084457083818
fes_string_conditioned,gmr72_bridge_composite,A_to_C_to_B,true_c_vs_core_fake_c_controls,False,1,0.0008996910055599
combined_c_fes_gmr72,z_reward,B_to_C_to_A,true_c_vs_core_fake_c_controls,False,0,0.0123433308457103
combined_c_fes_gmr72,z_reward,A_to_C_to_B,true_c_vs_core_fake_c_controls,False,0,0.0072348767243094
combined_c_fes_gmr72,gmr72_bridge_composite,B_to_C_to_A,true_c_vs_core_fake_c_controls,False,0,0.0016623611220053
fes_string_conditioned,z_reward,B_to_C_to_A,true_c_vs_core_fake_c_controls,False,0,0.0013716824510713
fes_string_conditioned,gmr72_bridge_composite,B_to_C_to_A,true_c_vs_core_fake_c_controls,False,0,0.001063057358188
fes_string_conditioned,z_reward,A_to_C_to_B,true_c_vs_core_fake_c_controls,False,0,0.0006704154636776
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,true_c_vs_core_fake_c_controls,False,0,0.0005921127999546
