mode,endpoint,direction,phase_collapse_detected,first_significant_collapse_degrees,mean_true_minus_shift,narrow_boundary_supported
linear_c_state,gmr72_bridge_composite,B_to_C_to_A,True,22.5,0.0040002198126898,True
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,True,22.5,0.0045364658737056,True
gmr72_phase_conditioned,gmr72_bridge_composite,A_to_C_to_B,True,22.5,0.0040231378500666,True
gmr72_phase_conditioned,gmr72_bridge_composite,B_to_C_to_A,True,22.5,0.0029442156179596,True
linear_c_state,rank_reward,B_to_C_to_A,True,22.5,0.0246760772975807,True
gmr72_phase_conditioned,rank_reward,B_to_C_to_A,True,22.5,0.0247694688406424,True
linear_c_state,z_reward,B_to_C_to_A,True,22.5,0.0253272367584596,True
gmr72_phase_conditioned,z_reward,B_to_C_to_A,True,22.5,0.0241440118283232,True
linear_c_state,rank_reward,A_to_C_to_B,True,22.5,0.0219398932922889,True
gmr72_phase_conditioned,rank_reward,A_to_C_to_B,True,22.5,0.0217120930824022,True
gmr72_phase_conditioned,z_reward,A_to_C_to_B,True,22.5,0.0241588449729235,True
linear_c_state,z_reward,A_to_C_to_B,True,22.5,0.0240181124994741,True
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,True,22.5,0.0198274177346307,True
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,True,22.5,0.0155981816631691,True
combined_c_fes_gmr72,z_reward,A_to_C_to_B,True,22.5,0.0167138137715247,True
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,False,,0.0030620444796074,False
combined_c_fes_gmr72,gmr72_bridge_composite,B_to_C_to_A,False,,0.000599778822364,False
fes_string_conditioned,gmr72_bridge_composite,B_to_C_to_A,False,,7.153142620063727e-19,False
fes_string_conditioned,gmr72_bridge_composite,A_to_C_to_B,False,,-2.488049606978687e-19,False
combined_c_fes_gmr72,z_reward,B_to_C_to_A,False,,0.0108391322384529,False
fes_string_conditioned,rank_reward,B_to_C_to_A,False,,1.7001672314354365e-18,False
fes_string_conditioned,rank_reward,A_to_C_to_B,False,,2.539883973790744e-18,False
fes_string_conditioned,z_reward,B_to_C_to_A,False,,-2.2807121397304634e-19,False
fes_string_conditioned,z_reward,A_to_C_to_B,False,,1.4513622707375677e-18,False
