mode,endpoint,direction,passes_ab_history,passes_fake_c,passes_phase_collapse,frozen_b6_supported,b71_primary_supported,effect_vs_ab_history,p_vs_ab_history
linear_c_state,z_reward,A_to_C_to_B,False,True,True,True,False,-0.17875534840763826,0.9974005198960207
linear_c_state,z_reward,B_to_C_to_A,False,True,True,True,False,-0.2382599068104253,1.0
linear_c_state,rank_reward,A_to_C_to_B,False,True,True,True,False,-0.21815926191800106,0.9996000799840032
linear_c_state,rank_reward,B_to_C_to_A,False,True,True,True,False,-0.2669892663361465,1.0
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,False,True,True,True,False,-0.015479716789813854,0.8464307138572286
linear_c_state,gmr72_bridge_composite,B_to_C_to_A,False,True,True,True,False,-0.03411364875597781,0.9906018796240752
gmr72_phase_conditioned,z_reward,A_to_C_to_B,False,True,True,True,False,-0.1790735956739478,0.9968006398720256
gmr72_phase_conditioned,z_reward,B_to_C_to_A,False,True,True,True,False,-0.24275052433238184,1.0
gmr72_phase_conditioned,rank_reward,A_to_C_to_B,False,True,True,True,False,-0.2174923680488864,0.999000199960008
gmr72_phase_conditioned,rank_reward,B_to_C_to_A,False,True,True,True,False,-0.2690860373089625,1.0
gmr72_phase_conditioned,gmr72_bridge_composite,A_to_C_to_B,False,False,True,False,False,-0.015046704758284627,0.8202359528094381
gmr72_phase_conditioned,gmr72_bridge_composite,B_to_C_to_A,False,True,True,True,False,-0.03560947271304031,0.994001199760048
fes_string_conditioned,z_reward,A_to_C_to_B,False,False,False,False,False,-0.21982495965341062,1.0
fes_string_conditioned,z_reward,B_to_C_to_A,False,False,False,False,False,-0.2688654108704679,1.0
fes_string_conditioned,rank_reward,A_to_C_to_B,False,False,False,False,False,-0.27708264379972997,1.0
fes_string_conditioned,rank_reward,B_to_C_to_A,False,False,False,False,False,-0.3119580422702673,1.0
fes_string_conditioned,gmr72_bridge_composite,A_to_C_to_B,False,False,False,False,False,-0.020306581289366424,0.9200159968006398
fes_string_conditioned,gmr72_bridge_composite,B_to_C_to_A,False,False,False,False,False,-0.035331110336318014,0.9946010797840432
combined_c_fes_gmr72,z_reward,A_to_C_to_B,False,False,True,False,False,-0.19870823919552982,0.9998000399920016
combined_c_fes_gmr72,z_reward,B_to_C_to_A,False,False,False,False,False,-0.2091108109370212,1.0
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,False,False,True,False,False,-0.2369302609844031,1.0
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,False,False,True,False,False,-0.23181417924489775,0.9998000399920016
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,False,False,False,False,False,-0.026687619052105836,0.9316136772645471
combined_c_fes_gmr72,gmr72_bridge_composite,B_to_C_to_A,False,False,False,False,False,-0.02962601289606093,0.9744051189762047
