mode,endpoint,direction,control_level,mean_true_c,mean_control,effect_true_minus_control,p_true_greater,n_pairs,passes
linear_c_state,z_reward,A_to_C_to_B,strict_past_ab_only,-0.6485108812946611,-0.7343208852912535,0.08581000399659246,0.0007998400319936012,145,True
linear_c_state,z_reward,A_to_C_to_B,expanded_past_ab_only,-0.6485108812946611,-0.7343208852912535,0.08581000399659246,0.0011997600479904018,145,True
linear_c_state,z_reward,A_to_C_to_B,operator_proxy_ab,-0.6485108812946611,-0.36334861819110453,-0.28516226310355647,1.0,145,False
linear_c_state,z_reward,B_to_C_to_A,strict_past_ab_only,-0.6137270777317783,-0.7343208852912535,0.12059380755947517,0.0003999200159968006,145,True
linear_c_state,z_reward,B_to_C_to_A,expanded_past_ab_only,-0.6137270777317783,-0.7343208852912535,0.12059380755947517,0.0003999200159968006,145,True
linear_c_state,z_reward,B_to_C_to_A,operator_proxy_ab,-0.6137270777317783,-0.36334861819110453,-0.2503784595406738,1.0,145,False
linear_c_state,rank_reward,A_to_C_to_B,strict_past_ab_only,-0.6064597123342564,-0.7050118793713457,0.09855216703708924,0.0001999600079984003,145,True
linear_c_state,rank_reward,A_to_C_to_B,expanded_past_ab_only,-0.6064597123342564,-0.7050118793713457,0.09855216703708924,0.0005998800239952009,145,True
linear_c_state,rank_reward,A_to_C_to_B,operator_proxy_ab,-0.6064597123342564,-0.3007770003191647,-0.3056827120150917,1.0,145,False
linear_c_state,rank_reward,B_to_C_to_A,strict_past_ab_only,-0.5822649307585873,-0.7050118793713457,0.12274694861275838,0.0001999600079984003,145,True
linear_c_state,rank_reward,B_to_C_to_A,expanded_past_ab_only,-0.5822649307585873,-0.7050118793713457,0.12274694861275838,0.0001999600079984003,145,True
linear_c_state,rank_reward,B_to_C_to_A,operator_proxy_ab,-0.5822649307585873,-0.3007770003191647,-0.2814879304394226,1.0,145,False
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,strict_past_ab_only,-0.27285085973688367,-0.299663018979425,0.026812159242541298,0.010197960407918417,145,True
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,expanded_past_ab_only,-0.27285085973688367,-0.299663018979425,0.026812159242541298,0.010397920415916816,145,True
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,operator_proxy_ab,-0.27285085973688367,-0.23770635075286214,-0.0351445089840215,0.9992001599680064,145,False
linear_c_state,gmr72_bridge_composite,B_to_C_to_A,strict_past_ab_only,-0.26589267199459704,-0.299663018979425,0.033770346984827906,0.005198960207958408,145,True
linear_c_state,gmr72_bridge_composite,B_to_C_to_A,expanded_past_ab_only,-0.26589267199459704,-0.299663018979425,0.033770346984827906,0.003799240151969606,145,True
linear_c_state,gmr72_bridge_composite,B_to_C_to_A,operator_proxy_ab,-0.26589267199459704,-0.23770635075286214,-0.028186321241734903,0.991001799640072,145,False
gmr72_phase_conditioned,z_reward,A_to_C_to_B,strict_past_ab_only,-0.6531129980927801,-0.7343208852912535,0.08120788719847338,0.0011997600479904018,145,True
gmr72_phase_conditioned,z_reward,A_to_C_to_B,expanded_past_ab_only,-0.6531129980927801,-0.7343208852912535,0.08120788719847338,0.0021995600879824036,145,True
gmr72_phase_conditioned,z_reward,A_to_C_to_B,operator_proxy_ab,-0.6531129980927801,-0.36334861819110453,-0.28976437990167553,1.0,145,False
gmr72_phase_conditioned,z_reward,B_to_C_to_A,strict_past_ab_only,-0.6211451109858563,-0.7343208852912535,0.11317577430539716,0.0001999600079984003,145,True
gmr72_phase_conditioned,z_reward,B_to_C_to_A,expanded_past_ab_only,-0.6211451109858563,-0.7343208852912535,0.11317577430539716,0.0001999600079984003,145,True
gmr72_phase_conditioned,z_reward,B_to_C_to_A,operator_proxy_ab,-0.6211451109858563,-0.36334861819110453,-0.2577964927947518,1.0,145,False
gmr72_phase_conditioned,rank_reward,A_to_C_to_B,strict_past_ab_only,-0.611060240177722,-0.7050118793713457,0.0939516391936236,0.0001999600079984003,145,True
gmr72_phase_conditioned,rank_reward,A_to_C_to_B,expanded_past_ab_only,-0.611060240177722,-0.7050118793713457,0.0939516391936236,0.0005998800239952009,145,True
gmr72_phase_conditioned,rank_reward,A_to_C_to_B,operator_proxy_ab,-0.611060240177722,-0.3007770003191647,-0.3102832398585573,1.0,145,False
gmr72_phase_conditioned,rank_reward,B_to_C_to_A,strict_past_ab_only,-0.5858147542221935,-0.7050118793713457,0.11919712514915214,0.0001999600079984003,145,True
gmr72_phase_conditioned,rank_reward,B_to_C_to_A,expanded_past_ab_only,-0.5858147542221935,-0.7050118793713457,0.11919712514915214,0.0001999600079984003,145,True
gmr72_phase_conditioned,rank_reward,B_to_C_to_A,operator_proxy_ab,-0.5858147542221935,-0.3007770003191647,-0.2850377539030289,1.0,145,False
gmr72_phase_conditioned,gmr72_bridge_composite,A_to_C_to_B,strict_past_ab_only,-0.2751099825828901,-0.299663018979425,0.024553036396534833,0.023795240951809637,145,True
gmr72_phase_conditioned,gmr72_bridge_composite,A_to_C_to_B,expanded_past_ab_only,-0.2751099825828901,-0.299663018979425,0.024553036396534833,0.01899620075984803,145,True
gmr72_phase_conditioned,gmr72_bridge_composite,A_to_C_to_B,operator_proxy_ab,-0.2751099825828901,-0.23770635075286214,-0.03740363183002798,0.9994001199760048,145,False
gmr72_phase_conditioned,gmr72_bridge_composite,B_to_C_to_A,strict_past_ab_only,-0.2684102044177958,-0.299663018979425,0.03125281456162916,0.007798440311937612,145,True
gmr72_phase_conditioned,gmr72_bridge_composite,B_to_C_to_A,expanded_past_ab_only,-0.2684102044177958,-0.299663018979425,0.03125281456162916,0.007798440311937612,145,True
gmr72_phase_conditioned,gmr72_bridge_composite,B_to_C_to_A,operator_proxy_ab,-0.2684102044177958,-0.23770635075286214,-0.03070385366493364,0.997000599880024,145,False
fes_string_conditioned,z_reward,A_to_C_to_B,strict_past_ab_only,-0.6987493910311149,-0.7343208852912535,0.03557149426013859,0.06418716256748651,145,False
fes_string_conditioned,z_reward,A_to_C_to_B,expanded_past_ab_only,-0.6987493910311149,-0.7343208852912535,0.03557149426013859,0.06818636272745451,145,False
fes_string_conditioned,z_reward,A_to_C_to_B,operator_proxy_ab,-0.6987493910311149,-0.36334861819110453,-0.33540077284001035,1.0,145,False
fes_string_conditioned,z_reward,B_to_C_to_A,strict_past_ab_only,-0.6878924566826311,-0.7343208852912535,0.046428428608622334,0.038592281543691265,145,True
fes_string_conditioned,z_reward,B_to_C_to_A,expanded_past_ab_only,-0.6878924566826311,-0.7343208852912535,0.046428428608622334,0.03499300139972006,145,True
fes_string_conditioned,z_reward,B_to_C_to_A,operator_proxy_ab,-0.6878924566826311,-0.36334861819110453,-0.32454383849152657,1.0,145,False
fes_string_conditioned,rank_reward,A_to_C_to_B,strict_past_ab_only,-0.657570387593165,-0.7050118793713457,0.04744149177818069,0.021995600879824034,145,True
fes_string_conditioned,rank_reward,A_to_C_to_B,expanded_past_ab_only,-0.657570387593165,-0.7050118793713457,0.04744149177818069,0.023795240951809637,145,True
fes_string_conditioned,rank_reward,A_to_C_to_B,operator_proxy_ab,-0.657570387593165,-0.3007770003191647,-0.3567933872740003,1.0,145,False
fes_string_conditioned,rank_reward,B_to_C_to_A,strict_past_ab_only,-0.6488932104865325,-0.7050118793713457,0.05611866888481322,0.007798440311937612,145,True
fes_string_conditioned,rank_reward,B_to_C_to_A,expanded_past_ab_only,-0.6488932104865325,-0.7050118793713457,0.05611866888481322,0.008598280343931213,145,True
fes_string_conditioned,rank_reward,B_to_C_to_A,operator_proxy_ab,-0.6488932104865325,-0.3007770003191647,-0.3481162101673678,1.0,145,False
fes_string_conditioned,gmr72_bridge_composite,A_to_C_to_B,strict_past_ab_only,-0.2809320730862229,-0.299663018979425,0.01873094589320204,0.027994401119776045,145,True
fes_string_conditioned,gmr72_bridge_composite,A_to_C_to_B,expanded_past_ab_only,-0.2809320730862229,-0.299663018979425,0.01873094589320204,0.028994201159768047,145,True
fes_string_conditioned,gmr72_bridge_composite,A_to_C_to_B,operator_proxy_ab,-0.2809320730862229,-0.23770635075286214,-0.043225722333360764,1.0,145,False
fes_string_conditioned,gmr72_bridge_composite,B_to_C_to_A,strict_past_ab_only,-0.2781034299650956,-0.299663018979425,0.02155958901432935,0.02399520095980804,145,True
fes_string_conditioned,gmr72_bridge_composite,B_to_C_to_A,expanded_past_ab_only,-0.2781034299650956,-0.299663018979425,0.02155958901432935,0.021795640871825634,145,True
fes_string_conditioned,gmr72_bridge_composite,B_to_C_to_A,operator_proxy_ab,-0.2781034299650956,-0.23770635075286214,-0.040397079212233455,0.9998000399920016,145,False
combined_c_fes_gmr72,z_reward,A_to_C_to_B,strict_past_ab_only,-0.6955771814545567,-0.7343208852912535,0.03874370383669669,0.09018196360727855,145,False
combined_c_fes_gmr72,z_reward,A_to_C_to_B,expanded_past_ab_only,-0.6955771814545567,-0.7343208852912535,0.03874370383669669,0.08798240351929613,145,False
combined_c_fes_gmr72,z_reward,A_to_C_to_B,operator_proxy_ab,-0.6955771814545567,-0.36334861819110453,-0.33222856326345224,1.0,145,False
combined_c_fes_gmr72,z_reward,B_to_C_to_A,strict_past_ab_only,-0.7054201502399922,-0.7343208852912535,0.02890073505126135,0.11857628474305139,145,False
combined_c_fes_gmr72,z_reward,B_to_C_to_A,expanded_past_ab_only,-0.7054201502399922,-0.7343208852912535,0.02890073505126135,0.1315736852629474,145,False
combined_c_fes_gmr72,z_reward,B_to_C_to_A,operator_proxy_ab,-0.7054201502399922,-0.36334861819110453,-0.34207153204888757,1.0,145,False
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,strict_past_ab_only,-0.6582170980464946,-0.7050118793713457,0.04679478132485095,0.05018996200759848,145,False
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,expanded_past_ab_only,-0.6582170980464946,-0.7050118793713457,0.04679478132485095,0.055188962207558485,145,False
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,operator_proxy_ab,-0.6582170980464946,-0.3007770003191647,-0.35744009772733004,1.0,145,False
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,strict_past_ab_only,-0.6677488350563425,-0.7050118793713457,0.037263044315003165,0.0665866826634673,145,False
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,expanded_past_ab_only,-0.6677488350563425,-0.7050118793713457,0.037263044315003165,0.05858828234353129,145,False
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,operator_proxy_ab,-0.6677488350563425,-0.3007770003191647,-0.3669718347371778,1.0,145,False
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,strict_past_ab_only,-0.2853969711692958,-0.299663018979425,0.014266047810129145,0.10037992401519696,145,False
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,expanded_past_ab_only,-0.2853969711692958,-0.299663018979425,0.014266047810129145,0.09498100379924015,145,False
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,operator_proxy_ab,-0.2853969711692958,-0.23770635075286214,-0.047690620416433654,1.0,145,False
combined_c_fes_gmr72,gmr72_bridge_composite,B_to_C_to_A,strict_past_ab_only,-0.28663044908257795,-0.299663018979425,0.013032569896847025,0.13717256548690263,145,False
combined_c_fes_gmr72,gmr72_bridge_composite,B_to_C_to_A,expanded_past_ab_only,-0.28663044908257795,-0.299663018979425,0.013032569896847025,0.1341731653669266,145,False
combined_c_fes_gmr72,gmr72_bridge_composite,B_to_C_to_A,operator_proxy_ab,-0.28663044908257795,-0.23770635075286214,-0.04892409832971578,1.0,145,False
