mode,endpoint,direction,frozen_b6_supported,passes_strict_past_ab_only,passes_expanded_past_ab_only,passes_causal_past_operator_estimator,passes_lag_horizon_separated_o1o2,passes_operator_proxy_ab,b72_primary_supported,interpretation
linear_c_state,z_reward,A_to_C_to_B,True,True,True,True,True,False,True,endpoint_adjacent_o1o2_boundary_not_simple_ab_history
linear_c_state,z_reward,B_to_C_to_A,True,True,True,True,True,False,True,endpoint_adjacent_o1o2_boundary_not_simple_ab_history
linear_c_state,rank_reward,A_to_C_to_B,True,True,True,True,True,False,True,endpoint_adjacent_o1o2_boundary_not_simple_ab_history
linear_c_state,rank_reward,B_to_C_to_A,True,True,True,True,True,False,True,endpoint_adjacent_o1o2_boundary_not_simple_ab_history
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,True,True,True,True,True,False,True,endpoint_adjacent_o1o2_boundary_not_simple_ab_history
linear_c_state,gmr72_bridge_composite,B_to_C_to_A,True,True,True,True,True,False,True,endpoint_adjacent_o1o2_boundary_not_simple_ab_history
gmr72_phase_conditioned,z_reward,A_to_C_to_B,True,True,True,True,True,False,True,endpoint_adjacent_o1o2_boundary_not_simple_ab_history
gmr72_phase_conditioned,z_reward,B_to_C_to_A,True,True,True,True,True,False,True,endpoint_adjacent_o1o2_boundary_not_simple_ab_history
gmr72_phase_conditioned,rank_reward,A_to_C_to_B,True,True,True,True,True,False,True,endpoint_adjacent_o1o2_boundary_not_simple_ab_history
gmr72_phase_conditioned,rank_reward,B_to_C_to_A,True,True,True,True,True,False,True,endpoint_adjacent_o1o2_boundary_not_simple_ab_history
gmr72_phase_conditioned,gmr72_bridge_composite,A_to_C_to_B,False,True,True,True,True,False,False,not_frozen_b6_supported_or_incomplete
gmr72_phase_conditioned,gmr72_bridge_composite,B_to_C_to_A,True,True,True,True,True,False,True,endpoint_adjacent_o1o2_boundary_not_simple_ab_history
fes_string_conditioned,z_reward,A_to_C_to_B,False,False,False,True,False,False,False,not_frozen_b6_supported_or_incomplete
fes_string_conditioned,z_reward,B_to_C_to_A,False,True,True,True,True,False,False,not_frozen_b6_supported_or_incomplete
fes_string_conditioned,rank_reward,A_to_C_to_B,False,True,True,True,True,False,False,not_frozen_b6_supported_or_incomplete
fes_string_conditioned,rank_reward,B_to_C_to_A,False,True,True,True,True,False,False,not_frozen_b6_supported_or_incomplete
fes_string_conditioned,gmr72_bridge_composite,A_to_C_to_B,False,True,True,True,True,False,False,not_frozen_b6_supported_or_incomplete
fes_string_conditioned,gmr72_bridge_composite,B_to_C_to_A,False,True,True,True,True,False,False,not_frozen_b6_supported_or_incomplete
combined_c_fes_gmr72,z_reward,A_to_C_to_B,False,False,False,False,False,False,False,not_frozen_b6_supported_or_incomplete
combined_c_fes_gmr72,z_reward,B_to_C_to_A,False,False,False,False,False,False,False,not_frozen_b6_supported_or_incomplete
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,False,False,False,True,False,False,False,not_frozen_b6_supported_or_incomplete
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,False,False,False,True,False,False,False,not_frozen_b6_supported_or_incomplete
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,False,False,False,False,False,False,False,not_frozen_b6_supported_or_incomplete
combined_c_fes_gmr72,gmr72_bridge_composite,B_to_C_to_A,False,False,False,False,False,False,False,not_frozen_b6_supported_or_incomplete
