mode,endpoint,direction,frozen_b6_supported,joint_o1o2_boundary,boundary_classification,c_beats_o1_lag0_only,effect_o1_lag0_only,c_beats_o2_lag5_only,effect_o2_lag5_only,c_beats_o1_o2_joint,effect_o1_o2_joint,c_beats_phase_removed_o1o2,effect_phase_removed_o1o2,c_beats_tfc_removed_o1o2,effect_tfc_removed_o1o2,c_beats_side_shuffled_o1o2,effect_side_shuffled_o1o2,c_beats_memory_only_o1o2,effect_memory_only_o1o2,c_beats_residual_endpoint_o1o2,effect_residual_endpoint_o1o2
linear_c_state,z_reward,A_to_C_to_B,True,True,pure_ab_operator_proxy;side_directional_proxy;residual_endpoint_proxy,False,-0.15451260529766234,False,-0.17268856506517644,False,-0.28516226310355647,False,-0.28516226310355647,False,-0.2747311534589554,True,0.06244366417738017,True,0.08803385534856856,False,-0.28345537210602967
linear_c_state,z_reward,B_to_C_to_A,True,True,pure_ab_operator_proxy;side_directional_proxy;residual_endpoint_proxy,False,-0.1197288017347796,False,-0.1379047615022937,False,-0.2503784595406738,False,-0.2503784595406738,False,-0.2399473498960726,True,0.09722746774026289,True,0.12281765891145129,False,-0.24867156854314693
linear_c_state,rank_reward,A_to_C_to_B,True,True,pure_ab_operator_proxy;side_directional_proxy;residual_endpoint_proxy,False,-0.14347611617982028,False,-0.17864788267811418,False,-0.3056827120150917,False,-0.3056827120150917,False,-0.2847921321510606,True,0.08066793667512323,True,0.10141515971421236,False,-0.2986608837727693
linear_c_state,rank_reward,B_to_C_to_A,True,True,pure_ab_operator_proxy;side_directional_proxy;residual_endpoint_proxy,False,-0.11928133460415116,False,-0.15445310110244503,False,-0.2814879304394226,False,-0.2814879304394226,False,-0.2605973505753914,True,0.10486271825079237,True,0.1256099412898815,False,-0.27446610219710016
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,True,True,pure_ab_operator_proxy;side_directional_proxy;residual_endpoint_proxy,False,-0.007033454604466362,False,-0.011147018233895101,False,-0.0351445089840215,False,-0.0351445089840215,False,-0.029518970977769243,True,0.023302174559633078,True,0.027196950078002168,False,-0.0337177786175909
linear_c_state,gmr72_bridge_composite,B_to_C_to_A,True,True,pure_ab_operator_proxy;side_directional_proxy;residual_endpoint_proxy,False,-7.526686217975162e-05,False,-0.004188830491608496,False,-0.028186321241734903,False,-0.028186321241734903,False,-0.02256078323548264,True,0.030260362301919683,True,0.03415513782028877,False,-0.02675959087530429
gmr72_phase_conditioned,z_reward,A_to_C_to_B,True,True,pure_ab_operator_proxy;side_directional_proxy;residual_endpoint_proxy,False,-0.15911472209578137,False,-0.1772906818632955,False,-0.28976437990167553,False,-0.28976437990167553,False,-0.27933327025707444,True,0.0578415473792611,True,0.08343173855044948,False,-0.2880574889041488
gmr72_phase_conditioned,z_reward,B_to_C_to_A,True,True,pure_ab_operator_proxy;side_directional_proxy;residual_endpoint_proxy,False,-0.12714683498885762,False,-0.1453227947563717,False,-0.2577964927947518,False,-0.2577964927947518,False,-0.24736538315015066,True,0.08980943448618488,True,0.11539962565737329,False,-0.25608960179722495
gmr72_phase_conditioned,rank_reward,A_to_C_to_B,True,True,pure_ab_operator_proxy;side_directional_proxy;residual_endpoint_proxy,False,-0.14807664402328594,False,-0.18324841052157984,False,-0.3102832398585573,False,-0.3102832398585573,False,-0.28939265999452624,True,0.07606740883165758,True,0.09681463187074671,False,-0.30326141161623493
gmr72_phase_conditioned,rank_reward,B_to_C_to_A,True,True,pure_ab_operator_proxy;side_directional_proxy;residual_endpoint_proxy,False,-0.12283115806775742,False,-0.15800292456605125,False,-0.2850377539030289,False,-0.2850377539030289,False,-0.26414717403899773,True,0.10131289478718611,True,0.12206011782627524,False,-0.2780159256607064
