control_level,frozen_regimes,c_beats_count,control_bounds_c_count,mean_true_minus_control,median_true_minus_control
direction_label_only,11,11,0,0.08059534865798715,0.08869086262135693
communication_direction_only,11,0,11,-0.09787169398207607,-0.1217550915559951
symmetric_midpoint_control,11,0,11,-0.084361912017594,-0.10406410194870881
sender_receiver_transfer_control,11,0,11,-0.12280275899860266,-0.14862431960888367
asymmetric_standpoint_control,11,0,11,-0.11078546338071606,-0.14614119279718607
standpoint_inverted_control,11,0,11,-0.1100103758280604,-0.12356641841927832
endpoint_o1o2_reference,11,0,11,-0.2145116286770407,-0.2814879304394226
endpoint_o1o2_direction_swapped,11,11,0,0.07048150397536307,0.07671733446414458
endpoint_o1o2_asymmetric_standpoint,11,0,11,-0.04480749390964299,-0.05965023923689861
endpoint_o1o2_standpoint_inverted,11,0,11,-0.0450043562547972,-0.03647518236504196
standpoint_consistent_split_operator,11,0,11,-0.11202517754310083,-0.1432341335336357
standpoint_inverted_split_operator,11,0,11,-0.1116686400459505,-0.13416086900380125
standpoint_operator_side_only,11,0,11,-0.11042534126410591,-0.12283115806775742
standpoint_wrong_operator_side_only,11,0,11,-0.11079930159405396,-0.1453227947563717
standpoint_consistent_operator_contrast,11,0,11,-0.05849434902388282,-0.07612260896471841
standpoint_inverted_operator_contrast,11,0,11,-0.0585012460699414,-0.07530562726474373
standpoint_contrast_with_side_polarity,11,0,11,-0.06609005301852094,-0.08537406569448139
standpoint_inverted_contrast_with_side_polarity,11,0,11,-0.06611173576132373,-0.08495839920524784
mismatch_train_consistent_test_inverted,11,11,0,0.25798862913787624,0.33011531302054453
mismatch_train_endpoint_test_direction_swapped,11,8,3,0.06889125103350556,0.08326882695973983
fixed_b6p_direction_mask,11,11,0,0.05518832924605937,0.06384137205132966
fixed_b6p_swapped_mask,11,6,5,0.05552602889809378,0.05783214187901037
fixed_receiver_pair_mask,11,9,2,0.08232711595617477,0.10395479403941038
fixed_giver_pair_mask,11,5,6,0.0840318069952818,0.07796994929260445
fixed_ab_receiver_only,11,9,2,0.10932583053660423,0.12994987025483853
fixed_c_receiver_boundary_only,11,0,11,0.04634070830576858,0.056321762694637026
closure_scalar_only,11,11,0,0.08267153399995675,0.09173255110742595
closure_2ode_local,11,11,0,0.06377624754134815,0.0656341166893876
directed_transport_closure_control,11,0,11,-0.06609005301852094,-0.08537406569448139
factorisation_3x8,11,0,11,-0.06809839578728392,-0.09524670434802292
factorisation_2x2x6,11,11,0,0.06076341934592371,0.060963554243073856
factorisation_path_consistent,11,11,0,0.08500706207459051,0.09482720793925907
factorisation_path_shuffled,11,11,0,0.08500706207459051,0.09482720793925907
factorisation_path_mismatch_train_test,11,11,0,0.08500706207459051,0.09482720793925907
