control_level,frozen_regimes,c_beats_count,control_bounds_c_count,mean_true_minus_control,median_true_minus_control
scalar_c,11,11,0,0.08085664314418708,0.09803644401906743
directed_c,11,2,9,0.027005631096161165,0.022688512528906583
directed_c_direction_relabel,11,2,9,0.027005631096161165,0.022688512528906583
directed_c_direction_swapped,11,4,7,0.027196755038891553,0.031049755221825518
directed_c_side_shuffled,11,11,0,0.08779262897034007,0.10638258998116369
directed_provenance_c,11,11,0,0.08816857574373745,0.10473379547183417
directed_provenance_side_swapped,11,11,0,0.08816857574373745,0.10473379547183417
directed_provenance_endpoint_pair_swapped,11,11,0,0.08816857574373745,0.10473379547183417
directed_provenance_train_test_mismatch,11,11,0,0.08816857574373745,0.10473379547183417
fixed_mask_control,11,11,0,0.06475861341253714,0.0723915466606093
static_scalar_closure,11,11,0,0.09044786998866422,0.10300759596389047
directed_transport_closure_o1o2,11,0,11,-0.05090654254160484,-0.07851608948648503
endpoint_o1o2_reference,11,0,11,-0.2165284157152471,-0.2903876355724564
