control_level,frozen_regimes,c_beats_count,control_bounds_c_count,mean_true_minus_control,median_true_minus_control
directed_c_compact,11,0,11,0.03890508227996258,0.04159201530322596
directed_c_minimal,11,2,9,0.05422571964838913,0.0494829072139058
directed_c_with_side_polarity,11,0,11,0.03340371068530047,0.027685179155321996
directed_c_with_endpoint_free_transport,11,0,11,-0.06589241507066788,-0.0532605093356772
provenance_add_phase_strength,11,0,11,0.03204642183398125,0.024316853731785475
provenance_add_tfc_memory,11,2,9,0.07002115411775213,0.07977213837143252
provenance_add_fes,11,0,11,0.05382119647118742,0.061973427176141516
full_directed_provenance,11,2,9,0.0632191690533376,0.05910817988331549
regularized_directed_provenance,11,0,11,0.03890508227996258,0.04159201530322596
provenance_shuffled_control,11,2,9,0.0632191690533376,0.05910817988331549
endpoint_o1o2_reference,11,0,11,-0.28281785382431274,-0.3442018738178117
directed_transport_closure_o1o2,11,0,11,-0.1260129840390793,-0.15187748300800966
