control_level,endpoint,direction,fold,label,idx_in_session,control_state,access_readout,baseline_max,access_effect
directed_c_compact,z_reward,A_to_C_to_B,0,P1,42.0,dir=0.0|side=B_side|ss=q3|sp=q3,-0.006183647146074306,0.23874259993798955,-0.24492624708406385
directed_c_compact,z_reward,A_to_C_to_B,0,P1,53.0,dir=0.0|side=A_side|ss=q1|sp=q1,-0.08305070349155405,0.27105184120500864,-0.35410254469656266
directed_c_compact,z_reward,A_to_C_to_B,0,P1,66.0,dir=0.0|side=A_side|ss=q1|sp=q1,-0.27785586532253276,-0.11240762471671713,-0.16544824060581564
directed_c_compact,z_reward,A_to_C_to_B,0,P1,85.0,dir=0.0|side=B_side|ss=q2|sp=q2,0.14035478780939714,0.3980827009213903,-0.25772791311199317
directed_c_compact,z_reward,A_to_C_to_B,0,P1,86.0,dir=0.0|side=B_side|ss=q2|sp=q2,0.042483794396894356,0.39464251403717204,-0.3521587196402777
directed_c_compact,z_reward,A_to_C_to_B,0,P1,102.0,dir=0.0|side=B_side|ss=q2|sp=q3,-0.1771346766054404,0.8250719898715565,-1.0022066664769969
directed_c_compact,z_reward,A_to_C_to_B,0,P1,114.0,dir=0.0|side=B_side|ss=q3|sp=q3,-0.35428843824450734,0.3643920326028562,-0.7186804708473635
directed_c_compact,z_reward,A_to_C_to_B,0,P1,135.0,dir=0.0|side=B_side|ss=q1|sp=q2,-0.019944792780319312,0.42706140166106754,-0.44700619444138684
directed_c_compact,z_reward,A_to_C_to_B,0,P1,145.0,dir=0.0|side=B_side|ss=q2|sp=q3,-0.36092760581048466,-0.1796107088980925,-0.18131689691239217
directed_c_compact,z_reward,A_to_C_to_B,0,P1,155.0,dir=0.0|side=B_side|ss=q1|sp=q2,0.6363541672555432,0.6416854206739528,-0.005331253418409676
directed_c_compact,z_reward,A_to_C_to_B,0,P1,164.0,dir=0.0|side=B_side|ss=q1|sp=q2,-0.31894040685727865,-0.3254742262239457,0.006533819366667026
directed_c_compact,z_reward,A_to_C_to_B,0,P1,169.0,dir=0.0|side=B_side|ss=q1|sp=q2,-0.4437558493244581,-0.4195961830615734,-0.024159666262884683
directed_c_compact,z_reward,A_to_C_to_B,0,P1,192.0,dir=0.0|side=B_side|ss=q2|sp=q3,-0.3180755844226711,0.22187920902976552,-0.5399547934524366
directed_c_compact,z_reward,A_to_C_to_B,0,P1,218.0,dir=0.0|side=B_side|ss=q3|sp=q3,0.0044662286770494886,0.011510311914277038,-0.00704408323722755
directed_c_compact,z_reward,A_to_C_to_B,0,P1,255.0,dir=0.0|side=B_side|ss=q2|sp=q2,0.23532572796815415,0.09991751910410465,0.1354082088640495
directed_c_compact,z_reward,A_to_C_to_B,0,P1,258.0,dir=0.0|side=A_side|ss=q1|sp=q1,-0.4328177744594907,-0.4186095427032559,-0.014208231756234813
directed_c_compact,z_reward,A_to_C_to_B,0,P1,265.0,dir=0.0|side=A_side|ss=q1|sp=q1,-0.232826127496515,-0.21303899276849084,-0.019787134728024153
directed_c_compact,z_reward,A_to_C_to_B,0,P1,271.0,dir=0.0|side=B_side|ss=q1|sp=q2,0.4105334485155945,0.44332324059411216,-0.03278979207851768
directed_c_compact,z_reward,A_to_C_to_B,0,P1,281.0,dir=0.0|side=B_side|ss=q2|sp=q3,-0.3442230056473315,-0.48575950952823577,0.14153650388090427
directed_c_compact,z_reward,A_to_C_to_B,0,P1,300.0,dir=0.0|side=B_side|ss=q2|sp=q3,0.050032394729517864,0.3598323642566379,-0.30979996952712
directed_c_compact,z_reward,A_to_C_to_B,0,P1,302.0,dir=0.0|side=B_side|ss=q2|sp=q2,-0.3974649547935924,0.366693738483463,-0.7641586932770554
directed_c_compact,z_reward,A_to_C_to_B,0,P1,317.0,dir=0.0|side=B_side|ss=q2|sp=q2,-0.03027630605437613,2.1389810860230374,-2.1692573920774136
directed_c_compact,z_reward,A_to_C_to_B,0,P1,330.0,dir=0.0|side=A_side|ss=q3|sp=q1,-0.14298009629063763,2.0734849254830934,-2.216465021773731
directed_c_compact,z_reward,A_to_C_to_B,0,P1,347.0,dir=0.0|side=B_side|ss=q3|sp=q3,-0.08251110627316427,0.0762166990413331,-0.15872780531449737
directed_c_compact,z_reward,A_to_C_to_B,0,P1,362.0,dir=0.0|side=B_side|ss=q2|sp=q3,0.5774395097328775,1.8164033005042683,-1.2389637907713908
directed_c_compact,z_reward,A_to_C_to_B,0,P1,381.0,dir=0.0|side=B_side|ss=q2|sp=q3,-0.3318139643149415,0.2675545654568739,-0.5993685297718154
directed_c_compact,z_reward,A_to_C_to_B,0,P1,394.0,dir=0.0|side=B_side|ss=q3|sp=q3,-0.15748372030504956,1.6854173663112932,-1.8429010866163429
directed_c_compact,z_reward,A_to_C_to_B,0,P11,46.0,dir=0.0|side=B_side|ss=q2|sp=q3,0.7362683674643795,0.4753190350516813,0.2609493324126982
directed_c_compact,z_reward,A_to_C_to_B,0,P11,67.0,dir=0.0|side=B_side|ss=q2|sp=q2,-0.3509035929764366,0.15461335465027848,-0.5055169476267151
directed_c_compact,z_reward,A_to_C_to_B,0,P11,89.0,dir=0.0|side=A_side|ss=q1|sp=q1,0.6987941949094136,0.8059086346991228,-0.10711443978970914
directed_c_compact,z_reward,A_to_C_to_B,0,P11,103.0,dir=0.0|side=B_side|ss=q3|sp=q3,0.11228091477378538,0.35507938898102465,-0.24279847420723927
directed_c_compact,z_reward,A_to_C_to_B,0,P11,120.0,dir=0.0|side=B_side|ss=q3|sp=q2,0.2845948050491762,0.9851281225814976,-0.7005333175323214
directed_c_compact,z_reward,A_to_C_to_B,0,P11,146.0,dir=0.0|side=B_side|ss=q2|sp=q3,-0.40538529820299807,0.16934196713132646,-0.5747272653343245
directed_c_compact,z_reward,A_to_C_to_B,0,P11,157.0,dir=0.0|side=B_side|ss=q1|sp=q2,-0.39974847048756984,0.49567679722122837,-0.8954252677087982
directed_c_compact,z_reward,A_to_C_to_B,0,P11,181.0,dir=0.0|side=B_side|ss=q2|sp=q3,0.3203269129960427,1.3576013701950582,-1.0372744571990156
directed_c_compact,z_reward,A_to_C_to_B,0,P11,211.0,dir=0.0|side=B_side|ss=q1|sp=q2,-0.11907100975195499,-0.1461863585057079,0.02711534875375292
directed_c_compact,z_reward,A_to_C_to_B,0,P11,240.0,dir=0.0|side=B_side|ss=q2|sp=q2,-0.7885670984153577,-0.6733110173562143,-0.11525608105914331
directed_c_compact,z_reward,A_to_C_to_B,0,P11,252.0,dir=0.0|side=B_side|ss=q1|sp=q2,-0.3183706577990455,0.36728602129571986,-0.6856566790947654
directed_c_compact,z_reward,A_to_C_to_B,0,P11,263.0,dir=0.0|side=B_side|ss=q2|sp=q2,-0.6724027624784024,1.155146520052262,-1.8275492825306643
directed_c_compact,z_reward,A_to_C_to_B,0,P11,282.0,dir=0.0|side=B_side|ss=q2|sp=q3,-0.3317856852157318,0.36543873978764513,-0.697224425003377
directed_c_compact,z_reward,A_to_C_to_B,0,P11,292.0,dir=0.0|side=B_side|ss=q2|sp=q2,0.3325047204104613,0.2947108218007237,0.037793898609737586
directed_c_compact,z_reward,A_to_C_to_B,0,P11,309.0,dir=0.0|side=B_side|ss=q2|sp=q2,-0.35785534975189526,0.27896826080771486,-0.6368236105596101
directed_c_compact,z_reward,A_to_C_to_B,0,P11,324.0,dir=0.0|side=B_side|ss=q3|sp=q3,-0.7820978060556241,-0.4384519888975125,-0.34364581715811154
directed_c_compact,z_reward,A_to_C_to_B,0,P11,376.0,dir=0.0|side=A_side|ss=q2|sp=q1,-0.25584619922095553,-0.012519934258756051,-0.24332626496219947
directed_c_compact,z_reward,A_to_C_to_B,0,P19,12.0,dir=0.0|side=B_side|ss=q1|sp=q2,0.011116023653683887,0.7591573381216242,-0.7480413144679403
directed_c_compact,z_reward,A_to_C_to_B,0,P19,21.0,dir=0.0|side=B_side|ss=q2|sp=q3,0.306125261606543,0.34346218009652413,-0.03733691848998111
directed_c_compact,z_reward,A_to_C_to_B,0,P19,41.0,dir=0.0|side=B_side|ss=q3|sp=q2,-0.7349068946052285,-0.6836011866869589,-0.051305707918269605
directed_c_compact,z_reward,A_to_C_to_B,0,P19,75.0,dir=0.0|side=B_side|ss=q2|sp=q2,-0.062013759855669225,0.1736955594429462,-0.23570931929861544
directed_c_compact,z_reward,A_to_C_to_B,0,P19,86.0,dir=0.0|side=B_side|ss=q2|sp=q2,-0.3222928396769559,0.43572548616621015,-0.7580183258431661
directed_c_compact,z_reward,A_to_C_to_B,0,P19,95.0,dir=0.0|side=B_side|ss=q3|sp=q3,-0.3667922720639349,-0.3206118105245531,-0.04618046153938177
directed_c_compact,z_reward,A_to_C_to_B,0,P19,124.0,dir=0.0|side=B_side|ss=q3|sp=q2,-0.5959846661521457,0.2763964071783794,-0.8723810733305251
directed_c_compact,z_reward,A_to_C_to_B,0,P19,147.0,dir=0.0|side=A_side|ss=q1|sp=q1,0.23071761755741496,0.6903692200571456,-0.4596516024997307
directed_c_compact,z_reward,A_to_C_to_B,0,P19,165.0,dir=0.0|side=B_side|ss=q2|sp=q2,0.10401828674646874,0.11817776604116136,-0.01415947929469262
directed_c_compact,z_reward,A_to_C_to_B,0,P19,190.0,dir=0.0|side=A_side|ss=q1|sp=q2,-0.441435931762217,0.28231844850758364,-0.7237543802698007
directed_c_compact,z_reward,A_to_C_to_B,0,P19,213.0,dir=0.0|side=B_side|ss=q2|sp=q3,-0.06697360460572267,1.1205433792367772,-1.1875169838425
directed_c_compact,z_reward,A_to_C_to_B,0,P19,249.0,dir=0.0|side=B_side|ss=q3|sp=q3,-0.22170222610861443,-0.2609849543104154,0.03928272820180098
directed_c_compact,z_reward,A_to_C_to_B,0,P19,259.0,dir=0.0|side=B_side|ss=q2|sp=q2,0.12586086689066361,0.31716191132211263,-0.19130104443144902
directed_c_compact,z_reward,A_to_C_to_B,0,P19,279.0,dir=0.0|side=A_side|ss=q1|sp=q1,0.055861798805223656,0.8701619355847451,-0.8143001367795214
directed_c_compact,z_reward,A_to_C_to_B,0,P19,330.0,dir=0.0|side=A_side|ss=q1|sp=q1,-0.021985941214546445,0.027229630928141013,-0.04921557214268746
directed_c_compact,z_reward,A_to_C_to_B,0,P19,344.0,dir=0.0|side=A_side|ss=q1|sp=q2,0.20346559761472527,1.491189994510954,-1.2877243968962286
directed_c_compact,z_reward,A_to_C_to_B,0,P19,351.0,dir=0.0|side=B_side|ss=q3|sp=q3,0.5691129066073984,0.4532527434890739,0.11586016311832453
directed_c_compact,z_reward,A_to_C_to_B,0,P19,360.0,dir=0.0|side=B_side|ss=q3|sp=q3,0.1428454891252744,0.27897261704457504,-0.13612712791930065
directed_c_compact,z_reward,A_to_C_to_B,0,P19,384.0,dir=0.0|side=A_side|ss=q1|sp=q1,0.5937976313897375,2.8815839811457025,-2.287786349755965
directed_c_compact,z_reward,A_to_C_to_B,0,P19,398.0,dir=0.0|side=A_side|ss=q3|sp=q1,1.5899166215751288,2.6434633689745497,-1.053546747399421
directed_c_compact,z_reward,A_to_C_to_B,0,P26,6.0,dir=0.0|side=B_side|ss=q3|sp=q2,-0.2797637284281902,-0.2579086085096559,-0.021855119918534283
directed_c_compact,z_reward,A_to_C_to_B,0,P26,66.0,dir=0.0|side=B_side|ss=q3|sp=q2,0.43772815643300234,1.4916959734608095,-1.0539678170278073
directed_c_compact,z_reward,A_to_C_to_B,0,P26,96.0,dir=0.0|side=A_side|ss=q1|sp=q1,-0.10687908925836885,1.1037072703786326,-1.2105863596370015
directed_c_compact,z_reward,A_to_C_to_B,0,P26,104.0,dir=0.0|side=B_side|ss=q3|sp=q3,0.05025049544756578,3.3817210540845726,-3.331470558637007
directed_c_compact,z_reward,A_to_C_to_B,0,P26,110.0,dir=0.0|side=B_side|ss=q3|sp=q2,-0.19541250909412705,1.506276228912227,-1.701688738006354
directed_c_compact,z_reward,A_to_C_to_B,0,P26,127.0,dir=0.0|side=A_side|ss=q2|sp=q1,0.5954021450589045,1.0400748465759881,-0.4446727015170836
directed_c_compact,z_reward,A_to_C_to_B,0,P26,136.0,dir=0.0|side=B_side|ss=q3|sp=q2,-0.014414094783253915,0.478555270862283,-0.4929693656455369
directed_c_compact,z_reward,A_to_C_to_B,0,P26,159.0,dir=0.0|side=A_side|ss=q1|sp=q1,0.4636514450918806,1.1167420646068646,-0.653090619514984
directed_c_compact,z_reward,A_to_C_to_B,0,P26,169.0,dir=0.0|side=B_side|ss=q3|sp=q3,-0.056054291648125955,0.46942378054896783,-0.5254780721970937
directed_c_compact,z_reward,A_to_C_to_B,0,P26,182.0,dir=0.0|side=B_side|ss=q3|sp=q3,-0.013275142038271917,2.112627147228473,-2.1259022892667447
directed_c_compact,z_reward,A_to_C_to_B,0,P26,200.0,dir=0.0|side=B_side|ss=q1|sp=q2,0.20727944176857888,0.21442060119227602,-0.007141159423697141
directed_c_compact,z_reward,A_to_C_to_B,0,P26,210.0,dir=0.0|side=B_side|ss=q1|sp=q2,0.2759288766133855,1.364959235940718,-1.0890303593273325
directed_c_compact,z_reward,A_to_C_to_B,0,P26,217.0,dir=0.0|side=B_side|ss=q3|sp=q3,0.5581010738521734,0.7582129652223599,-0.20011189137018648
directed_c_compact,z_reward,A_to_C_to_B,0,P26,226.0,dir=0.0|side=A_side|ss=q1|sp=q1,-0.517536163201629,-0.5123486420346381,-0.005187521166990838
directed_c_compact,z_reward,A_to_C_to_B,0,P26,237.0,dir=0.0|side=A_side|ss=q1|sp=q1,-0.07725154035680352,0.5177882453723899,-0.5950397857291934
directed_c_compact,z_reward,A_to_C_to_B,0,P26,253.0,dir=0.0|side=B_side|ss=q2|sp=q2,0.21125838757666693,0.5046456340368451,-0.2933872464601782
directed_c_compact,z_reward,A_to_C_to_B,0,P26,269.0,dir=0.0|side=B_side|ss=q3|sp=q3,0.3096656637741454,1.2806690118492259,-0.9710033480750805
directed_c_compact,z_reward,A_to_C_to_B,0,P26,346.0,dir=0.0|side=A_side|ss=q1|sp=q1,-0.680990045958602,-0.4731349214640348,-0.20785512449456722
directed_c_compact,z_reward,A_to_C_to_B,0,P26,396.0,dir=0.0|side=B_side|ss=q3|sp=q3,-0.1981967235632366,1.0465690967176429,-1.2447658202808793
directed_c_compact,z_reward,A_to_C_to_B,0,P4,46.0,dir=0.0|side=A_side|ss=q1|sp=q2,0.12776175939009976,-0.0463536855733064,0.17411544496340617
