control_level,endpoint,direction,fold,label,idx_in_session,control_state,access_readout,baseline_max,access_effect
unsigned_side_gap,z_reward,A_to_C_to_B,0,P13,9.0,dir=0.0|side=B_side|gap=q2,-0.5459950521776201,0.47747630065732677,-1.0234713528349468
unsigned_side_gap,z_reward,A_to_C_to_B,0,P13,10.0,dir=0.0|side=B_side|gap=q2,-0.4347347939039832,0.49146795636470764,-0.9262027502686908
unsigned_side_gap,z_reward,A_to_C_to_B,0,P13,39.0,dir=0.0|side=A_side|gap=q3,1.61072153715554,2.1221127356144143,-0.5113911984588744
unsigned_side_gap,z_reward,A_to_C_to_B,0,P13,41.0,dir=0.0|side=B_side|gap=q2,-0.5603410352683723,2.029920543994922,-2.5902615792632946
unsigned_side_gap,z_reward,A_to_C_to_B,0,P13,47.0,dir=0.0|side=A_side|gap=q3,1.2515787267065668,1.6626482522196033,-0.41106952551303655
unsigned_side_gap,z_reward,A_to_C_to_B,0,P13,72.0,dir=0.0|side=A_side|gap=q3,-0.3304036271725118,-0.30748069150538926,-0.022922935667122557
unsigned_side_gap,z_reward,A_to_C_to_B,0,P13,102.0,dir=0.0|side=B_side|gap=q3,0.278130310313878,1.0669719531826327,-0.7888416428687547
unsigned_side_gap,z_reward,A_to_C_to_B,0,P13,111.0,dir=0.0|side=B_side|gap=q3,-0.07199657726705888,0.23761305333914493,-0.30960963060620383
unsigned_side_gap,z_reward,A_to_C_to_B,0,P13,121.0,dir=0.0|side=A_side|gap=q1,0.23338989999990223,0.21932882533477727,0.014061074665124962
unsigned_side_gap,z_reward,A_to_C_to_B,0,P13,149.0,dir=0.0|side=B_side|gap=q3,-0.5639511530110797,0.29658490138117344,-0.8605360543922531
unsigned_side_gap,z_reward,A_to_C_to_B,0,P13,188.0,dir=0.0|side=B_side|gap=q3,-0.36090536653990024,2.2517245603900315,-2.612629926929932
unsigned_side_gap,z_reward,A_to_C_to_B,0,P13,201.0,dir=0.0|side=A_side|gap=q3,-0.5393774395277314,-0.41255300633175807,-0.12682443319597336
unsigned_side_gap,z_reward,A_to_C_to_B,0,P13,205.0,dir=0.0|side=A_side|gap=q2,-0.8532427475807816,-0.5609371981148649,-0.2923055494659167
unsigned_side_gap,z_reward,A_to_C_to_B,0,P13,230.0,dir=0.0|side=A_side|gap=q1,-0.5269281578575133,1.5513279410564575,-2.078256098913971
unsigned_side_gap,z_reward,A_to_C_to_B,0,P13,233.0,dir=0.0|side=A_side|gap=q1,-0.13311913292103944,1.2707017210072333,-1.4038208539282728
unsigned_side_gap,z_reward,A_to_C_to_B,0,P13,242.0,dir=0.0|side=B_side|gap=q3,-0.28065760252008753,0.05698642407424685,-0.3376440265943344
unsigned_side_gap,z_reward,A_to_C_to_B,0,P13,263.0,dir=0.0|side=B_side|gap=q1,0.004079836573832707,0.05796106226539946,-0.05388122569156675
unsigned_side_gap,z_reward,A_to_C_to_B,0,P13,280.0,dir=0.0|side=A_side|gap=q3,0.3104201823778722,0.543643522832662,-0.23322334045478982
unsigned_side_gap,z_reward,A_to_C_to_B,0,P13,308.0,dir=0.0|side=A_side|gap=q2,-0.048843097107335774,0.5205427007871928,-0.5693857978945286
unsigned_side_gap,z_reward,A_to_C_to_B,0,P13,349.0,dir=0.0|side=B_side|gap=q1,-0.018659031739965026,1.2511827564504798,-1.269841788190445
unsigned_side_gap,z_reward,A_to_C_to_B,0,P13,366.0,dir=0.0|side=A_side|gap=q3,0.7408671046430648,1.040453504702549,-0.2995864000594841
unsigned_side_gap,z_reward,A_to_C_to_B,0,P13,382.0,dir=0.0|side=A_side|gap=q2,-0.5622272662000632,-0.1365255414671396,-0.42570172473292367
unsigned_side_gap,z_reward,A_to_C_to_B,0,P25,23.0,dir=0.0|side=B_side|gap=q3,-0.021035510146587638,0.49904170556369226,-0.5200772157102799
unsigned_side_gap,z_reward,A_to_C_to_B,0,P25,27.0,dir=0.0|side=B_side|gap=q3,-0.0015997128317531972,0.8033143815889247,-0.8049140944206779
unsigned_side_gap,z_reward,A_to_C_to_B,0,P25,40.0,dir=0.0|side=B_side|gap=q3,0.01969308292707915,0.6298498060747887,-0.6101567231477095
unsigned_side_gap,z_reward,A_to_C_to_B,0,P25,57.0,dir=0.0|side=A_side|gap=q2,0.016405638236670798,0.3738284442657536,-0.35742280602908283
unsigned_side_gap,z_reward,A_to_C_to_B,0,P25,87.0,dir=0.0|side=A_side|gap=q2,-0.010975006156239232,0.7177408387360668,-0.728715844892306
