control_level,snapshot,snapshot_order,frozen_regimes,c_beats_count,control_bounds_c_count,mean_true_minus_control,median_true_minus_control
ab_exchange_receiver_standpoint,t0,0,11,0,11,0.015710358163338344,0.012934945273357767
ab_exchange_receiver_standpoint,t1,1,11,0,11,0.01638619728343107,0.014736916275819656
ab_exchange_receiver_standpoint,t2,2,11,0,11,0.024044016238005214,0.01816274249283858
ab_exchange_receiver_standpoint,tc,3,11,1,10,0.006190374508829887,-0.0043963115902214385
ab_exchange_receiver_standpoint,tc_plus_k,4,11,2,9,0.0025589779567483984,-0.009650139413656287
endpoint_o1o2_reference,t0,0,11,0,11,-0.23757076638337782,-0.2994456862619968
endpoint_o1o2_reference,t1,1,11,0,11,-0.1639618116187731,-0.1954311577964134
endpoint_o1o2_reference,t2,2,11,0,11,-0.2607542183556081,-0.323975396122254
endpoint_o1o2_reference,tc,3,11,0,11,-0.2130712625554044,-0.2736287410185547
endpoint_o1o2_reference,tc_plus_k,4,11,0,11,-0.1864558834672974,-0.22530831192609124
giver_side_only,t0,0,11,3,8,0.030134844486711075,0.032022627524920536
giver_side_only,t1,1,11,3,8,0.033119364735664056,0.03543092990637225
giver_side_only,t2,2,11,7,4,0.0402055144799628,0.04422391815517564
giver_side_only,tc,3,11,5,6,0.031203701436731842,0.031249941053104593
giver_side_only,tc_plus_k,4,11,2,9,0.010430505111091688,-0.006728416776507637
mapping_inversion,t0,0,11,0,11,0.02750502108908294,0.029774162023243768
mapping_inversion,t1,1,11,0,11,0.029273749401570417,0.03293825538526666
mapping_inversion,t2,2,11,1,10,0.03785129644695934,0.043391788297674316
mapping_inversion,tc,3,11,0,11,-0.01418233556678981,-0.03102890540488779
mapping_inversion,tc_plus_k,4,11,2,9,0.02947970110402011,0.02277454523927007
mirrored_receiver_standpoint,t0,0,11,0,11,0.015574981777932807,0.01691588672193308
mirrored_receiver_standpoint,t1,1,11,0,11,0.020380765160386328,0.01970084548709709
mirrored_receiver_standpoint,t2,2,11,0,11,0.02996311095281789,0.033435097042320464
mirrored_receiver_standpoint,tc,3,11,3,8,0.01889598191957386,0.0008176946276325861
mirrored_receiver_standpoint,tc_plus_k,4,11,0,11,-0.01845540720567503,-0.010043620677169471
normalization_matched_receiver_standpoint,t0,0,11,7,4,0.058678253637717614,0.06633870589804307
normalization_matched_receiver_standpoint,t1,1,11,8,3,0.059808653972759,0.06911654353949195
normalization_matched_receiver_standpoint,t2,2,11,8,3,0.06559462239496888,0.07278704899558679
normalization_matched_receiver_standpoint,tc,3,11,6,5,0.06035106253701998,0.08277393141357996
normalization_matched_receiver_standpoint,tc_plus_k,4,11,0,11,0.011896885982499767,0.003940508825887542
polarity_magnitude_only,t0,0,11,6,5,0.04202832216801427,0.04687093738366288
polarity_magnitude_only,t1,1,11,5,6,0.04406728516246231,0.052536059058505925
polarity_magnitude_only,t2,2,11,7,4,0.046275190183791164,0.0525515979438137
polarity_magnitude_only,tc,3,11,4,7,0.026662794026026882,0.007024812970492455
polarity_magnitude_only,tc_plus_k,4,11,0,11,0.010565770431595409,0.0057555506313888265
receiver_side_only,t0,0,11,1,10,0.02994786004206631,0.034365492361195134
receiver_side_only,t1,1,11,1,10,0.03277875963826701,0.037580103701460525
receiver_side_only,t2,2,11,5,6,0.03991783787927744,0.04336469516108449
receiver_side_only,tc,3,11,4,7,0.030211425557683982,0.008396028036338692
receiver_side_only,tc_plus_k,4,11,0,11,0.010395290711603748,0.00886473941703837
receiver_standpoint_reconstruction,t0,0,11,0,11,0.015899361086289962,0.012998713482976288
receiver_standpoint_reconstruction,t1,1,11,0,11,0.016486249653806996,0.013636340201684421
receiver_standpoint_reconstruction,t2,2,11,0,11,0.024209038274808335,0.024169565275877193
receiver_standpoint_reconstruction,tc,3,11,2,9,0.005832829437317194,-0.018393383585661952
receiver_standpoint_reconstruction,tc_plus_k,4,11,1,10,0.003648385091532721,-0.0026115781284839685
receiver_standpoint_reconstruction_shuffled,t0,0,11,5,6,0.05588733551926329,0.02392900853782549
receiver_standpoint_reconstruction_shuffled,t1,1,11,4,7,0.05729829465713541,0.039757109928001376
receiver_standpoint_reconstruction_shuffled,t2,2,11,8,3,0.07000872003539799,0.06626975269435474
receiver_standpoint_reconstruction_shuffled,tc,3,11,4,7,0.022368312777991863,-0.005913390968088387
receiver_standpoint_reconstruction_shuffled,tc_plus_k,4,11,0,11,0.0024530235256304375,-0.009398972525934175
reward_symmetry_control,t0,0,11,0,11,0.013061804380367513,0.009592203385756254
reward_symmetry_control,t1,1,11,0,11,0.016802379227186123,0.015397838377718496
reward_symmetry_control,t2,2,11,0,11,0.026297580636099317,0.025445876284409287
reward_symmetry_control,tc,3,11,5,6,0.0339597766444312,0.022685587345987104
reward_symmetry_control,tc_plus_k,4,11,0,11,-0.02771579498413198,-0.018361034556108092
sham_perturbation,t0,0,11,0,11,0.015899361086289962,0.012998713482976288
sham_perturbation,t1,1,11,0,11,0.016486249653806996,0.013636340201684421
sham_perturbation,t2,2,11,0,11,0.024209038274808335,0.024169565275877193
sham_perturbation,tc,3,11,2,9,0.005832829437317194,-0.018393383585661952
sham_perturbation,tc_plus_k,4,11,1,10,0.003648385091532721,-0.0026115781284839685
side_shuffle,t0,0,11,8,3,0.08064727494033992,0.0996444722673281
side_shuffle,t1,1,11,8,3,0.07544327098184228,0.09458249797664885
side_shuffle,t2,2,11,10,1,0.07415604734407227,0.08715211869612549
side_shuffle,tc,3,11,4,7,0.03774323080001426,0.01858143118944106
side_shuffle,tc_plus_k,4,11,2,9,0.01767269312192168,-0.006135420159610887
standpoint_polarity_inverted,t0,0,11,1,10,0.021544909862493324,0.015863197012361167
standpoint_polarity_inverted,t1,1,11,1,10,0.024781113743413054,0.02294887578202182
standpoint_polarity_inverted,t2,2,11,2,9,0.03315134832584274,0.028738547430914644
standpoint_polarity_inverted,tc,3,11,4,7,0.025037607622240797,0.0336777274044659
standpoint_polarity_inverted,tc_plus_k,4,11,2,9,-0.004830718383732796,-0.007686692336279253
standpoint_polarity_preserved,t0,0,11,0,11,0.02204441600916289,0.02106669168014854
standpoint_polarity_preserved,t1,1,11,0,11,0.025136085587434288,0.024495485305884024
standpoint_polarity_preserved,t2,2,11,1,10,0.03353548577713534,0.035653460275480754
standpoint_polarity_preserved,tc,3,11,4,7,0.024120833611757885,-0.011074580981670431
standpoint_polarity_preserved,tc_plus_k,4,11,0,11,-0.003839600799973562,-0.0036624423913778365
unperturbed_baseline,t0,0,11,0,11,0.015899361086289962,0.012998713482976288
unperturbed_baseline,t1,1,11,0,11,0.016486249653806996,0.013636340201684421
unperturbed_baseline,t2,2,11,0,11,0.024209038274808335,0.024169565275877193
unperturbed_baseline,tc,3,11,2,9,0.005832829437317194,-0.018393383585661952
unperturbed_baseline,tc_plus_k,4,11,1,10,0.003648385091532721,-0.0026115781284839685
unsigned_side_gap,t0,0,11,6,5,0.04202832216801427,0.04687093738366288
unsigned_side_gap,t1,1,11,5,6,0.04406728516246231,0.052536059058505925
unsigned_side_gap,t2,2,11,7,4,0.046275190183791164,0.0525515979438137
unsigned_side_gap,tc,3,11,4,7,0.026662794026026882,0.007024812970492455
unsigned_side_gap,tc_plus_k,4,11,1,10,0.010565770431595409,0.0057555506313888265
