control_level,frozen_regimes,c_beats_count,control_bounds_c_count,mean_true_minus_control,median_true_minus_control
receiver_preserved__standpoint_preserved,11,4,7,0.028916789042785364,0.01878992773380159
receiver_preserved__standpoint_inverted,11,0,11,0.022324548395431524,0.015266979676917201
receiver_inverted__standpoint_preserved,11,0,11,0.022315283393250382,0.015095757331174775
receiver_inverted__standpoint_inverted,11,0,11,0.028787585657049697,0.02811912391760916
receiver_only,11,4,7,0.024382741962516018,0.013559809245982182
standpoint_only_preserved,11,4,7,0.028916789042785364,0.01878992773380159
standpoint_only_inverted,11,0,11,0.028787585657049697,0.02811912391760916
standpoint_sign_only,11,5,6,0.04128600550949257,0.042124768927194536
standpoint_magnitude_only,11,2,9,0.029506339881372277,0.031381056553871745
receiver_plus_magnitude,11,0,11,0.020602516634416077,0.01573893337601093
receiver_plus_standpoint_sign,11,4,7,0.024470583386602195,0.013559809245982182
complexity_matched_shuffled_pair,11,8,3,0.07079554633363762,0.06551835666076063
parity_label_shuffled,11,5,6,0.04640965038868847,0.021305127668651596
ab_exchange_parity_mismatch,11,0,11,0.022315283393250382,0.015095757331174775
endpoint_o1o2_reference,11,0,11,-0.24166787086369682,-0.3046154780792147
