ring_id,length,residues,source_paths,levels,roles,parent_ids,child_ids
R0001,24,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23,12*2;2*12;2*2*2*3;2*2*3*2;2*2*6;2*3*2*2;2*3*4;2*4*3;2*6*2;24;3*2*2*2;3*2*4;3*4*2;3*8;4*2*3;4*3*2;4*6;6*2*2;6*4;8*3,0,full_carrier,,R0002;R0003;R0004;R0005;R0006;R0007;R0008;R0009;R0010;R0011;R0012;R0013;R0014;R0015;R0016;R0017;R0018;R0019;R0020;R0021;R0022;R0023;R0024;R0025;R0026;R0027;R0028;R0029;R0030;R0031;R0032;R0033;R0034;R0035;R0036
R0002,12,0;2;4;6;8;10;12;14;16;18;20;22,2*12;2*2*2*3;2*2*3*2;2*2*6;2*3*2*2;2*3*4;2*4*3;2*6*2,1,intermediate_ring;leaf_ring,R0001,R0007;R0009;R0011;R0013;R0015;R0017;R0019;R0021;R0023;R0025;R0027;R0029;R0031;R0033;R0035
R0003,12,1;3;5;7;9;11;13;15;17;19;21;23,2*12;2*2*2*3;2*2*3*2;2*2*6;2*3*2*2;2*3*4;2*4*3;2*6*2,1,intermediate_ring;leaf_ring,R0001,R0008;R0010;R0012;R0014;R0016;R0018;R0020;R0022;R0024;R0026;R0028;R0030;R0032;R0034;R0036
R0004,8,0;3;6;9;12;15;18;21,3*2*2*2;3*2*4;3*4*2;3*8,1,intermediate_ring;leaf_ring,R0001,R0011;R0014;R0025;R0028;R0031;R0034
R0005,8,1;4;7;10;13;16;19;22,3*2*2*2;3*2*4;3*4*2;3*8,1,intermediate_ring;leaf_ring,R0001,R0012;R0015;R0026;R0029;R0032;R0035
R0006,8,2;5;8;11;14;17;20;23,3*2*2*2;3*2*4;3*4*2;3*8,1,intermediate_ring;leaf_ring,R0001,R0013;R0016;R0027;R0030;R0033;R0036
R0007,6,0;4;8;12;16;20,2*2*2*3;2*2*3*2;2*2*6;4*2*3;4*3*2;4*6,1;2,intermediate_ring;leaf_ring,R0001;R0002,R0017;R0021;R0025;R0029;R0033
R0008,6,1;5;9;13;17;21,2*2*2*3;2*2*3*2;2*2*6;4*2*3;4*3*2;4*6,1;2,intermediate_ring;leaf_ring,R0001;R0003,R0018;R0022;R0026;R0030;R0034
R0009,6,2;6;10;14;18;22,2*2*2*3;2*2*3*2;2*2*6;4*2*3;4*3*2;4*6,1;2,intermediate_ring;leaf_ring,R0001;R0002,R0019;R0023;R0027;R0031;R0035
R0010,6,3;7;11;15;19;23,2*2*2*3;2*2*3*2;2*2*6;4*2*3;4*3*2;4*6,1;2,intermediate_ring;leaf_ring,R0001;R0003,R0020;R0024;R0028;R0032;R0036
R0011,4,0;6;12;18,2*3*2*2;2*3*4;3*2*2*2;3*2*4;6*2*2;6*4,1;2,intermediate_ring;leaf_ring,R0001;R0002;R0004,R0025;R0031
R0012,4,1;7;13;19,2*3*2*2;2*3*4;3*2*2*2;3*2*4;6*2*2;6*4,1;2,intermediate_ring;leaf_ring,R0001;R0003;R0005,R0026;R0032
R0013,4,2;8;14;20,2*3*2*2;2*3*4;3*2*2*2;3*2*4;6*2*2;6*4,1;2,intermediate_ring;leaf_ring,R0001;R0002;R0006,R0027;R0033
R0014,4,3;9;15;21,2*3*2*2;2*3*4;3*2*2*2;3*2*4;6*2*2;6*4,1;2,intermediate_ring;leaf_ring,R0001;R0003;R0004,R0028;R0034
R0015,4,4;10;16;22,2*3*2*2;2*3*4;3*2*2*2;3*2*4;6*2*2;6*4,1;2,intermediate_ring;leaf_ring,R0001;R0002;R0005,R0029;R0035
R0016,4,5;11;17;23,2*3*2*2;2*3*4;3*2*2*2;3*2*4;6*2*2;6*4,1;2,intermediate_ring;leaf_ring,R0001;R0003;R0006,R0030;R0036
R0017,3,0;8;16,2*2*2*3;2*4*3;4*2*3;8*3,1;2;3,leaf_ring,R0001;R0002;R0007,
R0018,3,1;9;17,2*2*2*3;2*4*3;4*2*3;8*3,1;2;3,leaf_ring,R0001;R0003;R0008,
R0019,3,2;10;18,2*2*2*3;2*4*3;4*2*3;8*3,1;2;3,leaf_ring,R0001;R0002;R0009,
R0020,3,3;11;19,2*2*2*3;2*4*3;4*2*3;8*3,1;2;3,leaf_ring,R0001;R0003;R0010,
R0021,3,4;12;20,2*2*2*3;2*4*3;4*2*3;8*3,1;2;3,leaf_ring,R0001;R0002;R0007,
R0022,3,5;13;21,2*2*2*3;2*4*3;4*2*3;8*3,1;2;3,leaf_ring,R0001;R0003;R0008,
R0023,3,6;14;22,2*2*2*3;2*4*3;4*2*3;8*3,1;2;3,leaf_ring,R0001;R0002;R0009,
R0024,3,7;15;23,2*2*2*3;2*4*3;4*2*3;8*3,1;2;3,leaf_ring,R0001;R0003;R0010,
R0025,2,0;12,12*2;2*2*3*2;2*3*2*2;2*6*2;3*2*2*2;3*4*2;4*3*2;6*2*2,1;2;3,leaf_ring,R0001;R0002;R0004;R0007;R0011,
R0026,2,1;13,12*2;2*2*3*2;2*3*2*2;2*6*2;3*2*2*2;3*4*2;4*3*2;6*2*2,1;2;3,leaf_ring,R0001;R0003;R0005;R0008;R0012,
R0027,2,2;14,12*2;2*2*3*2;2*3*2*2;2*6*2;3*2*2*2;3*4*2;4*3*2;6*2*2,1;2;3,leaf_ring,R0001;R0002;R0006;R0009;R0013,
R0028,2,3;15,12*2;2*2*3*2;2*3*2*2;2*6*2;3*2*2*2;3*4*2;4*3*2;6*2*2,1;2;3,leaf_ring,R0001;R0003;R0004;R0010;R0014,
R0029,2,4;16,12*2;2*2*3*2;2*3*2*2;2*6*2;3*2*2*2;3*4*2;4*3*2;6*2*2,1;2;3,leaf_ring,R0001;R0002;R0005;R0007;R0015,
R0030,2,5;17,12*2;2*2*3*2;2*3*2*2;2*6*2;3*2*2*2;3*4*2;4*3*2;6*2*2,1;2;3,leaf_ring,R0001;R0003;R0006;R0008;R0016,
R0031,2,6;18,12*2;2*2*3*2;2*3*2*2;2*6*2;3*2*2*2;3*4*2;4*3*2;6*2*2,1;2;3,leaf_ring,R0001;R0002;R0004;R0009;R0011,
