path,level,split_parts,parent_id,child_id
2*12,1,2,R0001,R0002
2*12,1,2,R0001,R0003
3*8,1,3,R0001,R0004
3*8,1,3,R0001,R0005
3*8,1,3,R0001,R0006
4*6,1,4,R0001,R0007
4*6,1,4,R0001,R0008
4*6,1,4,R0001,R0009
4*6,1,4,R0001,R0010
6*4,1,6,R0001,R0011
6*4,1,6,R0001,R0012
6*4,1,6,R0001,R0013
6*4,1,6,R0001,R0014
6*4,1,6,R0001,R0015
6*4,1,6,R0001,R0016
8*3,1,8,R0001,R0017
8*3,1,8,R0001,R0018
8*3,1,8,R0001,R0019
8*3,1,8,R0001,R0020
8*3,1,8,R0001,R0021
8*3,1,8,R0001,R0022
8*3,1,8,R0001,R0023
8*3,1,8,R0001,R0024
12*2,1,12,R0001,R0025
12*2,1,12,R0001,R0026
12*2,1,12,R0001,R0027
12*2,1,12,R0001,R0028
12*2,1,12,R0001,R0029
12*2,1,12,R0001,R0030
12*2,1,12,R0001,R0031
12*2,1,12,R0001,R0032
12*2,1,12,R0001,R0033
12*2,1,12,R0001,R0034
12*2,1,12,R0001,R0035
12*2,1,12,R0001,R0036
2*2*6,1,2,R0001,R0002
2*2*6,1,2,R0001,R0003
2*2*6,2,2,R0002,R0007
2*2*6,2,2,R0002,R0009
2*2*6,2,2,R0003,R0008
2*2*6,2,2,R0003,R0010
2*3*4,1,2,R0001,R0002
2*3*4,1,2,R0001,R0003
2*3*4,2,3,R0002,R0011
2*3*4,2,3,R0002,R0013
2*3*4,2,3,R0002,R0015
2*3*4,2,3,R0003,R0012
2*3*4,2,3,R0003,R0014
2*3*4,2,3,R0003,R0016
2*4*3,1,2,R0001,R0002
2*4*3,1,2,R0001,R0003
2*4*3,2,4,R0002,R0017
2*4*3,2,4,R0002,R0019
2*4*3,2,4,R0002,R0021
2*4*3,2,4,R0002,R0023
2*4*3,2,4,R0003,R0018
2*4*3,2,4,R0003,R0020
2*4*3,2,4,R0003,R0022
2*4*3,2,4,R0003,R0024
2*6*2,1,2,R0001,R0002
2*6*2,1,2,R0001,R0003
2*6*2,2,6,R0002,R0025
2*6*2,2,6,R0002,R0027
2*6*2,2,6,R0002,R0029
2*6*2,2,6,R0002,R0031
2*6*2,2,6,R0002,R0033
2*6*2,2,6,R0002,R0035
2*6*2,2,6,R0003,R0026
2*6*2,2,6,R0003,R0028
2*6*2,2,6,R0003,R0030
2*6*2,2,6,R0003,R0032
2*6*2,2,6,R0003,R0034
2*6*2,2,6,R0003,R0036
3*2*4,1,3,R0001,R0004
3*2*4,1,3,R0001,R0005
3*2*4,1,3,R0001,R0006
3*2*4,2,2,R0004,R0011
3*2*4,2,2,R0004,R0014
3*2*4,2,2,R0005,R0012
3*2*4,2,2,R0005,R0015
3*2*4,2,2,R0006,R0013
3*2*4,2,2,R0006,R0016
3*4*2,1,3,R0001,R0004
3*4*2,1,3,R0001,R0005
3*4*2,1,3,R0001,R0006
3*4*2,2,4,R0004,R0025
3*4*2,2,4,R0004,R0028
3*4*2,2,4,R0004,R0031
3*4*2,2,4,R0004,R0034
3*4*2,2,4,R0005,R0026
3*4*2,2,4,R0005,R0029
3*4*2,2,4,R0005,R0032
3*4*2,2,4,R0005,R0035
3*4*2,2,4,R0006,R0027
3*4*2,2,4,R0006,R0030
3*4*2,2,4,R0006,R0033
