path,factor_count,leaf_ring_length,leaf_ring_count,ordinary_d24,routing
24,1,24,1,yes,full_j_square
2*12,2,12,2,yes,full_j_square
3*8,2,8,3,yes,full_j_square
4*6,2,6,4,yes,full_j_square
6*4,2,4,6,yes,full_j_square
8*3,2,3,8,yes,full_j_square
12*2,2,2,12,yes,full_j_square
2*2*6,3,6,4,yes,full_j_square
2*3*4,3,4,6,yes,full_j_square
2*4*3,3,3,8,yes,full_j_square
2*6*2,3,2,12,yes,full_j_square
3*2*4,3,4,6,yes,full_j_square
3*4*2,3,2,12,yes,full_j_square
4*2*3,3,3,8,yes,full_j_square
4*3*2,3,2,12,yes,full_j_square
6*2*2,3,2,12,yes,full_j_square
2*2*2*3,4,3,8,yes,full_j_square
2*2*3*2,4,2,12,yes,full_j_square
2*3*2*2,4,2,12,yes,full_j_square
3*2*2*2,4,2,12,yes,full_j_square
