c_representation,topology_arm,n_nodes,n_directed_edges,n_seed_events,event_strength_scale,mean_bounded_differentiated_recovery,sd_bounded_differentiated_recovery,effect_vs_time_shifted,effect_vs_random_event,p_vs_time_shifted_and_random,topology_notes
receiver_only_c,no_topology_baseline,12,0,132,1.0,0.034827024714217676,0.0032021008099576017,0.018580893390610576,0.005513930069038022,0.02040816326530612,12 nodes with no coupling edges
receiver_only_c,c12_1_2,12,48,132,1.0,0.03693080544320859,0.0035190958212530346,0.015856324989089638,0.004761031857966953,0.04081632653061224,primary Luke/D12RG normalized readout candidate
receiver_only_c,c12_reversed,12,48,132,1.0,0.03821649978873567,0.0038894610309849783,0.016734613905842865,0.007259235097948274,0.02040816326530612,"C12(1,2) reversed"
receiver_only_c,c12_side_broken,12,48,132,1.0,0.016442090944444616,0.0029007137522038626,0.0013180345577040054,0.00808661065934013,0.20408163265306123,degree-matched C12 side-correspondence-broken control
receiver_only_c,c12_shuffled,12,48,132,1.0,0.011353356495115487,0.0031065838595567665,0.006958548667467926,0.005430784037944418,0.02040816326530612,C12 capacity-preserving target-shuffled control
receiver_only_c,c10,10,40,132,1.0,-0.005713637176091591,0.003386832996254586,0.002251532024460416,-0.0013130891825178072,0.4897959183673469,"C10(1,2) neighbouring-cycle control"
receiver_only_c,c11,11,44,132,1.0,-0.010734235775621562,0.0035740265485754144,-0.004844141373009391,-0.004083688729665265,0.8775510204081632,"C11(1,2) neighbouring-cycle control"
receiver_only_c,c13,13,52,132,1.0,-0.00554981080643424,0.0023810289157676005,-0.0007530845179399082,-0.0049286372129855,0.8163265306122449,"C13(1,2) neighbouring-cycle control"
receiver_only_c,c14,14,56,132,1.0,-0.006644697375452052,0.0024041231729593614,-0.00250032766752101,-0.003702864075024965,0.9183673469387755,"C14(1,2) neighbouring-cycle control"
receiver_only_c,hadamard_quadrature_only,12,36,132,1.0,0.03323978488352727,0.0032137917499206305,0.016525947414147882,0.006332311517676267,0.04081632653061224,Hadamard/quadrature-only 4-cycle generators on Z12: +/-3 and 6
receiver_only_c,hadamard_quadrature_sqrt2_scaled_out,12,36,132,0.7071067811865475,0.02381825421687481,0.0033944734639583633,0.007152645059103069,-0.00763212369477834,0.5510204081632653,Hadamard/quadrature-only with sqrt2 normalization scaled out
receiver_only_c,hadamard_quadrature_sqrt2_unscaled,12,36,132,1.4142135623730951,0.03599750019308914,0.004233646633723194,0.02793882368517276,0.004554850675807874,0.061224489795918366,Hadamard/quadrature-only with unnormalized sqrt2 gain retained
receiver_only_c,hadamard_plus_threefold,12,60,132,1.0,0.032519251858812014,0.0029649799911867004,0.017283846249747735,0.004103550502818885,0.02040816326530612,Hadamard 4-cycle plus explicit radix-3 / 120-degree generator +/-4
receiver_only_c,hadamard_plus_threefold_sqrt2_scaled_out,12,60,132,0.7071067811865475,0.02555759946259011,0.00397027087419211,0.009614999877780243,-0.006092188961059144,0.4897959183673469,Hadamard plus explicit 3-fold with sqrt2 normalization scaled out
receiver_only_c,threefold_only,12,24,132,1.0,0.03161685670123626,0.002566972824316104,0.015617620848039655,0.0037418037862115665,0.14285714285714285,explicit radix-3 / 120-degree generator only
receiver_only_c,broken_threefold_neighbor,12,60,132,1.0,0.032914855054164145,0.0041758177005571575,0.018126422527632108,0.002522900386294928,0.14285714285714285,Hadamard plus neighboring non-cube-root generator +/-5
receiver_only_c,broken_threefold_random,12,48,132,1.0,0.020696049670916743,0.0035952286266825373,0.015346142779402085,0.006558673041155682,0.02040816326530612,degree-matched random C12 control
receiver_standpoint_magnitude_c,no_topology_baseline,12,0,132,1.0,0.03187276339108019,0.0030926080592230797,0.013948931595604026,0.002932440731540229,0.061224489795918366,12 nodes with no coupling edges
receiver_standpoint_magnitude_c,c12_1_2,12,48,132,1.0,0.03886865355189572,0.004005212615100384,0.01459105241743289,0.011268988496652695,0.02040816326530612,primary Luke/D12RG normalized readout candidate
receiver_standpoint_magnitude_c,c12_reversed,12,48,132,1.0,0.038280348345083454,0.004202998062876139,0.014232525569590492,0.008408801989139496,0.02040816326530612,"C12(1,2) reversed"
receiver_standpoint_magnitude_c,c12_side_broken,12,48,132,1.0,0.0006147025342247548,0.003020154210604015,-0.00019794859873001845,0.001427651152497406,0.42857142857142855,degree-matched C12 side-correspondence-broken control
receiver_standpoint_magnitude_c,c12_shuffled,12,48,132,1.0,0.004435355415051597,0.0031461481033951506,-0.0017599316718788713,0.001061853693345861,0.5510204081632653,C12 capacity-preserving target-shuffled control
receiver_standpoint_magnitude_c,c10,10,40,132,1.0,-0.008655626214754542,0.003327443820912384,-0.0013925038055887162,-0.001729661708896363,0.673469387755102,"C10(1,2) neighbouring-cycle control"
receiver_standpoint_magnitude_c,c11,11,44,132,1.0,-0.011606370852173644,0.0024472968886472797,-0.009632903216680064,-0.0023926156531566926,0.8979591836734694,"C11(1,2) neighbouring-cycle control"
receiver_standpoint_magnitude_c,c13,13,52,132,1.0,-0.0018126727183489504,0.002675662454388862,0.0009790015726020447,0.00426572596987561,0.1836734693877551,"C13(1,2) neighbouring-cycle control"
receiver_standpoint_magnitude_c,c14,14,56,132,1.0,0.0022057068845724257,0.0031477845051571703,0.0018093731665731164,0.002835480506542513,0.24489795918367346,"C14(1,2) neighbouring-cycle control"
receiver_standpoint_magnitude_c,hadamard_quadrature_only,12,36,132,1.0,0.025192517565930796,0.0031838855551905546,0.005058148258918375,-0.0016947651074405747,0.42857142857142855,Hadamard/quadrature-only 4-cycle generators on Z12: +/-3 and 6
