heldout_label,selection_mode,selection_value,fold_status,c12_mean,effect_vs_no_topology,effect_vs_reversed,effect_vs_side_broken,effect_vs_shuffled,effect_vs_c10,effect_vs_c11,effect_vs_c13,effect_vs_c14,n_positive_specificity_controls,min_specificity_margin
P1,quantile,0.6,valid,0.004414909459942481,0.008921990937325416,0.000916833817587817,0.005557449296340332,0.008501993718329427,0.005047446366957484,0.006783606656047639,0.007431397895544759,0.0019489843386844602,8,0.000916833817587817
P10,quantile,0.6,valid,-0.0009686892950140609,0.00311771389843232,-0.008813221341548143,0.002092261379536183,0.0010800738434587369,0.010411761667106258,-0.0017872570529473683,-0.0011860049076694403,0.005478181494034626,5,-0.008813221341548143
P11,quantile,0.6,valid,-0.024358874824512763,-0.01837046903284687,-0.02981418053255486,-0.02185445462002539,-0.01596919825081163,-0.03407359797785733,-0.027607836446813108,-0.028999490210702476,-0.03494752795203646,0,-0.03494752795203646
P12,quantile,0.6,valid,0.002285040355191553,0.004834973610589802,0.003270069493877744,-0.00011944084899855219,0.014225919931775233,0.001709946774187085,0.0030270547031174006,0.005026169252629851,0.00223187814993034,7,-0.00011944084899855219
P13,quantile,0.6,valid,0.0016037633793206532,0.00759349778315327,-0.0016175901594845036,0.005569776528693927,-0.0002624437057513003,0.001789477148136993,0.007807918459237559,-0.0023080272870928138,0.007010633380486256,5,-0.0023080272870928138
P14,quantile,0.6,valid,-0.0006841347573766396,-0.010301631529583131,0.010050079963738934,0.0076029365278669995,-0.008232843042205049,0.00080486205547054,-0.009590681312380627,-0.004209309439645147,-0.008905328200709916,3,-0.010301631529583131
P15,quantile,0.6,valid,0.0009888018060948986,-0.004617765731204151,0.0011311593621065935,0.0013511881146801728,0.000776970597788582,0.003664049987819369,-0.0005316007209784927,0.0001264722572836463,-0.0029465036017833996,5,-0.004617765731204151
P16,quantile,0.6,valid,0.0005804997554185435,-0.00351485886359818,0.00622305240360575,-0.008176911578896915,-0.002061225696000132,-0.0046407491134971305,0.003539936951759941,0.00481341141393761,0.00575495622686395,4,-0.008176911578896915
P17,quantile,0.6,valid,-0.0065720993673862756,-0.009205721009376605,-0.00841262546868648,0.0026558179600773904,-0.010557862141298602,-0.00990951980305563,-0.00864894415077256,-0.022538568428665154,-0.0042403394523743395,1,-0.022538568428665154
P18,quantile,0.6,valid,-0.0027139472864031663,-0.003980180079815928,-0.01341911091497209,0.000942358434423704,-0.01663845610067903,-0.005655415883202558,-0.0019743142849381868,-0.0009026359111272855,-0.008230066504063601,1,-0.01663845610067903
P19,quantile,0.6,valid,0.0001789671188949073,0.00440682773164088,0.014528577639496127,-0.004170499740557228,0.0033085505615501236,0.0006046356560515981,0.0019320678473882672,-0.014561613359026039,0.004583295540241764,6,-0.014561613359026039
P2,quantile,0.6,valid,-0.002868882727528436,-0.001795990327470484,-0.0020270569482166607,-0.006458683035176419,-0.009376395035832052,-0.0025277789065038963,-0.005577538863575137,-0.0024488610675113976,-0.0034820723899294036,0,-0.009376395035832052
P20,quantile,0.6,valid,0.00016751205509613556,-0.00280956523179758,-0.0032512040842071323,-0.0005740291882001163,0.0022576941861141174,-0.005421353294700679,0.0010751847491409245,-0.0025790456316702503,-0.0013675023970671145,2,-0.005421353294700679
P21,quantile,0.6,valid,-0.0021239022437611254,-0.0017301682729771192,-0.0052685481809486255,-0.005942969139457636,0.0027230187494843667,0.00030211370961745563,-0.005789906414987538,0.005781832579616157,-0.004866364165783653,3,-0.005942969139457636
P22,quantile,0.6,valid,-0.0005655503909229469,-0.005867194270088911,-0.003166433149726691,0.0028898721666435435,-0.002907626621793808,-0.0014877359755487663,-0.004250687664862781,0.0060384692698542426,-0.005134111378707183,2,-0.005867194270088911
P23,quantile,0.6,valid,0.00015904198301952525,-0.00762336286203275,0.005503376046776757,-0.0002614122115562156,-0.005001394204970863,0.009254930546786801,0.005190946258181578,0.007170207301725893,-0.0010201934369972955,4,-0.00762336286203275
P24,quantile,0.6,valid,0.0015914132349568065,0.003876779117055428,-0.003913033770706198,-0.004674046386832928,-0.004650642485682839,0.0023438409129422117,0.0008674009349381523,0.00409343016839833,0.005484292509419233,5,-0.004674046386832928
P25,quantile,0.6,valid,0.0028081712872519496,0.005917880868784324,0.0024536883334934883,0.0056536847876223085,0.00681977093812986,-0.007440092320489524,0.0007076313244932541,0.007132329356291178,0.008452949212618882,7,-0.007440092320489524
P26,quantile,0.6,valid,-0.0003590311858271125,-0.0015809772099677516,0.0022853409340052983,0.0014121907410412778,-0.0010431639893104245,0.0024310501603258096,0.002724315068948826,-0.0021166071977646974,-0.005483721378022282,4,-0.005483721378022282
P3,quantile,0.6,valid,-0.0014385764597754757,-0.0006105062383750076,0.00408837696201428,-0.0033220365010360182,-0.001085841571716918,0.0009021806547776024,-0.001074497067453474,-0.0006044692895392313,-0.006130899112699042,2,-0.006130899112699042
P4,quantile,0.6,valid,0.0006113614401704453,0.0049063217976577575,-0.00020228139115794697,-0.003541267830039757,0.00570886538001031,0.0008284855794684905,0.0015412550614012567,-0.0003138066486150493,0.005013520256080688,5,-0.003541267830039757
P5,quantile,0.6,valid,0.000560377375627748,0.0033163192174268923,0.0009541919705390194,0.0031902195587165576,0.006288948134156529,-0.0024276731572600123,-0.002350514527380108,-0.004490837775615986,0.002056305933050159,5,-0.004490837775615986
P6,quantile,0.6,valid,-0.003243287316071625,-0.0013958558422084084,-0.007107184691476994,-0.005644919832427995,-0.007473298093748948,-0.0018413957487088152,-0.0071613666487946905,-0.0014376808167335276,-0.003654788611069098,0,-0.007473298093748948
P7,quantile,0.6,valid,-0.005305055293192168,-0.017114590159866702,-0.01067452690366269,-0.007849358895350513,0.0007735865550766241,0.001618892422497493,0.000654088603295664,-0.013857660843435564,-0.009735967852364687,3,-0.017114590159866702
P8,quantile,0.6,valid,0.003333769746456612,-0.0029725306617387056,0.0007813161785406551,0.014537780204439613,5.476721416596735e-05,0.005546922045042133,0.0026707874513076124,0.007226195078025218,0.007917835367332846,7,-0.0029725306617387056
P9,quantile,0.6,valid,-0.00012822375990534864,0.00452407276390589,-0.001134716653197628,0.0016220847038859872,0.0037910077741762746,0.002421464147120437,0.0033693927815802304,-0.0009980768891904904,-0.004713342184889927,5,-0.004713342184889927
P1,quantile,0.7,valid,0.005811917667398035,-0.004296781182229865,0.012512074857314712,0.0004694348305841183,-0.0010260005481281123,-0.0013603846949483984,-0.0012944399457184771,0.006886708387965529,0.0025291650327310547,4,-0.004296781182229865
P10,quantile,0.7,valid,0.0035459523568692405,-0.0008789042811488471,0.005089147808454006,-0.002542143346822197,0.01085537879776716,-0.0009230124833805491,0.0013419207178707146,-0.002751584338382275,0.011298790301114397,4,-0.002751584338382275
P11,quantile,0.7,valid,,,,,,,,,,0,
P12,quantile,0.7,valid,-0.0076772414393739205,-0.023364099695514055,-0.006922648855617044,-0.0011579891383588599,-0.019642659244551677,-0.020690629637672563,-0.0017792883154194054,0.008294114473918156,0.008989868044235672,2,-0.023364099695514055
P13,quantile,0.7,valid,0.0011194213330245543,-0.0015749796707853186,-0.005396702857187441,-0.0043930197102024695,-0.0005850923973158729,0.004072473190685579,0.0016403382496442175,0.0022596730149266678,-0.0039314918158250296,3,-0.005396702857187441
P14,quantile,0.7,valid,0.009535580366301068,0.011371020777035914,0.016276117645667436,0.017336926555779866,0.021830743593673416,0.009332321018678013,0.0031360441583238585,0.01745356035006064,0.008011777566803902,8,0.0031360441583238585
P15,quantile,0.7,valid,-0.0016678330897323846,0.0028210409128081844,-0.004570432288911001,0.0038082926593037657,-0.004630463805729763,-0.0068765823525040485,-0.001988188761871186,0.006195157477901233,-0.0005517159356333249,3,-0.0068765823525040485
P16,quantile,0.7,valid,0.0016949460985327045,0.009475472416760696,0.0030006333986164267,-0.0015424885872925736,0.01677590024696347,-0.0004760069040089293,-0.0035535996329194765,-0.0025902688519314895,0.0021484319264335264,4,-0.0035535996329194765
P17,quantile,0.7,valid,0.0018377278516658652,-0.005306858107382941,0.007757667626369623,0.0032325814016259426,-0.00027245767156417063,0.0023089329201741236,0.003567150110522871,0.00566371436301456,0.004820335749126812,6,-0.005306858107382941
P18,quantile,0.7,valid,0.005911396914625549,-0.005859613100238906,0.02937609580237711,0.025421657326856726,0.01199154181148953,0.031643876479308906,0.010886169311858377,0.013198482538078739,0.011311596723272066,7,-0.005859613100238906
P19,quantile,0.7,valid,0.011657895460727449,0.00950761224523097,0.01719424308403408,0.0018682798346369642,0.00429009534016635,0.010602345133952652,0.013194680966474784,0.004473075162796927,0.013835451948569865,8,0.0018682798346369642
P2,quantile,0.7,valid,-0.0026254000284294423,0.0026279263380988792,-0.00035489879447741547,-0.005503051162208852,-0.005051010001331633,-0.012668870258629433,-0.0015920464067637593,0.0010079679153909044,-0.0035235920323350507,2,-0.012668870258629433
P20,quantile,0.7,valid,-0.0010692356178217059,0.0007039399459847712,-0.001040908419025815,-0.006349500864617761,-0.0023340974139354227,-0.0006069429596169081,-0.001935557166270968,0.0023717070668887027,-0.0005990977280227387,2,-0.006349500864617761
P21,quantile,0.7,valid,-0.011711975298037273,-0.001297730239922086,-0.017040592415763507,-0.01818545124108123,-0.011057055095172571,-0.014434037727117132,-0.009998082569002791,-0.010771076745390705,-0.02225319905486001,0,-0.02225319905486001
P22,quantile,0.7,valid,-0.0021314217069653223,-0.0032644251737255995,-0.0033241355783088233,0.0031652240221647387,-0.006094305706016791,-0.0002013761981154731,0.008898263827509224,-0.003489057900203104,-0.0011213448729004221,2,-0.006094305706016791
P23,quantile,0.7,valid,0.007992869730037726,-0.00362490236315708,0.009909744169543688,-0.0048577157381519374,0.009232091724628539,0.018576181443956695,0.008901448089822128,0.006986800374082141,0.008742553629714796,6,-0.0048577157381519374
P24,quantile,0.7,valid,0.00475504752568794,-0.0076308742335173515,0.001980936321414236,-0.004995745273415003,0.0047163804179772405,-0.0037044123551721363,0.006124966902476467,0.003548212297482668,0.008720574709042158,5,-0.0076308742335173515
P25,quantile,0.7,valid,-0.004486215494549315,-0.0060921746899235685,-0.016437688699502663,0.004586925590039769,0.002476254524605168,-0.004512616063354389,-0.012929816880694752,-0.007001454959463256,0.008675610180114205,3,-0.016437688699502663
P26,quantile,0.7,valid,0.002505900542895026,-0.007321114413654383,0.00906919632184176,0.0003690014327005849,0.004829118275771141,0.0012892176977508376,-0.001072970717313358,0.00248903345137632,0.0006940197413570399,6,-0.007321114413654383
P3,quantile,0.7,valid,0.003449131757927338,0.007193969374688988,0.00791442914037219,-0.0025067189673420634,-0.00020385645464711475,0.008995115845331561,0.0056751406997877386,0.000452246133584877,0.00404680773871282,6,-0.0025067189673420634
P4,quantile,0.7,valid,0.003368317600119311,0.004032745948087548,0.008430393988953278,0.002616720707628988,0.002863106568267588,0.00125727219055928,0.012883171621098265,0.0019971646289936758,0.009624641258238809,8,0.00125727219055928
P5,quantile,0.7,valid,0.0014969978084525858,-0.004302505575020591,-0.0030129668546402854,0.002637851554307402,0.0049235918777655275,-0.0017841364186660278,-0.0015244125081970603,0.011115731960275613,-0.003905177088990768,3,-0.004302505575020591
