heldout_label,selection_mode,selection_value,n_heldout_events,mean_heldout_strength,phase_coverage_12bin,fold_status
P1,quantile,0.6,8,0.6168697065859988,0.16666666666666666,valid
P10,quantile,0.6,6,1.6699252570917595,0.16666666666666666,valid
P11,quantile,0.6,3,0.35477289826912367,0.08333333333333333,valid
P12,quantile,0.6,5,1.5285798040871181,0.16666666666666666,valid
P13,quantile,0.6,13,1.0929052115942237,0.16666666666666666,valid
P14,quantile,0.6,6,0.6408148233295206,0.25,valid
P15,quantile,0.6,10,0.6065657723499585,0.16666666666666666,valid
P16,quantile,0.6,5,1.2428397815442132,0.16666666666666666,valid
P17,quantile,0.6,5,0.851896721923503,0.16666666666666666,valid
P18,quantile,0.6,4,0.45241131768758597,0.16666666666666666,valid
P19,quantile,0.6,7,0.8488817361912228,0.16666666666666666,valid
P2,quantile,0.6,11,0.9209128611378129,0.16666666666666666,valid
P20,quantile,0.6,9,1.2548450048704396,0.16666666666666666,valid
P21,quantile,0.6,9,0.7380558122002254,0.16666666666666666,valid
P22,quantile,0.6,7,0.7376776184192407,0.16666666666666666,valid
P23,quantile,0.6,7,0.9801594990529792,0.16666666666666666,valid
P24,quantile,0.6,11,0.7405975766571037,0.16666666666666666,valid
P25,quantile,0.6,7,1.6751181404074007,0.16666666666666666,valid
P26,quantile,0.6,8,0.6904097887400091,0.16666666666666666,valid
P3,quantile,0.6,10,0.8573633267982181,0.16666666666666666,valid
P4,quantile,0.6,8,0.7615968702241933,0.16666666666666666,valid
P5,quantile,0.6,10,0.8210730742703667,0.16666666666666666,valid
P6,quantile,0.6,8,0.5404034591706599,0.16666666666666666,valid
P7,quantile,0.6,4,0.713559441461906,0.16666666666666666,valid
P8,quantile,0.6,4,1.5798748610736117,0.16666666666666666,valid
P9,quantile,0.6,9,0.3475112051316194,0.16666666666666666,valid
P1,quantile,0.7,4,1.0477397630690168,0.08333333333333333,valid
P10,quantile,0.7,5,1.9705691421925717,0.16666666666666666,valid
P11,quantile,0.7,2,0.4973483393758169,0.08333333333333333,valid
P12,quantile,0.7,3,2.4460147044994107,0.08333333333333333,valid
P13,quantile,0.7,11,1.2653324339140248,0.16666666666666666,valid
P14,quantile,0.7,5,0.7199286927451496,0.25,valid
P15,quantile,0.7,8,0.7129600401208733,0.16666666666666666,valid
P16,quantile,0.7,5,1.2428397815442132,0.16666666666666666,valid
P17,quantile,0.7,5,0.851896721923503,0.16666666666666666,valid
P18,quantile,0.7,3,0.5160801908111001,0.08333333333333333,valid
P19,quantile,0.7,5,1.1296572661963287,0.16666666666666666,valid
P2,quantile,0.7,9,1.0914269188175731,0.16666666666666666,valid
P20,quantile,0.7,9,1.2548450048704396,0.16666666666666666,valid
P21,quantile,0.7,6,1.036155264834093,0.16666666666666666,valid
P22,quantile,0.7,5,0.9805911635418416,0.16666666666666666,valid
P23,quantile,0.7,6,1.1322642086017154,0.16666666666666666,valid
P24,quantile,0.7,8,0.9560816727870542,0.16666666666666666,valid
P25,quantile,0.7,6,1.9432998321971482,0.16666666666666666,valid
P26,quantile,0.7,6,0.8539602316407513,0.16666666666666666,valid
P3,quantile,0.7,5,1.5875211478101585,0.16666666666666666,valid
P4,quantile,0.7,6,0.9690488366427831,0.16666666666666666,valid
P5,quantile,0.7,9,0.900986087517943,0.16666666666666666,valid
P6,quantile,0.7,6,0.6929363896556416,0.16666666666666666,valid
P7,quantile,0.7,3,0.8835837092610652,0.16666666666666666,valid
P8,quantile,0.7,3,2.05891611221315,0.16666666666666666,valid
P9,quantile,0.7,4,0.6247803280368491,0.16666666666666666,valid
P1,quantile,0.75,3,1.2808354841131464,0.08333333333333333,valid
P10,quantile,0.75,5,1.9705691421925717,0.16666666666666666,valid
P11,quantile,0.75,1,0.6951555909542468,0.08333333333333333,diagnostic_only
P12,quantile,0.75,3,2.4460147044994107,0.08333333333333333,valid
P13,quantile,0.75,8,1.61106912301711,0.16666666666666666,valid
P14,quantile,0.75,4,0.7996176888844018,0.16666666666666666,valid
P15,quantile,0.75,6,0.8347486512518009,0.16666666666666666,valid
P16,quantile,0.75,5,1.2428397815442132,0.16666666666666666,valid
P17,quantile,0.75,5,0.851896721923503,0.16666666666666666,valid
P18,quantile,0.75,3,0.5160801908111001,0.08333333333333333,valid
P19,quantile,0.75,5,1.1296572661963287,0.16666666666666666,valid
P2,quantile,0.75,8,1.1887574007124608,0.16666666666666666,valid
P20,quantile,0.75,9,1.2548450048704396,0.16666666666666666,valid
P21,quantile,0.75,6,1.036155264834093,0.16666666666666666,valid
P22,quantile,0.75,3,1.384930841456109,0.16666666666666666,valid
P23,quantile,0.75,6,1.1322642086017154,0.16666666666666666,valid
P24,quantile,0.75,5,1.3271164544067489,0.16666666666666666,valid
P25,quantile,0.75,5,2.2736106181924014,0.16666666666666666,valid
P26,quantile,0.75,4,1.145910683856207,0.16666666666666666,valid
P3,quantile,0.75,4,1.906862939361344,0.16666666666666666,valid
P4,quantile,0.75,6,0.9690488366427831,0.16666666666666666,valid
P5,quantile,0.75,9,0.900986087517943,0.16666666666666666,valid
P6,quantile,0.75,5,0.7592850951206731,0.16666666666666666,valid
P7,quantile,0.75,3,0.8835837092610652,0.16666666666666666,valid
P8,quantile,0.75,2,2.9262771559308662,0.16666666666666666,valid
P9,quantile,0.75,1,1.5285522165810592,0.08333333333333333,diagnostic_only
P1,quantile,0.8,3,1.2808354841131464,0.08333333333333333,valid
P10,quantile,0.8,5,1.9705691421925717,0.16666666666666666,valid
P11,quantile,0.8,1,0.6951555909542468,0.08333333333333333,diagnostic_only
P12,quantile,0.8,3,2.4460147044994107,0.08333333333333333,valid
P13,quantile,0.8,6,1.9980886887850209,0.16666666666666666,valid
P14,quantile,0.8,2,1.0995578211536867,0.08333333333333333,valid
P15,quantile,0.8,4,1.0394996753715344,0.16666666666666666,valid
P16,quantile,0.8,3,1.7905539546984262,0.16666666666666666,valid
P17,quantile,0.8,3,1.0955368553762026,0.16666666666666666,valid
P18,quantile,0.8,1,0.6227775131697456,0.08333333333333333,diagnostic_only
P19,quantile,0.8,4,1.2785786383779232,0.16666666666666666,valid
P2,quantile,0.8,7,1.2899157679086513,0.16666666666666666,valid
P20,quantile,0.8,8,1.3632434445396093,0.16666666666666666,valid
P21,quantile,0.8,6,1.036155264834093,0.16666666666666666,valid
P22,quantile,0.8,2,1.799054083025747,0.08333333333333333,valid
P23,quantile,0.8,6,1.1322642086017154,0.16666666666666666,valid
P24,quantile,0.8,5,1.3271164544067489,0.16666666666666666,valid
P25,quantile,0.8,4,2.7087734135976866,0.16666666666666666,valid
P26,quantile,0.8,3,1.3459326925611375,0.16666666666666666,valid
P3,quantile,0.8,4,1.906862939361344,0.16666666666666666,valid
P4,quantile,0.8,5,1.0810741051846589,0.16666666666666666,valid
P5,quantile,0.8,5,1.2828674424776858,0.16666666666666666,valid
P6,quantile,0.8,3,0.9288019661972021,0.16666666666666666,valid
P7,quantile,0.8,2,1.07692148268252,0.08333333333333333,valid
P8,quantile,0.8,2,2.9262771559308662,0.16666666666666666,valid
P9,quantile,0.8,1,1.5285522165810592,0.08333333333333333,diagnostic_only
P1,quantile,0.9,2,1.3746913977163548,0.08333333333333333,valid
P10,quantile,0.9,2,3.8395048509822773,0.08333333333333333,valid
P11,quantile,0.9,0,,0.0,invalid_empty
P12,quantile,0.9,2,3.288123633812515,0.08333333333333333,valid
P13,quantile,0.9,3,3.2707930373201783,0.16666666666666666,valid
P14,quantile,0.9,1,1.5223799242942226,0.08333333333333333,diagnostic_only
P15,quantile,0.9,2,1.3526229651479076,0.16666666666666666,valid
P16,quantile,0.9,1,3.6250376862346463,0.08333333333333333,diagnostic_only
P17,quantile,0.9,2,1.338235615886616,0.16666666666666666,valid
P18,quantile,0.9,0,,0.0,invalid_empty
P19,quantile,0.9,2,1.4975712205301603,0.16666666666666666,valid
P2,quantile,0.9,2,2.3554987565584073,0.16666666666666666,valid
P20,quantile,0.9,5,1.7227722568107882,0.16666666666666666,valid
P21,quantile,0.9,3,1.342714179662866,0.16666666666666666,valid
P22,quantile,0.9,2,1.799054083025747,0.08333333333333333,valid
P23,quantile,0.9,2,1.7383284620686488,0.16666666666666666,valid
P24,quantile,0.9,1,3.325864010568678,0.08333333333333333,diagnostic_only
P25,quantile,0.9,4,2.7087734135976866,0.16666666666666666,valid
P26,quantile,0.9,2,1.5839210104100947,0.16666666666666666,valid
P3,quantile,0.9,4,1.906862939361344,0.16666666666666666,valid
P4,quantile,0.9,2,1.404127999562633,0.16666666666666666,valid
P5,quantile,0.9,2,2.084622172589643,0.16666666666666666,valid
P6,quantile,0.9,1,1.196714960139023,0.08333333333333333,diagnostic_only
P7,quantile,0.9,0,,0.0,invalid_empty
P8,quantile,0.9,2,2.9262771559308662,0.16666666666666666,valid
P9,quantile,0.9,1,1.5285522165810592,0.08333333333333333,diagnostic_only
P1,fixed_top_k,1.0,1,1.532208435711343,0.08333333333333333,diagnostic_only
P10,fixed_top_k,1.0,1,6.418506281653832,0.08333333333333333,diagnostic_only
P11,fixed_top_k,1.0,1,0.6951555909542468,0.08333333333333333,diagnostic_only
P12,fixed_top_k,1.0,1,3.930676391181351,0.08333333333333333,diagnostic_only
P13,fixed_top_k,1.0,1,6.54556194690113,0.08333333333333333,diagnostic_only
