heldout_label,selection_mode,selection_value,fold_status,c_representation,topology_arm,n_nodes,n_directed_edges,n_seed_events,mean_seed_strength,mean_bounded_differentiated_recovery,sd_bounded_differentiated_recovery,topology_notes
P1,quantile,0.6,valid,receiver_standpoint_magnitude_c,no_topology_baseline,12,0,8,0.10039203726815041,-0.004507081477382937,0.022605338487296883,12 nodes with no coupling edges
P1,quantile,0.6,valid,receiver_standpoint_magnitude_c,c12_1_2,12,48,8,0.10039203726815041,0.004414909459942481,0.011297645239939223,primary Luke/D12RG normalized readout candidate
P1,quantile,0.6,valid,receiver_standpoint_magnitude_c,c12_reversed,12,48,8,0.10039203726815041,0.0034980756423546636,0.015053281586439938,"C12(1,2) with all directed arrows reversed"
P1,quantile,0.6,valid,receiver_standpoint_magnitude_c,c12_side_broken,12,48,8,0.10039203726815041,-0.001142539836397852,0.015485232952373269,degree-matched C12 side-correspondence-broken control
P1,quantile,0.6,valid,receiver_standpoint_magnitude_c,c12_shuffled,12,48,8,0.10039203726815041,-0.004087084258386946,0.014256846745368201,C12 capacity-preserving target-shuffled control
P1,quantile,0.6,valid,receiver_standpoint_magnitude_c,c10,10,40,8,0.10039203726815041,-0.0006325369070150032,0.008289390249487175,"C10(1,2) neighbouring-cycle control"
P1,quantile,0.6,valid,receiver_standpoint_magnitude_c,c11,11,44,8,0.10039203726815041,-0.002368697196105158,0.008043470853723575,"C11(1,2) neighbouring-cycle control"
P1,quantile,0.6,valid,receiver_standpoint_magnitude_c,c13,13,52,8,0.10039203726815041,-0.003016488435602279,0.0178694939029518,"C13(1,2) neighbouring-cycle control"
P1,quantile,0.6,valid,receiver_standpoint_magnitude_c,c14,14,56,8,0.10039203726815041,0.0024659251212580204,0.011556569517464504,"C14(1,2) neighbouring-cycle control"
P10,quantile,0.6,valid,receiver_standpoint_magnitude_c,no_topology_baseline,12,0,6,0.08606687635451066,-0.004086403193446381,0.009198663311762709,12 nodes with no coupling edges
P10,quantile,0.6,valid,receiver_standpoint_magnitude_c,c12_1_2,12,48,6,0.08606687635451066,-0.0009686892950140609,0.013643182834779971,primary Luke/D12RG normalized readout candidate
P10,quantile,0.6,valid,receiver_standpoint_magnitude_c,c12_reversed,12,48,6,0.08606687635451066,0.007844532046534082,0.023503510640229208,"C12(1,2) with all directed arrows reversed"
P10,quantile,0.6,valid,receiver_standpoint_magnitude_c,c12_side_broken,12,48,6,0.08606687635451066,-0.003060950674550244,0.012967218477384575,degree-matched C12 side-correspondence-broken control
P10,quantile,0.6,valid,receiver_standpoint_magnitude_c,c12_shuffled,12,48,6,0.08606687635451066,-0.002048763138472798,0.015228458276008062,C12 capacity-preserving target-shuffled control
P10,quantile,0.6,valid,receiver_standpoint_magnitude_c,c10,10,40,6,0.08606687635451066,-0.01138045096212032,0.010921677917825934,"C10(1,2) neighbouring-cycle control"
P10,quantile,0.6,valid,receiver_standpoint_magnitude_c,c11,11,44,6,0.08606687635451066,0.0008185677579333073,0.020009151878120347,"C11(1,2) neighbouring-cycle control"
P10,quantile,0.6,valid,receiver_standpoint_magnitude_c,c13,13,52,6,0.08606687635451066,0.0002173156126553793,0.01571971788512997,"C13(1,2) neighbouring-cycle control"
P10,quantile,0.6,valid,receiver_standpoint_magnitude_c,c14,14,56,6,0.08606687635451066,-0.006446870789048687,0.02104447789963134,"C14(1,2) neighbouring-cycle control"
P11,quantile,0.6,valid,receiver_standpoint_magnitude_c,no_topology_baseline,12,0,3,0.11837783621598197,-0.005988405791665892,0.07202160714917047,12 nodes with no coupling edges
P11,quantile,0.6,valid,receiver_standpoint_magnitude_c,c12_1_2,12,48,3,0.11837783621598197,-0.024358874824512763,0.027600778192409046,primary Luke/D12RG normalized readout candidate
P11,quantile,0.6,valid,receiver_standpoint_magnitude_c,c12_reversed,12,48,3,0.11837783621598197,0.005455305708042099,0.034486690712162954,"C12(1,2) with all directed arrows reversed"
P11,quantile,0.6,valid,receiver_standpoint_magnitude_c,c12_side_broken,12,48,3,0.11837783621598197,-0.002504420204487372,0.04088145942705669,degree-matched C12 side-correspondence-broken control
P11,quantile,0.6,valid,receiver_standpoint_magnitude_c,c12_shuffled,12,48,3,0.11837783621598197,-0.008389676573701134,0.033614518247785795,C12 capacity-preserving target-shuffled control
P11,quantile,0.6,valid,receiver_standpoint_magnitude_c,c10,10,40,3,0.11837783621598197,0.009714723153344564,0.03071510184431883,"C10(1,2) neighbouring-cycle control"
P11,quantile,0.6,valid,receiver_standpoint_magnitude_c,c11,11,44,3,0.11837783621598197,0.003248961622300346,0.033762083607024054,"C11(1,2) neighbouring-cycle control"
P11,quantile,0.6,valid,receiver_standpoint_magnitude_c,c13,13,52,3,0.11837783621598197,0.004640615386189712,0.034659072275843264,"C13(1,2) neighbouring-cycle control"
P11,quantile,0.6,valid,receiver_standpoint_magnitude_c,c14,14,56,3,0.11837783621598197,0.010588653127523698,0.042645585238478764,"C14(1,2) neighbouring-cycle control"
P12,quantile,0.6,valid,receiver_standpoint_magnitude_c,no_topology_baseline,12,0,5,0.10516879314742175,-0.002549933255398249,0.016570880064789337,12 nodes with no coupling edges
P12,quantile,0.6,valid,receiver_standpoint_magnitude_c,c12_1_2,12,48,5,0.10516879314742175,0.002285040355191553,0.014267691670207397,primary Luke/D12RG normalized readout candidate
P12,quantile,0.6,valid,receiver_standpoint_magnitude_c,c12_reversed,12,48,5,0.10516879314742175,-0.0009850291386861905,0.010031181845129133,"C12(1,2) with all directed arrows reversed"
P12,quantile,0.6,valid,receiver_standpoint_magnitude_c,c12_side_broken,12,48,5,0.10516879314742175,0.0024044812041901053,0.013907780460931003,degree-matched C12 side-correspondence-broken control
P12,quantile,0.6,valid,receiver_standpoint_magnitude_c,c12_shuffled,12,48,5,0.10516879314742175,-0.01194087957658368,0.01516790263848727,C12 capacity-preserving target-shuffled control
P12,quantile,0.6,valid,receiver_standpoint_magnitude_c,c10,10,40,5,0.10516879314742175,0.0005750935810044681,0.015833421954149485,"C10(1,2) neighbouring-cycle control"
P12,quantile,0.6,valid,receiver_standpoint_magnitude_c,c11,11,44,5,0.10516879314742175,-0.0007420143479258476,0.02096916138479321,"C11(1,2) neighbouring-cycle control"
P12,quantile,0.6,valid,receiver_standpoint_magnitude_c,c13,13,52,5,0.10516879314742175,-0.0027411288974382975,0.010057501488898609,"C13(1,2) neighbouring-cycle control"
P12,quantile,0.6,valid,receiver_standpoint_magnitude_c,c14,14,56,5,0.10516879314742175,5.3162205261213236e-05,0.01830325541027261,"C14(1,2) neighbouring-cycle control"
P13,quantile,0.6,valid,receiver_standpoint_magnitude_c,no_topology_baseline,12,0,13,0.07278786358673421,-0.005989734403832617,0.009278851584391833,12 nodes with no coupling edges
P13,quantile,0.6,valid,receiver_standpoint_magnitude_c,c12_1_2,12,48,13,0.07278786358673421,0.0016037633793206532,0.008328434821895592,primary Luke/D12RG normalized readout candidate
P13,quantile,0.6,valid,receiver_standpoint_magnitude_c,c12_reversed,12,48,13,0.07278786358673421,0.003221353538805157,0.012625924172118582,"C12(1,2) with all directed arrows reversed"
P13,quantile,0.6,valid,receiver_standpoint_magnitude_c,c12_side_broken,12,48,13,0.07278786358673421,-0.003966013149373274,0.007947977779292662,degree-matched C12 side-correspondence-broken control
P13,quantile,0.6,valid,receiver_standpoint_magnitude_c,c12_shuffled,12,48,13,0.07278786358673421,0.0018662070850719535,0.009860604444992366,C12 capacity-preserving target-shuffled control
P13,quantile,0.6,valid,receiver_standpoint_magnitude_c,c10,10,40,13,0.07278786358673421,-0.0001857137688163397,0.00870906816112417,"C10(1,2) neighbouring-cycle control"
P13,quantile,0.6,valid,receiver_standpoint_magnitude_c,c11,11,44,13,0.07278786358673421,-0.006204155079916906,0.009287677782258632,"C11(1,2) neighbouring-cycle control"
P13,quantile,0.6,valid,receiver_standpoint_magnitude_c,c13,13,52,13,0.07278786358673421,0.003911790666413467,0.010380467416313252,"C13(1,2) neighbouring-cycle control"
P13,quantile,0.6,valid,receiver_standpoint_magnitude_c,c14,14,56,13,0.07278786358673421,-0.005406870001165603,0.009291711619522134,"C14(1,2) neighbouring-cycle control"
P14,quantile,0.6,valid,receiver_standpoint_magnitude_c,no_topology_baseline,12,0,6,0.09645979297845321,0.009617496772206491,0.023549238147064798,12 nodes with no coupling edges
P14,quantile,0.6,valid,receiver_standpoint_magnitude_c,c12_1_2,12,48,6,0.09645979297845321,-0.0006841347573766396,0.022961579140571276,primary Luke/D12RG normalized readout candidate
P14,quantile,0.6,valid,receiver_standpoint_magnitude_c,c12_reversed,12,48,6,0.09645979297845321,-0.010734214721115574,0.01728572741084611,"C12(1,2) with all directed arrows reversed"
P14,quantile,0.6,valid,receiver_standpoint_magnitude_c,c12_side_broken,12,48,6,0.09645979297845321,-0.00828707128524364,0.0160319098294138,degree-matched C12 side-correspondence-broken control
P14,quantile,0.6,valid,receiver_standpoint_magnitude_c,c12_shuffled,12,48,6,0.09645979297845321,0.0075487082848284094,0.021364997449002453,C12 capacity-preserving target-shuffled control
P14,quantile,0.6,valid,receiver_standpoint_magnitude_c,c10,10,40,6,0.09645979297845321,-0.0014889968128471796,0.023632699293805428,"C10(1,2) neighbouring-cycle control"
P14,quantile,0.6,valid,receiver_standpoint_magnitude_c,c11,11,44,6,0.09645979297845321,0.008906546555003987,0.02396370685238289,"C11(1,2) neighbouring-cycle control"
P14,quantile,0.6,valid,receiver_standpoint_magnitude_c,c13,13,52,6,0.09645979297845321,0.0035251746822685076,0.016533199686364367,"C13(1,2) neighbouring-cycle control"
P14,quantile,0.6,valid,receiver_standpoint_magnitude_c,c14,14,56,6,0.09645979297845321,0.008221193443333276,0.020443002426856365,"C14(1,2) neighbouring-cycle control"
P15,quantile,0.6,valid,receiver_standpoint_magnitude_c,no_topology_baseline,12,0,10,0.10709840216680551,0.00560656753729905,0.011965244950681185,12 nodes with no coupling edges
P15,quantile,0.6,valid,receiver_standpoint_magnitude_c,c12_1_2,12,48,10,0.10709840216680551,0.0009888018060948986,0.008425933539667883,primary Luke/D12RG normalized readout candidate
P15,quantile,0.6,valid,receiver_standpoint_magnitude_c,c12_reversed,12,48,10,0.10709840216680551,-0.00014235755601169496,0.008884320348506348,"C12(1,2) with all directed arrows reversed"
P15,quantile,0.6,valid,receiver_standpoint_magnitude_c,c12_side_broken,12,48,10,0.10709840216680551,-0.0003623863085852742,0.01489207295690995,degree-matched C12 side-correspondence-broken control
P15,quantile,0.6,valid,receiver_standpoint_magnitude_c,c12_shuffled,12,48,10,0.10709840216680551,0.00021183120830631664,0.00796693287767263,C12 capacity-preserving target-shuffled control
P15,quantile,0.6,valid,receiver_standpoint_magnitude_c,c10,10,40,10,0.10709840216680551,-0.00267524818172447,0.009199835414357937,"C10(1,2) neighbouring-cycle control"
P15,quantile,0.6,valid,receiver_standpoint_magnitude_c,c11,11,44,10,0.10709840216680551,0.0015204025270733914,0.01038038698612132,"C11(1,2) neighbouring-cycle control"
P15,quantile,0.6,valid,receiver_standpoint_magnitude_c,c13,13,52,10,0.10709840216680551,0.0008623295488112523,0.008842895410152702,"C13(1,2) neighbouring-cycle control"
P15,quantile,0.6,valid,receiver_standpoint_magnitude_c,c14,14,56,10,0.10709840216680551,0.003935305407878298,0.00886665956000393,"C14(1,2) neighbouring-cycle control"
P16,quantile,0.6,valid,receiver_standpoint_magnitude_c,no_topology_baseline,12,0,5,0.08887782854408549,0.004095358619016724,0.019494560559661554,12 nodes with no coupling edges
P16,quantile,0.6,valid,receiver_standpoint_magnitude_c,c12_1_2,12,48,5,0.08887782854408549,0.0005804997554185435,0.01784276050235927,primary Luke/D12RG normalized readout candidate
P16,quantile,0.6,valid,receiver_standpoint_magnitude_c,c12_reversed,12,48,5,0.08887782854408549,-0.0056425526481872065,0.016963157996755986,"C12(1,2) with all directed arrows reversed"
P16,quantile,0.6,valid,receiver_standpoint_magnitude_c,c12_side_broken,12,48,5,0.08887782854408549,0.008757411334315459,0.026681653745733745,degree-matched C12 side-correspondence-broken control
P16,quantile,0.6,valid,receiver_standpoint_magnitude_c,c12_shuffled,12,48,5,0.08887782854408549,0.0026417254514186756,0.015993143364256474,C12 capacity-preserving target-shuffled control
P16,quantile,0.6,valid,receiver_standpoint_magnitude_c,c10,10,40,5,0.08887782854408549,0.005221248868915674,0.013913555587498185,"C10(1,2) neighbouring-cycle control"
P16,quantile,0.6,valid,receiver_standpoint_magnitude_c,c11,11,44,5,0.08887782854408549,-0.0029594371963413972,0.017563514353827955,"C11(1,2) neighbouring-cycle control"
P16,quantile,0.6,valid,receiver_standpoint_magnitude_c,c13,13,52,5,0.08887782854408549,-0.004232911658519066,0.02412456538983738,"C13(1,2) neighbouring-cycle control"
P16,quantile,0.6,valid,receiver_standpoint_magnitude_c,c14,14,56,5,0.08887782854408549,-0.005174456471445406,0.01710875776686533,"C14(1,2) neighbouring-cycle control"
P17,quantile,0.6,valid,receiver_standpoint_magnitude_c,no_topology_baseline,12,0,5,0.1154689876835977,0.0026336216419903294,0.021221879989389427,12 nodes with no coupling edges
P17,quantile,0.6,valid,receiver_standpoint_magnitude_c,c12_1_2,12,48,5,0.1154689876835977,-0.0065720993673862756,0.018698691249806786,primary Luke/D12RG normalized readout candidate
P17,quantile,0.6,valid,receiver_standpoint_magnitude_c,c12_reversed,12,48,5,0.1154689876835977,0.001840526101300204,0.01809600755842833,"C12(1,2) with all directed arrows reversed"
P17,quantile,0.6,valid,receiver_standpoint_magnitude_c,c12_side_broken,12,48,5,0.1154689876835977,-0.009227917327463666,0.012201840133435869,degree-matched C12 side-correspondence-broken control
P17,quantile,0.6,valid,receiver_standpoint_magnitude_c,c12_shuffled,12,48,5,0.1154689876835977,0.003985762773912326,0.01603271722126306,C12 capacity-preserving target-shuffled control
P17,quantile,0.6,valid,receiver_standpoint_magnitude_c,c10,10,40,5,0.1154689876835977,0.003337420435669354,0.011346895257457155,"C10(1,2) neighbouring-cycle control"
P17,quantile,0.6,valid,receiver_standpoint_magnitude_c,c11,11,44,5,0.1154689876835977,0.0020768447833862847,0.01262195144636536,"C11(1,2) neighbouring-cycle control"
P17,quantile,0.6,valid,receiver_standpoint_magnitude_c,c13,13,52,5,0.1154689876835977,0.01596646906127888,0.015632613646826752,"C13(1,2) neighbouring-cycle control"
P17,quantile,0.6,valid,receiver_standpoint_magnitude_c,c14,14,56,5,0.1154689876835977,-0.002331759915011936,0.017497461378105206,"C14(1,2) neighbouring-cycle control"
P18,quantile,0.6,valid,receiver_standpoint_magnitude_c,no_topology_baseline,12,0,4,0.12928375275616594,0.0012662327934127619,0.025915474517403957,12 nodes with no coupling edges
P18,quantile,0.6,valid,receiver_standpoint_magnitude_c,c12_1_2,12,48,4,0.12928375275616594,-0.0027139472864031663,0.03465780659691943,primary Luke/D12RG normalized readout candidate
P18,quantile,0.6,valid,receiver_standpoint_magnitude_c,c12_reversed,12,48,4,0.12928375275616594,0.010705163628568925,0.011220975510701245,"C12(1,2) with all directed arrows reversed"
P18,quantile,0.6,valid,receiver_standpoint_magnitude_c,c12_side_broken,12,48,4,0.12928375275616594,-0.0036563057208268703,0.022408311943299054,degree-matched C12 side-correspondence-broken control
P18,quantile,0.6,valid,receiver_standpoint_magnitude_c,c12_shuffled,12,48,4,0.12928375275616594,0.013924508814275862,0.030664034397875455,C12 capacity-preserving target-shuffled control
P18,quantile,0.6,valid,receiver_standpoint_magnitude_c,c10,10,40,4,0.12928375275616594,0.0029414685967993916,0.02751173091530644,"C10(1,2) neighbouring-cycle control"
P18,quantile,0.6,valid,receiver_standpoint_magnitude_c,c11,11,44,4,0.12928375275616594,-0.0007396330014649797,0.028669423351868232,"C11(1,2) neighbouring-cycle control"
P18,quantile,0.6,valid,receiver_standpoint_magnitude_c,c13,13,52,4,0.12928375275616594,-0.0018113113752758808,0.026576943952989387,"C13(1,2) neighbouring-cycle control"
P18,quantile,0.6,valid,receiver_standpoint_magnitude_c,c14,14,56,4,0.12928375275616594,0.005516119217660435,0.021500906118112496,"C14(1,2) neighbouring-cycle control"
P19,quantile,0.6,valid,receiver_standpoint_magnitude_c,no_topology_baseline,12,0,7,0.12295045113085767,-0.004227860612745973,0.014284839901550356,12 nodes with no coupling edges
P19,quantile,0.6,valid,receiver_standpoint_magnitude_c,c12_1_2,12,48,7,0.12295045113085767,0.0001789671188949073,0.021153068053246654,primary Luke/D12RG normalized readout candidate
P19,quantile,0.6,valid,receiver_standpoint_magnitude_c,c12_reversed,12,48,7,0.12295045113085767,-0.014349610520601219,0.017392341715714268,"C12(1,2) with all directed arrows reversed"
P19,quantile,0.6,valid,receiver_standpoint_magnitude_c,c12_side_broken,12,48,7,0.12295045113085767,0.004349466859452135,0.021508639765944602,degree-matched C12 side-correspondence-broken control
P19,quantile,0.6,valid,receiver_standpoint_magnitude_c,c12_shuffled,12,48,7,0.12295045113085767,-0.0031295834426552163,0.02515257273730006,C12 capacity-preserving target-shuffled control
P19,quantile,0.6,valid,receiver_standpoint_magnitude_c,c10,10,40,7,0.12295045113085767,-0.00042566853715669074,0.023071825539539972,"C10(1,2) neighbouring-cycle control"
P19,quantile,0.6,valid,receiver_standpoint_magnitude_c,c11,11,44,7,0.12295045113085767,-0.0017531007284933599,0.011448081767761156,"C11(1,2) neighbouring-cycle control"
P19,quantile,0.6,valid,receiver_standpoint_magnitude_c,c13,13,52,7,0.12295045113085767,0.014740580477920947,0.01352632351904554,"C13(1,2) neighbouring-cycle control"
P19,quantile,0.6,valid,receiver_standpoint_magnitude_c,c14,14,56,7,0.12295045113085767,-0.004404328421346857,0.02402591453245549,"C14(1,2) neighbouring-cycle control"
P2,quantile,0.6,valid,receiver_standpoint_magnitude_c,no_topology_baseline,12,0,11,0.0866824575271894,-0.001072892400057952,0.013113155607205693,12 nodes with no coupling edges
P2,quantile,0.6,valid,receiver_standpoint_magnitude_c,c12_1_2,12,48,11,0.0866824575271894,-0.002868882727528436,0.007200726591794633,primary Luke/D12RG normalized readout candidate
P2,quantile,0.6,valid,receiver_standpoint_magnitude_c,c12_reversed,12,48,11,0.0866824575271894,-0.0008418257793117754,0.01002751467746102,"C12(1,2) with all directed arrows reversed"
P2,quantile,0.6,valid,receiver_standpoint_magnitude_c,c12_side_broken,12,48,11,0.0866824575271894,0.003589800307647983,0.01256820985935241,degree-matched C12 side-correspondence-broken control
P2,quantile,0.6,valid,receiver_standpoint_magnitude_c,c12_shuffled,12,48,11,0.0866824575271894,0.006507512308303616,0.011709219261497405,C12 capacity-preserving target-shuffled control
P2,quantile,0.6,valid,receiver_standpoint_magnitude_c,c10,10,40,11,0.0866824575271894,-0.0003411038210245399,0.014064259049082865,"C10(1,2) neighbouring-cycle control"
P2,quantile,0.6,valid,receiver_standpoint_magnitude_c,c11,11,44,11,0.0866824575271894,0.0027086561360467,0.010303768844467957,"C11(1,2) neighbouring-cycle control"
P2,quantile,0.6,valid,receiver_standpoint_magnitude_c,c13,13,52,11,0.0866824575271894,-0.0004200216600170386,0.00938584713732061,"C13(1,2) neighbouring-cycle control"
P2,quantile,0.6,valid,receiver_standpoint_magnitude_c,c14,14,56,11,0.0866824575271894,0.0006131896624009676,0.011622994442824136,"C14(1,2) neighbouring-cycle control"
P20,quantile,0.6,valid,receiver_standpoint_magnitude_c,no_topology_baseline,12,0,9,0.1137411082560604,0.0029770772868937152,0.010499657279375076,12 nodes with no coupling edges
P20,quantile,0.6,valid,receiver_standpoint_magnitude_c,c12_1_2,12,48,9,0.1137411082560604,0.00016751205509613556,0.008981986226314381,primary Luke/D12RG normalized readout candidate
P20,quantile,0.6,valid,receiver_standpoint_magnitude_c,c12_reversed,12,48,9,0.1137411082560604,0.0034187161393032677,0.009047389492684667,"C12(1,2) with all directed arrows reversed"
P20,quantile,0.6,valid,receiver_standpoint_magnitude_c,c12_side_broken,12,48,9,0.1137411082560604,0.0007415412432962518,0.008817164657503674,degree-matched C12 side-correspondence-broken control
P20,quantile,0.6,valid,receiver_standpoint_magnitude_c,c12_shuffled,12,48,9,0.1137411082560604,-0.002090182131017982,0.010026430991227464,C12 capacity-preserving target-shuffled control
P20,quantile,0.6,valid,receiver_standpoint_magnitude_c,c10,10,40,9,0.1137411082560604,0.005588865349796815,0.008637115584557776,"C10(1,2) neighbouring-cycle control"
P20,quantile,0.6,valid,receiver_standpoint_magnitude_c,c11,11,44,9,0.1137411082560604,-0.000907672694044789,0.00820146759697391,"C11(1,2) neighbouring-cycle control"
P20,quantile,0.6,valid,receiver_standpoint_magnitude_c,c13,13,52,9,0.1137411082560604,0.0027465576867663857,0.004631318709116078,"C13(1,2) neighbouring-cycle control"
P20,quantile,0.6,valid,receiver_standpoint_magnitude_c,c14,14,56,9,0.1137411082560604,0.0015350144521632501,0.008166162459687046,"C14(1,2) neighbouring-cycle control"
P21,quantile,0.6,valid,receiver_standpoint_magnitude_c,no_topology_baseline,12,0,9,0.11704640925930658,-0.00039373397078400614,0.01275481675353458,12 nodes with no coupling edges
P21,quantile,0.6,valid,receiver_standpoint_magnitude_c,c12_1_2,12,48,9,0.11704640925930658,-0.0021239022437611254,0.015799143223372725,primary Luke/D12RG normalized readout candidate
P21,quantile,0.6,valid,receiver_standpoint_magnitude_c,c12_reversed,12,48,9,0.11704640925930658,0.0031446459371874996,0.01302267007600551,"C12(1,2) with all directed arrows reversed"
