heldout_label,c12_mean,effect_vs_no_topology,effect_vs_reversed,effect_vs_side_broken,effect_vs_shuffled,effect_vs_c10,effect_vs_c11,effect_vs_c13,effect_vs_c14,n_positive_specificity_controls,min_specificity_margin,is_registered_survivor,is_strict_survivor,is_collapsed,survival_group,side_correspondence_margin,ring_orientation_margin,twelvefold_neighbor_margin,event_count,mean_abs_rstar,q75_abs_rstar,mean_receiver_asymmetry,mean_receiver_total,mean_standpoint_separation,mean_magnitude_balance,mean_magnitude_total,selected_b74b_event_count,selected_b74b_mean_strength,selected_b74b_phase_coverage,selected_b74b_phase_concentration,b74c_n_thresholds,b74c_mean_c12,b74c_mean_positive_controls,b74c_max_positive_controls,b74c_mean_min_margin,b74c_best_min_margin,b74c_mean_side_margin,b74c_mean_orientation_margin,b74c_mean_neighbor_margin
P1,-0.007355492463928,-0.0148606457982002,-0.010297496873751,0.0009122494585071,0.0008115237643574,-0.0004246843588372,0.0107053829038159,0.0157569675734213,0.0002030978974108,5,-0.0148606457982002,False,False,True,collapsed_or_weak,0.00086188661143225,-0.010297496873751,0.0065601910039527,27,0.5663158040806889,0.8822681071475162,0.09407465812642261,0.27002296738000053,0.24717016303411704,-0.0,0.24717016303411704,3,1.2808354841131464,0.08333333333333333,0.9985053151996982,5,-0.00044460453426822463,3.8,8.0,-0.015102364873196475,0.0009168338175878,-0.004119940542456199,0.0030783110839581757,-0.002120864787014269
P10,0.0041698718380553,0.0103368479307594,0.0009641577779958,0.0088970373145544,0.0010713672201396,0.0145566625099305,0.0040091691014312,0.0049061028043901,0.0010624410806084,8,0.0009641577779958,True,True,False,registered_survivor,0.004984202267347,0.0009641577779958,0.00613359387409005,18,1.000151251342313,0.8295877485301506,0.08566290967370396,0.3852986472161257,0.28191680853434464,-0.0,0.28191680853434464,5,1.9705691421925717,0.16666666666666666,0.9862138055902717,5,-0.0007035325845914499,2.6,5.0,-0.007811343150683575,-0.0027515843383822,0.0006919261849033748,-0.0029439347991949247,0.0002190514310617875
P11,,,,,,,,,,0,,False,False,True,collapsed_or_weak,,,,17,0.5429253682116927,0.775432410937448,0.07308439348282872,0.25123019037968647,0.1930112829195742,-0.0,0.1930112829195742,1,0.6951555909542468,0.08333333333333333,1.0,4,-0.0243588748245127,0.0,0.0,-0.0349475279520364,-0.0349475279520364,-0.01891182643541845,-0.0298141805325548,-0.0314071131468523
P12,-0.0025435258988935,0.0105102860887431,0.0011964934858803,0.0079408777299807,-0.0096560486670463,0.0092646544499776,-0.0152138544906309,0.0035091238154478,0.0068069099835442,6,-0.0152138544906309,False,False,True,collapsed_or_weak,-0.0008575854685328003,0.0011964934858803,0.001091708439584675,12,1.100051774314933,1.1967405868560888,0.07480467047266988,0.35496614111723485,0.3140922677460799,-0.0,0.3140922677460799,3,2.4460147044994107,0.08333333333333333,0.9975299831666308,5,-0.003146754985660475,2.8,7.0,-0.01533148545662345,-0.0001194408489985,-0.0069965310021646255,-0.0005182165403928504,0.000983627021240488
P13,-0.0056918286933063,0.0014820229594585,-0.0069973770982683,-0.002643085561991,-0.0052550852294854,-0.005013995143836,-0.003526785131233,-0.0063033738523672,-0.0050136722960246,1,-0.0069973770982683,False,False,True,collapsed_or_weak,-0.0039490853957382,-0.0069973770982683,-0.0049644566058652,22,0.9001124635845645,0.8844690622321952,0.010651473639662136,0.3660290784976601,0.37189478993118585,-0.0,0.37189478993118585,8,1.61106912301711,0.16666666666666666,0.9962212109958865,5,0.00131280604672846,4.2,6.0,-0.0084135118834535,-0.0023080272870928,0.00388100023203095,-0.00143017227799102,0.0017122605122135003
P14,-0.0044702111493664,-0.0101987910489009,0.0047437536032277,-0.005104743053172,-0.0066354328589147,-0.0015179151657885,-0.0067661424700756,-0.0068935625067685,-0.0027813168050851,1,-0.0101987910489009,False,False,True,collapsed_or_weak,-0.00587008795604335,0.0047437536032277,-0.004489734236929424,18,0.5782600448591518,0.7732725277122886,0.0503153955054986,0.31414554419162427,0.23956648674814618,-0.0,0.23956648674814618,4,0.7996176888844018,0.16666666666666666,0.9951223658121157,5,0.0021192972670341,2.8,8.0,-0.008677625933922633,0.0031360441583238,0.007053014279270666,0.004114531457520666,0.0015242722385193832
P15,0.0034447601866321,0.0042064926401895,0.002484630492771,0.0015369690849449,0.0042335620524269,0.0022981920846528,0.0050629357900571,-0.0005208108436956,0.0055715773967705,7,-0.0005208108436956,True,True,False,registered_survivor,0.0028852655686859,0.002484630492771,0.0031029736069462,26,0.5611002661046537,0.7859204711685903,0.02696643156335178,0.3612576458991997,0.24543198841529965,-0.0,0.24543198841529965,6,0.8347486512518009,0.16666666666666666,0.995890132885372,5,0.001506674687969975,4.2,8.0,-0.0048774722688813,0.0011126619139633,0.0009467914296820252,0.0011679381366457497,0.0012177153196362062
P16,-0.0028191877551654,-0.000970421543851,-0.0015480440709364,-0.0022949358189831,-0.0002792345030687,-0.0027600786997272,-0.0056974012900662,-0.0018466249034501,0.0057404808327075,1,-0.0056974012900662,False,False,True,collapsed_or_weak,-0.0012870851610259002,-0.0015480440709364,-0.0011409060151339999,23,0.8278363403795423,1.0037511980917555,0.06748805911892225,0.27350353785422615,0.23449387094564708,-0.0,0.23449387094564708,5,1.2428397815442132,0.16666666666666666,0.988060021965476,5,3.639025282629996e-05,3.2,4.0,-0.0084083291749186,-0.0035535996329194,0.0002078456169084626,0.000838176413586525,0.0024596965966264314
P17,-0.0048377923586156,-0.0162320152428779,0.0046300188234875,-0.0002764902393372,-0.0096140488980553,-0.0108475110988471,-0.0042261252278312,-0.0097080033445807,-0.0118157627492654,1,-0.0162320152428779,False,False,True,collapsed_or_weak,-0.00494526956869625,0.0046300188234875,-0.0091493506051311,20,0.7816584149520094,1.0944783482975127,-0.033207501066430944,0.3561249361400147,0.16181307615803292,-0.0,0.16181307615803292,5,0.851896721923503,0.16666666666666666,0.9995175879421401,5,0.002335003590660225,3.4,6.0,-0.00879409536565195,-0.0034607567405373,-0.0015955505907253877,0.00493530259219085,0.0012693696810279814
P18,0.007976916690274,-0.0113434516483881,-0.000108877888194,-0.0112669761345356,0.0152678053843176,0.0093471939344358,0.0031305772433491,0.0145616654622047,0.0111330113911865,5,-0.0113434516483881,False,False,False,intermediate,0.002000414624891,-0.000108877888194,0.009543112007794025,20,0.47957822726667976,0.7052523945452354,0.044596725434010165,0.2927084281304506,0.21145898224560036,-0.0,0.21145898224560036,3,0.5160801908111001,0.08333333333333333,0.9917573976609195,4,0.0023727971334747667,3.25,7.0,-0.0181191983168937,-0.0058596131002389,-0.0009056639227433,0.0059828438090020674,0.005261890374518093
