metric,survivor_mean,collapsed_mean,survivor_minus_collapsed,cohen_d_survivor_vs_collapsed,n_survivor,n_collapsed
event_count,20.5,19.0,1.5,0.39241864817725264,4,16
mean_abs_rstar,0.6936104487358754,0.6996448816196029,-0.006034432883727514,-0.03222429566524462,4,16
q75_abs_rstar,0.8287349413635416,0.9293243006007376,-0.10058935923719592,-0.5602678992066805,4,16
mean_receiver_asymmetry,0.03402284829502006,0.041483799371573905,-0.007460951076553847,-0.1590202151784519,4,16
mean_receiver_total,0.3963662794153924,0.33346445478912046,0.06290182462627192,1.1379619603001885,4,16
mean_standpoint_separation,0.27873754815505813,0.26179995241171583,0.016937595743342304,0.32767249223263323,4,16
mean_magnitude_balance,0.0,0.0,0.0,,4,16
mean_magnitude_total,0.27873754815505813,0.26179995241171583,0.016937595743342304,0.32767249223263323,4,16
selected_b74b_event_count,6.5,4.25,2.25,1.094994592632647,4,16
selected_b74b_mean_strength,1.185614786449102,1.3354982088127627,-0.1498834223636607,-0.24461246398707698,4,16
selected_b74b_phase_coverage,0.16666666666666666,0.14583333333333331,0.020833333333333343,0.6123724356957949,4,16
selected_b74b_phase_concentration,0.9941191348950588,0.9939462801137453,0.00017285478131345844,0.02789358864200841,4,16
c12_mean,0.0046614604669604496,-0.0040430924322452455,0.008704552899205695,3.3174665937031245,4,13
n_positive_specificity_controls,7.5,1.6875,5.8125,3.4723415923305985,4,16
min_specificity_margin,0.00022668647397205003,-0.012579638113708186,0.012806324587680235,2.6225273547751358,4,13
side_correspondence_margin,0.0048308163737205,-0.004312040007650036,0.009142856381370535,2.538146677211925,4,13
ring_orientation_margin,0.004756731210078625,-0.001955616338266461,0.006712347548345086,1.1673860836321113,4,13
twelvefold_neighbor_margin,0.00391754147098345,-0.003744672145624196,0.007662213616607646,1.7731193706701305,4,13
b74c_mean_c12,0.0003592695629640425,-0.0009715330270211043,0.001330802589985147,0.1906784927873271,4,16
b74c_mean_positive_controls,3.5,2.9656249999999997,0.5343750000000003,0.4323024156944936,4,16
b74c_mean_min_margin,-0.007308001467569275,-0.010930870950917108,0.003622869483347833,0.4846687926362097,4,16
b74c_mean_side_margin,0.0007674963979184623,-0.0006290584943211839,0.0013965548922396463,0.20249739951967563,4,16
b74c_mean_orientation_margin,-0.0020064294321057875,-0.00016730190549009335,-0.001839127526615694,-0.21373164029635672,4,16
b74c_mean_neighbor_margin,0.0004566466283753395,-0.001215712343974929,0.0016723589723502685,0.20114569864153406,4,16
