heldout_label,fold_index,mod12_position,mod12_complement_to_12,mod24_position,prime_factors,has_factor_3,has_factor_5,has_factor_7,additive_order_mod12,additive_order_mod24,cyclotomic_recognized_marker,x3_interaction_marker,complement_direction_marker,full_mod12_generator,high_order_mod24_generator,group_completion_proxy,any_arithmetic_marker
P1,1,1,11,1,1,False,False,False,12,24,False,False,False,True,True,True,True
P10,10,10,2,10,2x5,False,True,False,6,12,True,False,False,False,True,True,True
P11,11,11,1,11,11,False,False,False,12,24,False,False,False,True,True,True,True
P12,12,0,0,12,2x2x3,True,False,False,1,2,False,False,False,False,False,False,False
P13,13,1,11,13,13,False,False,False,12,24,False,False,False,True,True,True,True
P14,14,2,10,14,2x7,False,False,True,6,12,False,False,True,False,True,True,True
P15,15,3,9,15,3x5,True,True,False,4,8,False,True,True,False,False,True,True
P16,16,4,8,16,2x2x2x2,False,False,False,3,3,False,False,False,False,False,False,False
P17,17,5,7,17,17,False,False,False,12,24,False,False,True,True,True,True,True
P18,18,6,6,18,2x3x3,True,False,False,2,4,False,False,False,False,False,False,False
P19,19,7,5,19,19,False,False,False,12,24,False,False,False,True,True,True,True
P2,2,2,10,2,2,False,False,False,6,12,False,False,False,False,True,True,True
P20,20,8,4,20,2x2x5,False,True,False,3,6,False,False,False,False,False,False,False
P21,21,9,3,21,3x7,True,False,True,4,8,False,True,True,False,False,True,True
P22,22,10,2,22,2x11,False,False,False,6,12,False,False,False,False,True,True,True
P23,23,11,1,23,23,False,False,False,12,24,False,False,False,True,True,True,True
P24,24,0,0,0,2x2x2x3,True,False,False,1,1,False,False,False,False,False,False,False
P25,25,1,11,1,5x5,False,True,False,12,24,False,False,False,True,True,True,True
P26,26,2,10,2,2x13,False,False,False,6,12,False,False,False,False,True,True,True
P3,3,3,9,3,3,True,False,False,4,8,False,False,False,False,False,False,False
P4,4,4,8,4,2x2,False,False,False,3,6,False,False,False,False,False,False,False
P5,5,5,7,5,5,False,True,False,12,24,True,False,True,True,True,True,True
P6,6,6,6,6,2x3,True,False,False,2,4,False,False,False,False,False,False,False
P7,7,7,5,7,7,False,False,True,12,24,False,False,True,True,True,True,True
P8,8,8,4,8,2x2x2,False,False,False,3,3,False,False,False,False,False,False,False
P9,9,9,3,9,3x3,True,False,False,4,8,False,False,False,False,False,False,False
