subset_labels,is_registered_survivor_set,mean_c12,mean_positive_specificity_controls,mean_min_specificity_margin,mean_side_correspondence_margin,mean_ring_orientation_margin,mean_twelvefold_neighbor_margin,cyclotomic_marker_rate,x3_marker_rate,complement_direction_marker_rate,group_completion_proxy_rate,joint_arithmetic_score,joint_readout_arithmetic_score
P1|P10|P11|P12,False,-0.0019097155082554,4.75,-0.009703447503611767,0.0016628344700821331,-0.0027122818699583003,0.0045951644392091,0.25,0.0,0.0,0.75,0.25,0.3558634580951845
P1|P10|P11|P13,False,-0.0029591497730596665,3.5,-0.006964621706157567,0.000632334494347,-0.0054435720646745,0.0025764427573925002,0.25,0.0,0.0,1.0,0.3125,0.4033707414677039
P1|P10|P11|P14,False,-0.0025519439250797,3.5,-0.008031759689701767,-7.999692421366625e-06,-0.0015298618308425,0.002734683547037767,0.25,0.0,0.25,1.0,0.375,0.6256473295938125
P1|P10|P11|P15,False,8.637985358646656e-05,5.0,-0.0048057662879666665,0.0029104514824883666,-0.0022829028676614,0.005265586161662967,0.25,0.25,0.25,1.0,0.4375,1.4059395413616143
P1|P10|P11|P16,False,-0.002001602793679367,3.5,-0.006531296436756867,0.0015196679059177667,-0.003627127722230533,0.0038509596209696,0.25,0.0,0.0,0.75,0.25,0.2830934513256216
P1|P10|P11|P17,False,-0.0026744709948294336,3.5,-0.010042834421027434,0.0003002731033609999,-0.0015677734240892333,0.0011814780909705335,0.25,0.0,0.25,1.0,0.375,0.5251957653021682
P1|P10|P11|P18,False,0.0015970986881337667,4.5,-0.008413313222864167,0.002615501167890067,-0.0031474056613164,0.007412298961945567,0.25,0.0,0.0,0.75,0.25,0.6485096983473502
P1|P10|P11|P19,False,0.00015550098663329992,4.75,-0.005660538413670267,0.0047126590440483,-0.0021019513472875,0.004445367281851567,0.25,0.0,0.0,1.0,0.3125,0.9009000820071966
P1|P2|P10|P11,False,-0.0021753260742243667,3.5,-0.0085506937629094,-0.0017976921812910666,-0.0039441606523128335,0.0027122402687756,0.25,0.0,0.0,1.0,0.3125,0.31147599675981497
P1|P10|P11|P20,False,-0.0009591347402313001,4.75,-0.0053112505857305,0.0016598139668097332,-0.0016755678613938,0.004409827275913167,0.25,0.0,0.0,0.75,0.25,0.4991658047221915
P1|P10|P11|P21,False,0.0006286730012330998,5.0,-0.004706595939480367,0.0040582067204809336,-0.0007424720701645999,0.0051904974905986,0.25,0.25,0.25,1.0,0.4375,1.4707295801842237
P1|P10|P11|P22,False,-0.0008106848591835,4.25,-0.012939740384242499,0.0020654500413317665,-0.0045333152891548,0.005274913505315701,0.25,0.0,0.0,1.0,0.3125,0.5632710330937638
P1|P10|P11|P23,False,-0.0028132001907765,3.5,-0.008645892953575334,-0.0015243157077620667,-0.0024724701511366666,0.0024694486663284668,0.25,0.0,0.0,1.0,0.3125,0.2837464874774046
P1|P10|P11|P24,False,-0.0005540407031385334,4.75,-0.0051255698278999005,0.0031031261034655,-0.0002289376436676998,0.004528287622646467,0.25,0.0,0.0,0.75,0.25,0.5783045567847996
P1|P10|P11|P25,False,-0.0010516640508674826,4.25,-0.0060309975038469335,0.0024703895200672665,-0.004355909266668134,0.005077259305936901,0.25,0.0,0.0,1.0,0.3125,0.734663998718392
P1|P10|P11|P26,False,-0.0016493579865657334,3.5,-0.008873806562043235,0.0007330654777834332,-0.0020466748539628,0.0014668029870993336,0.25,0.0,0.0,1.0,0.3125,0.37369351136980133
P1|P3|P10|P11,False,-0.0011982410632890668,4.0,-0.007669446835305834,0.0023761796406936665,-0.004902466853180034,0.0042814118631969,0.25,0.0,0.0,0.75,0.25,0.3818085821568134
P1|P4|P10|P11,False,-0.0011231252465492335,3.5,-0.0062640426723627,0.0008064932074162999,-0.0031749753306119003,0.0040329021392584005,0.25,0.0,0.0,0.75,0.25,0.30676808656242377
P1|P5|P10|P11,False,0.0009246498625699,5.25,-0.004403263086793233,0.0036571184183215332,-0.00028704180382296655,0.005416558562395667,0.5,0.0,0.25,1.0,0.4375,1.5073854433985443
P1|P6|P10|P11,False,-0.004653669113217434,3.5,-0.012112825145141268,-0.0009656296211507336,-0.008403992854178801,0.0009344368203603003,0.25,0.0,0.0,0.75,0.25,-0.16516756465329774
P1|P7|P10|P11,False,-0.0021009162190516336,4.25,-0.0117535009522265,0.0006763421811799333,-0.0025498372837470334,0.0015255253458833003,0.25,0.0,0.25,1.0,0.375,0.6023602078868224
P1|P8|P10|P11,False,-0.00159281031293635,3.25,-0.0069482440101022004,0.0029230444393896,-0.0046666695478776,0.00634689243902135,0.25,0.0,0.0,0.75,0.25,0.26810572714077713
P1|P9|P10|P11,False,-0.00159281031293635,3.25,-0.0069482440101022004,0.0029230444393896,-0.0046666695478776,0.00634689243902135,0.25,0.0,0.0,0.75,0.25,0.26810572714077713
P1|P10|P12|P13,False,-0.0028552438045181252,5.0,-0.009026929902275901,0.0002598545036270499,-0.0037835556770358,0.0022052591779405254,0.25,0.0,0.0,0.75,0.25,0.24112847242211122
P1|P10|P12|P14,False,-0.00254983941853315,5.0,-0.00982728338993405,-0.00022039613644922506,-0.0008482730016618001,0.002323939770174475,0.25,0.0,0.25,0.75,0.3125,0.46340506054821984
P1|P10|P12|P15,False,-0.0005710965845335251,6.5,-0.007407788338632725,0.001968442244733075,-0.0014130537792759752,0.004222116731143375,0.25,0.25,0.25,0.75,0.375,1.2436972723160216
P1|P10|P12|P16,False,-0.0021370835699829,5.0,-0.008701935950225375,0.0009253545623051249,-0.002421222420202825,0.00316114682562335,0.25,0.0,0.0,0.5,0.1875,0.12085118228002889
P1|P10|P12|P17,False,-0.00264173472084545,5.0,-0.0113355894384283,1.080846038754987e-05,-0.0008767066965968502,0.00115903567812405,0.25,0.0,0.25,0.75,0.3125,0.36295349625657547
P1|P10|P12|P18,False,0.00056194254137695,6.0,-0.01011344853980585,0.0017472295087843498,-0.002061430874517225,0.005832151331355325,0.25,0.0,0.0,0.5,0.1875,0.4862674293017574
P1|P10|P12|P19,False,-0.0005192557347484001,6.25,-0.008048867432910426,0.003320097915903025,-0.0012773401389955502,0.003606952571284825,0.25,0.0,0.0,0.75,0.25,0.7386578129616039
P1|P2|P10|P12,False,-0.00226737603039165,5.0,-0.010216483944839776,-0.0015626655031015,-0.00265899711776455,0.00230710731147785,0.25,0.0,0.0,0.75,0.25,0.14923372771422228
P1|P10|P12|P20,False,-0.00135523252989685,6.25,-0.007786901561955601,0.0010304641079740997,-0.0009575525245752751,0.0035802975668310253,0.25,0.0,0.0,0.5,0.1875,0.33692353567659883
P1|P10|P12|P21,False,-0.0001643767237985501,6.5,-0.007333410577268,0.0028292586732275,-0.0002577306811533751,0.0041658002278451,0.25,0.25,0.25,0.75,0.375,1.308487311138631
P1|P10|P12|P22,False,-0.001243895119111,5.75,-0.0135082689108396,0.0013346911638656249,-0.003100863095396025,0.004229112238882925,0.25,0.0,0.0,0.75,0.25,0.4010287640481711
