metric,observed_registered_subset,all_subset_mean,all_subset_sd,percentile_ge,rank_descending,n_subsets
mean_c12,0.0046614604669604496,-0.0008551917405248457,0.0023006759073040464,0.9929765886287626,106,14950
mean_positive_specificity_controls,7.5,3.3846153846153846,1.2617729613195712,1.0,1,14950
mean_min_specificity_margin,0.00022668647397205003,-0.009117123968515417,0.0038235228066857566,0.9988628762541806,18,14950
mean_side_correspondence_margin,0.004830816373720475,-0.0009534334063654609,0.0026042521025622604,0.9908361204013378,138,14950
mean_ring_orientation_margin,0.004756731210078625,6.411677430072625e-05,0.0029592566022078213,0.9610702341137124,583,14950
mean_twelvefold_neighbor_margin,0.0039175414709834,-0.0006838878007221218,0.002658175479639442,0.960200668896321,596,14950
cyclotomic_marker_rate,0.5,0.07692307692307693,0.12498520622516862,1.0,1,14950
x3_marker_rate,0.5,0.07692307692307693,0.12498520622516861,1.0,1,14950
complement_direction_marker_rate,0.75,0.23076923076923078,0.19761896274869428,0.9989966555183947,16,14950
group_completion_proxy_rate,1.0,0.6153846153846154,0.22819072267986654,1.0,1,14950
joint_arithmetic_score,0.6875,0.25,0.11726039399558574,1.0,1,14950
joint_readout_arithmetic_score,3.260368150383132,7.604470750609768e-18,0.7523077434456736,1.0,1,14950
