source,representation_or_proxy,arm_family,metric,value,nearest_fraction,abs_error_to_fraction,is_luke_target_fraction,has_numerator_gt_1
B7.4g_proxy_support,registered_survivor_set,broad_or_survivor_arithmetic_proxy,precision_vs_registered,1.0,1/1,0.0,False,False
B7.4g_proxy_support,registered_survivor_set,broad_or_survivor_arithmetic_proxy,recall_vs_registered,1.0,1/1,0.0,False,False
B7.4g_proxy_support,registered_survivor_set,broad_or_survivor_arithmetic_proxy,jaccard_vs_registered,1.0,1/1,0.0,False,False
B7.4g_proxy_support,registered_survivor_set,broad_or_survivor_arithmetic_proxy,weight_on_registered_fraction,1.0,1/1,0.0,False,False
B7.4g_proxy_support,cyclotomic_component,broad_or_survivor_arithmetic_proxy,precision_vs_registered,1.0,1/1,0.0,False,False
B7.4g_proxy_support,cyclotomic_component,broad_or_survivor_arithmetic_proxy,recall_vs_registered,0.5,1/2,0.0,True,False
B7.4g_proxy_support,cyclotomic_component,broad_or_survivor_arithmetic_proxy,jaccard_vs_registered,0.5,1/2,0.0,True,False
B7.4g_proxy_support,cyclotomic_component,broad_or_survivor_arithmetic_proxy,weight_on_registered_fraction,1.0,1/1,0.0,False,False
B7.4g_proxy_support,x3_interaction_component,broad_or_survivor_arithmetic_proxy,precision_vs_registered,1.0,1/1,0.0,False,False
B7.4g_proxy_support,x3_interaction_component,broad_or_survivor_arithmetic_proxy,recall_vs_registered,0.5,1/2,0.0,True,False
B7.4g_proxy_support,x3_interaction_component,broad_or_survivor_arithmetic_proxy,jaccard_vs_registered,0.5,1/2,0.0,True,False
B7.4g_proxy_support,x3_interaction_component,broad_or_survivor_arithmetic_proxy,weight_on_registered_fraction,1.0,1/1,0.0,False,False
B7.4g_proxy_support,complement_direction_component,broad_or_survivor_arithmetic_proxy,precision_vs_registered,0.5,1/2,0.0,True,False
B7.4g_proxy_support,complement_direction_component,broad_or_survivor_arithmetic_proxy,recall_vs_registered,0.75,3/4,0.0,False,True
B7.4g_proxy_support,complement_direction_component,broad_or_survivor_arithmetic_proxy,jaccard_vs_registered,0.4285714285714285,3/7,5.551115123125783e-17,False,True
B7.4g_proxy_support,complement_direction_component,broad_or_survivor_arithmetic_proxy,weight_on_registered_fraction,0.5,1/2,0.0,True,False
B7.4g_proxy_support,cyclotomic_plus_x3_decomposition,broad_or_survivor_arithmetic_proxy,precision_vs_registered,1.0,1/1,0.0,False,False
B7.4g_proxy_support,cyclotomic_plus_x3_decomposition,broad_or_survivor_arithmetic_proxy,recall_vs_registered,1.0,1/1,0.0,False,False
B7.4g_proxy_support,cyclotomic_plus_x3_decomposition,broad_or_survivor_arithmetic_proxy,jaccard_vs_registered,1.0,1/1,0.0,False,False
B7.4g_proxy_support,cyclotomic_plus_x3_decomposition,broad_or_survivor_arithmetic_proxy,weight_on_registered_fraction,1.0,1/1,0.0,False,False
B7.4g_proxy_support,broad_group_completion_proxy,broad_or_survivor_arithmetic_proxy,precision_vs_registered,0.25,1/4,0.0,True,False
B7.4g_proxy_support,broad_group_completion_proxy,broad_or_survivor_arithmetic_proxy,recall_vs_registered,1.0,1/1,0.0,False,False
B7.4g_proxy_support,broad_group_completion_proxy,broad_or_survivor_arithmetic_proxy,jaccard_vs_registered,0.25,1/4,0.0,True,False
B7.4g_proxy_support,broad_group_completion_proxy,broad_or_survivor_arithmetic_proxy,weight_on_registered_fraction,0.25,1/4,0.0,True,False
B7.4g_proxy_support,arithmetic_completion_composite,broad_or_survivor_arithmetic_proxy,precision_vs_registered,0.25,1/4,0.0,True,False
B7.4g_proxy_support,arithmetic_completion_composite,broad_or_survivor_arithmetic_proxy,recall_vs_registered,1.0,1/1,0.0,False,False
B7.4g_proxy_support,arithmetic_completion_composite,broad_or_survivor_arithmetic_proxy,jaccard_vs_registered,0.25,1/4,0.0,True,False
B7.4g_proxy_support,arithmetic_completion_composite,broad_or_survivor_arithmetic_proxy,weight_on_registered_fraction,0.4230769230769231,3/7,0.005494505494505475,False,True
B7.4g_proxy_support,collapsed_arithmetic_control,broad_or_survivor_arithmetic_proxy,precision_vs_registered,0.0,0/1,0.0,False,False
B7.4g_proxy_support,collapsed_arithmetic_control,broad_or_survivor_arithmetic_proxy,recall_vs_registered,0.0,0/1,0.0,False,False
