representation,arm_family,c12_readout,no_topology_readout,effect_vs_no_topology,n_positive_specificity_controls,min_specificity_margin,effect_vs_c12_reversed,effect_vs_c12_side_broken,effect_vs_c12_shuffled,effect_vs_c10,effect_vs_c11,effect_vs_c13,effect_vs_c14,n_events,survivor_event_fraction,survivor_strength_fraction,top4_labels_by_event_strength,top4_survivor_overlap,top4_precision_vs_registered,top4_recall_vs_registered,top4_jaccard_vs_registered,top4_matches_cyclotomic_x3
self_consistent_rstar_condition,self_consistent_condition,0.028791506059315693,0.023158187510329793,0.0056333185489859,7,0.0003553498378890928,0.0003553498378890928,0.026764822406913344,0.030546128962762688,0.03369449626032552,0.03728060619769337,0.02839927301493907,0.0318863495692111,132,0.1590909090909091,0.17461867504757617,P10|P13|P20|P25,1,0.25,0.25,0.14285714285714285,False
reverse_c_to_ab_condition,reverse_only_condition,0.03261690116792293,0.027143162502239148,0.005473738665683781,7,0.001173597167001425,0.001173597167001425,0.023445294295395033,0.028218052313857815,0.037214814921786424,0.039693986622896145,0.03533385693371305,0.03561636650235104,132,0.1590909090909091,0.1685045237897222,P13|P20|P24|P25,0,0.0,0.0,0.0,False
self_consistent_min_condition,self_consistent_condition,0.030887930675439077,0.025508469137712843,0.005379461537726234,7,4.870425270915579e-05,4.870425270915579e-05,0.025636974288814292,0.028702799480448443,0.03626694027085516,0.038591965253937016,0.03179248925140318,0.03140846114914018,132,0.1590909090909091,0.17754227946863166,P3|P10|P13|P25,1,0.25,0.25,0.14285714285714285,False
receiver_standpoint_relation,receiver_standpoint_relation_only,0.028771711558939143,0.025328423870445295,0.0034432876884938485,7,0.0017571686749875762,0.0017571686749875762,0.021740101511944335,0.02098501581562013,0.03253016238021752,0.03469656424431128,0.031713478806356554,0.03137162865883004,132,0.1590909090909091,0.17545789815710283,P3|P10|P13|P25,1,0.25,0.25,0.14285714285714285,False
forward_ab_to_c_condition,forward_only_condition,0.02606726749617482,0.02275931961029616,0.0033079478858786607,7,0.0001727046234639186,0.0001727046234639186,0.02293356749934756,0.029459446493884354,0.03096453758958129,0.032789042401654554,0.02714249995395821,0.029695093571811687,132,0.1590909090909091,0.1823286829817214,P3|P10|P13|P25,1,0.25,0.25,0.14285714285714285,False
receiver_only_relation,receiver_standpoint_relation_only,0.03152685322810395,0.029153331688720287,0.002373521539383666,7,0.0010683466767296458,0.0010683466767296458,0.028893380705278783,0.012939178861103656,0.03728708142231679,0.038053294247168634,0.03813090912877419,0.03636554214363767,132,0.1590909090909091,0.18844096424910803,P3|P10|P13|P25,1,0.25,0.25,0.14285714285714285,False
endpoint_lag_gap_relation,endpoint_direct_relation_only,0.02702796151942974,0.024842808781751637,0.002185152737678102,7,0.002501872508732711,0.002501872508732711,0.028427312003948088,0.023463749024963287,0.03164213083031581,0.03343594315312493,0.029002088755840427,0.02775524920921433,131,0.16030534351145037,0.1925847384086233,P4|P10|P20|P24,1,0.25,0.25,0.14285714285714285,False
endpoint_product_relation,endpoint_direct_relation_only,0.029792971830253066,0.02847286626225502,0.0013201055679980464,7,0.0007023252394856919,0.0007023252394856919,0.02352162888406688,0.01852691314322143,0.0336076021636887,0.037812116847284485,0.032726170784745635,0.03378403592287327,131,0.16030534351145037,0.07148929923287789,P7|P8|P16|P24,0,0.0,0.0,0.0,False
self_consistent_product_condition,self_consistent_condition,0.018196656264838913,0.01720639746366407,0.0009902588011748426,7,5.451102115101858e-05,5.451102115101858e-05,0.016369305553153947,0.019090219001760368,0.026130461979116837,0.023656533572034233,0.022423165269766437,0.020246066815157924,132,0.1590909090909091,0.19787656875457485,P10|P12|P13|P25,1,0.25,0.25,0.14285714285714285,False
scalar_c,scalar_mediator_control,0.01861172307079414,0.018018136606204545,0.0005935864645895961,7,0.00022376606316358225,0.00022376606316358225,0.021283448353025654,0.020390386664631444,0.02374132701604304,0.027325511643954973,0.02247808217697879,0.022122537959869876,134,0.16417910447761194,0.15480117207124816,P4|P13|P14|P16,0,0.0,0.0,0.0,False
endpoint_abs_relation,endpoint_direct_relation_only,0.029091987961482543,0.02880745346998974,0.00028453449149280427,7,0.0006796068595662265,0.0006796068595662265,0.025922639342194048,0.015899905295703395,0.03173526392828943,0.03412244098904227,0.03297109896769072,0.031010514259679486,131,0.16030534351145037,0.09124819492930245,P7|P8|P16|P24,0,0.0,0.0,0.0,False
standpoint_only_relation,receiver_standpoint_relation_only,0.02600981104067018,0.022628819199661372,0.0033809918410088076,6,-0.0004962615728200531,-0.0004962615728200531,0.023739261775139697,0.02169919099525713,0.032176940579794616,0.03336818477966291,0.026087758382609558,0.02699367206211876,132,0.1590909090909091,0.17323897749676823,P10|P13|P20|P25,1,0.25,0.25,0.14285714285714285,False
