source,representation_arm,topology_arm,metric,value,nearest_target_fraction,abs_error_to_target,is_close_to_target,top4_labels_by_event_strength,resonance_tags
representation_event_localization,reverse_plus_receiver_ab,representation_events,top4_precision_vs_registered,0.25,1/4,0.0,True,P3|P10|P13|P25,5_or_10_ring_proxy
representation_event_localization,reverse_plus_receiver_ab,representation_events,top4_recall_vs_registered,0.25,1/4,0.0,True,P3|P10|P13|P25,5_or_10_ring_proxy
representation_event_localization,reverse_plus_standpoint_ab,representation_events,top4_precision_vs_registered,0.25,1/4,0.0,True,P10|P13|P20|P25,5_or_10_ring_proxy
representation_event_localization,reverse_plus_standpoint_ab,representation_events,top4_recall_vs_registered,0.25,1/4,0.0,True,P10|P13|P20|P25,5_or_10_ring_proxy
representation_event_localization,reverse_plus_magnitude_ab,representation_events,top4_precision_vs_registered,0.25,1/4,0.0,True,P10|P13|P20|P25,5_or_10_ring_proxy
representation_event_localization,reverse_plus_magnitude_ab,representation_events,top4_recall_vs_registered,0.25,1/4,0.0,True,P10|P13|P20|P25,5_or_10_ring_proxy
representation_event_localization,reverse_plus_receiver_standpoint_ab,representation_events,top4_precision_vs_registered,0.25,1/4,0.0,True,P3|P10|P13|P25,5_or_10_ring_proxy
representation_event_localization,reverse_plus_receiver_standpoint_ab,representation_events,top4_recall_vs_registered,0.25,1/4,0.0,True,P3|P10|P13|P25,5_or_10_ring_proxy
representation_event_localization,reverse_plus_receiver_magnitude_ab,representation_events,top4_precision_vs_registered,0.25,1/4,0.0,True,P3|P10|P13|P25,5_or_10_ring_proxy
representation_event_localization,reverse_plus_receiver_magnitude_ab,representation_events,top4_recall_vs_registered,0.25,1/4,0.0,True,P3|P10|P13|P25,5_or_10_ring_proxy
representation_event_localization,reverse_plus_standpoint_magnitude_ab,representation_events,top4_precision_vs_registered,0.25,1/4,0.0,True,P10|P13|P20|P25,5_or_10_ring_proxy
representation_event_localization,reverse_plus_standpoint_magnitude_ab,representation_events,top4_recall_vs_registered,0.25,1/4,0.0,True,P10|P13|P20|P25,5_or_10_ring_proxy
representation_event_localization,reverse_plus_receiver_standpoint_magnitude_ab,representation_events,top4_precision_vs_registered,0.25,1/4,0.0,True,P10|P13|P20|P25,5_or_10_ring_proxy
representation_event_localization,reverse_plus_receiver_standpoint_magnitude_ab,representation_events,top4_recall_vs_registered,0.25,1/4,0.0,True,P10|P13|P20|P25,5_or_10_ring_proxy
representation_event_localization,full_self_consistent_rstar,representation_events,top4_precision_vs_registered,0.25,1/4,0.0,True,P10|P13|P20|P25,5_or_10_ring_proxy
representation_event_localization,full_self_consistent_rstar,representation_events,top4_recall_vs_registered,0.25,1/4,0.0,True,P10|P13|P20|P25,5_or_10_ring_proxy
topology_increment_vs_reverse_scaled,reverse_plus_receiver_magnitude_ab,ring_edge_swapped_c12_1_5,abs_increment_over_reverse_fraction,0.24519597845497207,1/4,0.004804021545027931,True,,5_or_10_ring_proxy|ring_edge_swapped
topology_increment_vs_reverse_scaled,reverse_plus_magnitude_ab,c11,abs_increment_over_reverse_fraction,0.24455188079072931,1/4,0.005448119209270685,True,,11mod12_reflective_proxy
topology_increment_vs_reverse_scaled,reverse_plus_magnitude_ab,c10,abs_increment_over_reverse_fraction,0.24437993578166037,1/4,0.005620064218339632,True,,5_or_10_ring_proxy
topology_increment_vs_reverse_scaled,reverse_plus_magnitude_ab,c14,abs_increment_over_reverse_fraction,0.24381626197224074,1/4,0.006183738027759261,True,,unassigned
topology_increment_vs_reverse_scaled,reverse_plus_standpoint_magnitude_ab,c10,abs_increment_over_reverse_fraction,0.25748749768178464,1/4,0.007487497681784638,True,,5_or_10_ring_proxy
topology_increment_vs_reverse_scaled,reverse_plus_receiver_magnitude_ab,c12_reversed,abs_increment_over_reverse_fraction,0.18329629195405947,2/11,0.0014781101358776472,True,,unassigned
topology_increment_vs_reverse_scaled,reverse_plus_receiver_standpoint_ab,ring_share_c12_plus_10,abs_increment_over_reverse_fraction,0.1837968193174328,2/11,0.001978637499250979,True,,5_or_10_ring_proxy|ring_sharing
representation_event_localization,reverse_plus_receiver_ab,representation_events,survivor_strength_fraction,0.1842883634733125,2/11,0.0024701816551306877,True,P3|P10|P13|P25,5_or_10_ring_proxy
survivor_strength_fraction_increment_arm,reverse_plus_receiver_ab,representation_events,survivor_strength_fraction,0.1842883634733125,2/11,0.0024701816551306877,True,,survivor_strength
topology_increment_vs_reverse_scaled,reverse_plus_receiver_standpoint_ab,ring_edge_swapped_c12_1_5,abs_increment_over_reverse_fraction,0.18442060042183933,2/11,0.002602418603657508,True,,5_or_10_ring_proxy|ring_edge_swapped
representation_event_localization,reverse_plus_receiver_standpoint_ab,representation_events,survivor_strength_fraction,0.1776584420665357,2/11,0.00415973975164613,True,P3|P10|P13|P25,5_or_10_ring_proxy
representation_event_localization,reverse_plus_receiver_magnitude_ab,representation_events,survivor_strength_fraction,0.1776584420665357,2/11,0.00415973975164613,True,P3|P10|P13|P25,5_or_10_ring_proxy
survivor_strength_fraction_increment_arm,reverse_plus_receiver_standpoint_ab,representation_events,survivor_strength_fraction,0.1776584420665357,2/11,0.00415973975164613,True,,survivor_strength
survivor_strength_fraction_increment_arm,reverse_plus_receiver_magnitude_ab,representation_events,survivor_strength_fraction,0.1776584420665357,2/11,0.00415973975164613,True,,survivor_strength
topology_increment_vs_reverse_scaled,full_self_consistent_rstar,c10,abs_increment_over_reverse_fraction,0.17714700311746287,2/11,0.004671178700718953,True,,5_or_10_ring_proxy
topology_increment_vs_reverse_scaled,reverse_plus_standpoint_ab,c11,abs_increment_over_reverse_fraction,0.17646185108434587,2/11,0.005356330733835957,True,,11mod12_reflective_proxy
representation_event_localization,reverse_plus_receiver_standpoint_magnitude_ab,representation_events,survivor_strength_fraction,0.176072329836919,2/11,0.005745851981262817,True,P10|P13|P20|P25,5_or_10_ring_proxy
survivor_strength_fraction_increment_arm,reverse_plus_receiver_standpoint_magnitude_ab,representation_events,survivor_strength_fraction,0.176072329836919,2/11,0.005745851981262817,True,,survivor_strength
topology_increment_vs_reverse_scaled,reverse_plus_endpoint_direct_ab,ring_edge_swapped_c12_1_7,abs_increment_over_reverse_fraction,0.17585595150791877,2/11,0.00596223031026305,True,,x3_or_7mod12_proxy|ring_edge_swapped
