event_class,label,task_idx,phase,strength,event_rule
reverse_only_c_to_ab,P1,42.0,-0.1482350940017722,1.0474362244960782,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P1,114.0,-0.2217513832224785,0.8384403395422153,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P1,145.0,-0.1070763984884325,0.049879777669184756,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P1,218.0,0.0826799849791917,0.00856363868701777,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P1,330.0,-0.0880205138140065,1.6114736843971402,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P1,347.0,0.0783333981054355,0.007912879904711562,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P1,394.0,-0.2395561751530914,0.050089740436302925,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P10,56.0,0.2951533867861125,0.6409032116916379,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P10,175.0,0.1693792155442748,0.8308405317463048,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P10,252.0,-0.1007655179833738,0.23333150608270828,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P10,299.0,0.3142150404850233,5.220505687176307,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P10,321.0,-0.0193354472317494,0.48832145500609425,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P11,103.0,0.0789594950236299,0.48457353443328127,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P11,120.0,-0.0423865336243367,0.23026596174305833,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P11,181.0,0.0812688243422559,0.1788381863712611,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P11,324.0,0.0113287440707904,0.03872301031086072,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P11,376.0,-0.0044410084672644,0.3170011292667787,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P12,59.0,-0.0088072614204127,3.079446306920738,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P12,118.0,-0.178570284908886,2.225513398147105,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P12,231.0,-0.0686033034815776,1.2910851167247852,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P13,47.0,0.0170060096906269,2.264193100692287,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P13,72.0,-0.1264123549288479,2.610534370275269,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P13,149.0,-0.0108490153218033,5.2936120543969984,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P13,201.0,-0.070850685957047,1.4301205897771332,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P13,205.0,0.0562153659403958,0.7150294001258177,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P13,366.0,0.0451449911519586,0.922667491428949,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P14,120.0,-0.0215460235450988,2.196490104138139,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P14,192.0,0.2159188369000291,0.260153341617615,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P14,210.0,-0.0014434899888829,0.9837625192586017,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P14,271.0,-0.0124146448131234,0.32575542475346814,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P14,320.0,0.5273491264238753,0.13933954379937838,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P15,10.0,-0.0626818956465119,1.2472779632534294,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P15,83.0,0.0800340077500219,0.45148384807274217,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P15,262.0,4.976144330542942e-05,1.9313779830804167,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P15,297.0,-0.1550598226022232,1.0669302060607253,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P15,369.0,-0.1735987290385655,0.18122280419974404,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P15,380.0,0.0090359155703948,0.8549143569077093,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P16,53.0,-0.1054766243174165,0.17219779814651104,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P16,101.0,0.0502723110309077,0.1363144268424244,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P16,220.0,-0.3412909435505243,0.6449030639259309,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P16,244.0,0.0097632602522324,1.3337585668918994,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P16,298.0,0.0875035867447697,2.875724341989171,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P16,392.0,-0.1702613904936502,0.07348087674133252,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P17,183.0,-0.0160513421534377,2.0300697272763406,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P17,201.0,0.0614723243208825,1.826635730891095,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P17,222.0,-0.0382532559896015,0.34416685705135414,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P17,226.0,0.0199916141762651,1.0859633280202317,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P17,241.0,-0.0266239332603878,0.9520734204913828,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P18,12.0,0.0810759508652602,0.24984560139145182,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P18,93.0,-0.0813188579380793,0.026835027901844274,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P18,175.0,0.363735262382644,0.3911016014642576,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P18,228.0,0.1023438565143076,0.19961313891568502,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P18,321.0,0.0996757467629489,0.2822807015421249,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P19,95.0,-0.0372145670299427,0.3012566632044028,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P19,249.0,-0.2166070472298696,0.7624280618068506,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P19,351.0,0.2140158557017644,0.6155519572070454,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P19,384.0,0.189903492956658,2.459068183052073,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P19,398.0,-0.240070836706086,1.8732317893865351,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P2,106.0,-0.1221769944153266,4.701831383825657,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P2,146.0,0.0636796371990668,0.8688647070288649,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P2,173.0,-0.0693785013483995,0.6635317651833142,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P2,177.0,0.0422270737310269,0.44071328709810226,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P2,384.0,0.1691058364940951,0.772502999536956,per-label top 0.75 of reverse_only_c_to_ab
reverse_only_c_to_ab,P20,73.0,0.0763496563456038,1.6184176342985754,per-label top 0.75 of reverse_only_c_to_ab
