representation_arm,topology_arm,n_nodes,n_directed_edges,topology_notes,n_seed_events,mean_seed_strength,total_impulse_budget,mean_bounded_differentiated_recovery,sd_bounded_differentiated_recovery,effect_vs_time_shifted,effect_vs_random_event,p_vs_time_shifted_and_random,D12_D24_recovery_improvement,D12_D24_recovery_improvement_sd,D12_recovery,D12_recovery_sd,D24_recovery,D24_recovery_sd,bounded_non_runaway_score,bounded_non_runaway_score_sd,differentiated_recovery,differentiated_recovery_sd,late_window_stability,late_window_stability_sd,mean_phase_locking,mean_phase_locking_sd,n_events_evaluated,n_events_evaluated_sd,non_collapsed_differentiation_score,non_collapsed_differentiation_score_sd,post_event_readout_score,post_event_readout_score_sd
reverse_only_c_to_ab,no_topology_baseline,12,0,12 nodes with no coupling edges,132,0.08362926138580282,11.039062502925972,0.025846667298824576,0.00225879888303411,0.01507503759111681,0.001712863243896117,0.20408163265306123,0.031938993913539375,0.0031783536237153243,0.7628083153580985,0.011418392186943273,0.6724525236551067,0.014060145054689666,0.9948439021109298,0.0011069495720078316,0.025846667298824576,0.00225879888303411,0.702060938650875,0.03434260696114568,0.08299649956884164,0.016800678037465395,101.0,0.0,0.830113329040381,0.016153766527583355,0.7663817739614044,0.010754322846769387
reverse_only_c_to_ab,c12_1_2,12,48,primary Luke/D12RG normalized readout candidate,132,0.08362926138580282,11.039062502925972,0.032143316955709524,0.002664279235513554,0.017920071202219924,0.0020946934994655816,0.14285714285714285,0.03617744647042937,0.003194372143768491,0.7750994530037132,0.018085224408923146,0.6917519176113908,0.024351506304530198,0.9829911003957478,0.0025893677606057797,0.032143316955709524,0.002664279235513554,0.6395295805605762,0.09262720325514542,0.09023034220410046,0.018447251476695525,101.0,0.0,0.865656562679511,0.015462833406728212,0.7794049266849634,0.01763481526668726
reverse_only_c_to_ab,c12_reversed,12,48,"C12(1,2) with all directed arrows reversed",132,0.08362926138580282,11.039062502925972,0.03269332292159311,0.0028219741031991954,0.019095962766614336,0.007886227004701898,0.02040816326530612,0.036475577564931264,0.003795675955436518,0.7751411298961707,0.016757571223975004,0.6902261559107487,0.022788840241597372,0.9835454474003112,0.002351011136806141,0.03269332292159311,0.0028219741031991954,0.6295182319896546,0.08178838306917574,0.08685221134506492,0.02391779601729667,101.0,0.0,0.8611269360914843,0.011669904407697785,0.7778178920244586,0.016490693939595687
reverse_only_c_to_ab,c12_side_broken,12,48,degree-matched C12 side-correspondence-broken control,132,0.08362926138580282,11.039062502925972,0.006694343282218106,0.002952822030236276,0.0032737565058674413,0.0010291129753134624,0.1836734693877551,0.00935236467867499,0.004140802863132632,0.5836989175201498,0.010466607681715881,0.4962046879732383,0.013734491781527667,0.9400424035021796,0.0018692342470421099,0.006694343282218106,0.002952822030236276,0.8204721432939182,0.04105215188404692,0.1125536272456255,0.021307943314398697,101.0,0.0,0.7857390470845483,0.009632633156449575,0.5888114985613936,0.01094265244877778
reverse_only_c_to_ab,c12_shuffled,12,48,C12 capacity-preserving target-shuffled control,132,0.08362926138580282,11.039062502925972,-0.001071824696032423,0.002146819868523191,-0.0005259259636707356,-0.0023351700411752673,0.7551020408163265,-0.001547493733126468,0.0029878333174246604,0.49894438063485075,0.013124439479042526,0.4880034810654638,0.014892008900737348,0.9400100118957297,0.001850310308048481,-0.001071824696032423,0.002146819868523191,0.8285950873965074,0.03636893399439792,0.09389206916977921,0.023722368860839674,101.0,0.0,0.7561057929113569,0.016889050501030775,0.5174910337064008,0.009494744769407048
reverse_only_c_to_ab,c10,10,40,"C10(1,2) neighbouring-cycle control",132,0.08362926138580282,11.039062502925972,-0.0047149216751131455,0.002554056100401972,-0.0024773733340365893,-0.000846854284102415,0.7346938775510204,-0.005317311391019135,0.003766115237608771,0.44884777332819975,0.014165847749387422,0.49330991632082605,0.013752746994988787,0.9832793184541861,0.0026621157671032967,-0.0047149216751131455,0.002554056100401972,0.8266210343211601,0.03783600002294625,0.09353377270447444,0.020956115149399948,101.0,0.0,0.8335714504897923,0.008131512275948933,0.5012142485225745,0.011304548467825984
reverse_only_c_to_ab,c11,11,44,"C11(1,2) neighbouring-cycle control",132,0.08362926138580282,11.039062502925972,-0.008541827873365895,0.0038931131548886997,-0.005777668525834053,-0.007302265054582539,1.0,-0.009321944454353295,0.0050780801997686205,0.4121926191010457,0.015406971340809433,0.4557527734134406,0.017071426987654077,0.9827390515765245,0.0021980632739871586,-0.008541827873365895,0.0038931131548886997,0.7880599569794379,0.11363159609469248,0.09273980187814991,0.020128240167515882,101.0,0.0,0.8899783922958416,0.0073600374871198825,0.4670518117348914,0.014481174464617753
reverse_only_c_to_ab,c13,13,52,"C13(1,2) neighbouring-cycle control",132,0.08362926138580282,11.039062502925972,-0.0032008869925506515,0.0027070026238836795,-0.001308210318803339,0.002290789805625358,0.46938775510204084,-0.0032551523758997587,0.0031766063759661838,0.49639048837177907,0.013661383151202777,0.4957456854517213,0.014902870189929729,0.982954900548747,0.0020879553571815355,-0.0032008869925506515,0.0027070026238836795,0.8257530627327,0.041577451224151095,0.09156874608147512,0.02142871706437599,101.0,0.0,0.9038940559924299,0.009979515003577402,0.5124542686929817,0.010382831587717325
reverse_only_c_to_ab,c14,14,56,"C14(1,2) neighbouring-cycle control",132,0.08362926138580282,11.039062502925972,-0.0031629609047409105,0.002353055203047897,-0.00042166171407226035,-0.0013286122530522262,0.673469387755102,-0.00373440959742285,0.002976708362843961,0.4879190127303686,0.009178300777997464,0.4915711010674622,0.012668536938621059,0.9808258586065378,0.001455401222010241,-0.0031629609047409105,0.002353055203047897,0.8378463071573212,0.010811527689311916,0.09267889771027825,0.01874143171841206,101.0,0.0,0.9115642590552002,0.009370310183228165,0.5020717138146272,0.010841402222252229
reverse_only_c_to_ab,degree_matched_null,12,48,C12 node/edge-capacity matched null,132,0.08362926138580282,11.039062502925972,-0.004646630896406941,0.0019552978350337613,-0.00661386531062467,-0.001179913025316435,0.8571428571428571,-0.004749847195033348,0.0027681398191582106,0.47934668313001744,0.013780217162536988,0.45298043192483545,0.01874207565683473,0.938257159802701,0.002125236742467305,-0.004646630896406941,0.0019552978350337613,0.648284088793392,0.09421094274871993,0.12477001489104363,0.01877030159708877,101.0,0.0,0.7810718650399066,0.009811136645439518,0.5011191491263898,0.012788728135336741
