source,representation_arm,topology_arm,metric,value,nearest_target_fraction,abs_error_to_target,is_close_to_target,top4_labels_by_event_strength,resonance_tags
representation_event_localization,full_self_consistent_rstar,representation_events,top4_precision_vs_registered,0.25,1/4,0.0,True,P10|P13|P20|P25,5_or_10_ring_proxy
representation_event_localization,full_self_consistent_rstar,representation_events,top4_recall_vs_registered,0.25,1/4,0.0,True,P10|P13|P20|P25,5_or_10_ring_proxy
representation_event_localization,c_to_ab_magnitude_only,representation_events,top4_precision_vs_registered,0.25,1/4,0.0,True,P10|P13|P20|P25,5_or_10_ring_proxy
representation_event_localization,c_to_ab_magnitude_only,representation_events,top4_recall_vs_registered,0.25,1/4,0.0,True,P10|P13|P20|P25,5_or_10_ring_proxy
representation_event_localization,c_to_ab_standpoint_magnitude,representation_events,top4_precision_vs_registered,0.25,1/4,0.0,True,P10|P13|P20|P25,5_or_10_ring_proxy
representation_event_localization,c_to_ab_standpoint_magnitude,representation_events,top4_recall_vs_registered,0.25,1/4,0.0,True,P10|P13|P20|P25,5_or_10_ring_proxy
representation_event_localization,c_to_ab_standpoint_only,representation_events,top4_precision_vs_registered,0.25,1/4,0.0,True,P10|P13|P20|P25,5_or_10_ring_proxy
representation_event_localization,c_to_ab_standpoint_only,representation_events,top4_recall_vs_registered,0.25,1/4,0.0,True,P10|P13|P20|P25,5_or_10_ring_proxy
topology_deviation_from_c12_scaled,c_to_ab_receiver_standpoint_magnitude,no_topology_baseline,abs_topology_deviation_from_c12_fraction,0.1816135409825489,2/11,0.0002046408356329299,True,,unassigned
topology_deviation_from_c12_scaled,c_to_ab_magnitude_only,ring_share_c12_plus_5,abs_topology_deviation_from_c12_fraction,0.17878248472809244,2/11,0.0030356970900893843,True,,5_or_10_ring_proxy|ring_sharing
topology_deviation_from_c12_scaled,c_to_ab_magnitude_only,ring_share_c12_plus_7,abs_topology_deviation_from_c12_fraction,0.18705580095309293,2/11,0.005237619134911109,True,,x3_or_7mod12_proxy|ring_sharing
representation_event_localization,full_self_consistent_rstar,representation_events,survivor_strength_fraction,0.17461867504757617,2/11,0.007199506770605657,True,P10|P13|P20|P25,5_or_10_ring_proxy
