topology_arm,representation_arm,arm_family,run_idx,seed,differentiated_recovery
no_topology_baseline,reverse_only_c_to_ab,reverse_only_c_to_ab,0,393204537,0.02710881213724875
no_topology_baseline,reverse_only_c_to_ab,reverse_only_c_to_ab,1,1279148192,0.022818553723432812
no_topology_baseline,reverse_only_c_to_ab,reverse_only_c_to_ab,2,1088251785,0.026192232052071523
no_topology_baseline,reverse_only_c_to_ab,reverse_only_c_to_ab,3,2081188552,0.02657377670524794
no_topology_baseline,reverse_only_c_to_ab,reverse_only_c_to_ab,4,173094940,0.027586551391746986
no_topology_baseline,reverse_only_c_to_ab,reverse_only_c_to_ab,5,1988224595,0.026953547466423967
no_topology_baseline,reverse_only_c_to_ab,reverse_only_c_to_ab,6,944655978,0.02993754693563956
no_topology_baseline,reverse_only_c_to_ab,reverse_only_c_to_ab,7,116242092,0.027435515648269904
no_topology_baseline,reverse_only_c_to_ab,reverse_only_c_to_ab,8,1298341987,0.029888153501920298
no_topology_baseline,reverse_only_c_to_ab,reverse_only_c_to_ab,9,1409611087,0.023751811333466294
no_topology_baseline,reverse_only_c_to_ab,reverse_only_c_to_ab,10,422258518,0.026164488724370005
no_topology_baseline,reverse_only_c_to_ab,reverse_only_c_to_ab,11,466960314,0.02320359321865014
no_topology_baseline,reverse_only_c_to_ab,reverse_only_c_to_ab,12,1730429477,0.02880657133567484
no_topology_baseline,reverse_only_c_to_ab,reverse_only_c_to_ab,13,812032837,0.029369061502098816
no_topology_baseline,reverse_only_c_to_ab,reverse_only_c_to_ab,14,90983932,0.02751609627923314
no_topology_baseline,reverse_only_c_to_ab,reverse_only_c_to_ab,15,789470145,0.022769675964677355
no_topology_baseline,reverse_only_c_to_ab,reverse_only_c_to_ab,16,535365760,0.028870297292666738
no_topology_baseline,reverse_only_c_to_ab,reverse_only_c_to_ab,17,638355670,0.023613277903882842
no_topology_baseline,reverse_only_c_to_ab,reverse_only_c_to_ab,18,1589500507,0.027019907626652368
no_topology_baseline,reverse_only_c_to_ab,reverse_only_c_to_ab,19,1897238664,0.028699866952115807
no_topology_baseline,reverse_only_c_to_ab,reverse_only_c_to_ab,20,1064506372,0.024995774033393234
no_topology_baseline,reverse_only_c_to_ab,reverse_only_c_to_ab,21,1732572767,0.023675398568935625
no_topology_baseline,reverse_only_c_to_ab,reverse_only_c_to_ab,22,2096024317,0.024680299933888084
no_topology_baseline,reverse_only_c_to_ab,reverse_only_c_to_ab,23,1264183016,0.030130477923814816
no_topology_baseline,reverse_only_c_to_ab,reverse_only_c_to_ab,24,504210036,0.027269869684410517
no_topology_baseline,reverse_only_c_to_ab,reverse_only_c_to_ab,25,1791474423,0.031159775827817447
no_topology_baseline,reverse_only_c_to_ab,reverse_only_c_to_ab,26,1200951211,0.02863417931363244
no_topology_baseline,reverse_only_c_to_ab,reverse_only_c_to_ab,27,564550053,0.01683780199412934
no_topology_baseline,reverse_only_c_to_ab,reverse_only_c_to_ab,28,47779782,0.0245743269067906
no_topology_baseline,reverse_only_c_to_ab,reverse_only_c_to_ab,29,115308549,0.024691946400784016
no_topology_baseline,reverse_only_c_to_ab,reverse_only_c_to_ab,30,1084143412,0.026146659095700443
no_topology_baseline,reverse_only_c_to_ab,reverse_only_c_to_ab,31,660806899,0.02218534507933559
no_topology_baseline,reverse_only_c_to_ab,reverse_only_c_to_ab,32,810894224,0.028721552614698817
no_topology_baseline,reverse_only_c_to_ab,reverse_only_c_to_ab,33,1393065958,0.023803676280582463
no_topology_baseline,reverse_only_c_to_ab,reverse_only_c_to_ab,34,545219650,0.025571596303900334
no_topology_baseline,reverse_only_c_to_ab,reverse_only_c_to_ab,35,1076496081,0.02263056155548906
no_topology_baseline,reverse_only_c_to_ab,reverse_only_c_to_ab,36,416808884,0.021552298695950472
no_topology_baseline,reverse_only_c_to_ab,reverse_only_c_to_ab,37,933729205,0.029580928531212306
no_topology_baseline,reverse_only_c_to_ab,reverse_only_c_to_ab,38,158166777,0.022091627814710624
no_topology_baseline,reverse_only_c_to_ab,reverse_only_c_to_ab,39,549814769,0.02887503360840553
no_topology_baseline,reverse_only_c_to_ab,reverse_only_c_to_ab,40,2011977993,0.028612737163940204
no_topology_baseline,reverse_only_c_to_ab,reverse_only_c_to_ab,41,794088395,0.027638175570868413
no_topology_baseline,reverse_only_c_to_ab,reverse_only_c_to_ab,42,1418693802,0.025424006673434738
no_topology_baseline,reverse_only_c_to_ab,reverse_only_c_to_ab,43,1044534541,0.02855148691616291
no_topology_baseline,reverse_only_c_to_ab,reverse_only_c_to_ab,44,456263285,0.024824639763354323
no_topology_baseline,reverse_only_c_to_ab,reverse_only_c_to_ab,45,182174700,0.027574179565243946
no_topology_baseline,reverse_only_c_to_ab,reverse_only_c_to_ab,46,2144122692,0.02477546410571906
no_topology_baseline,reverse_only_c_to_ab,reverse_only_c_to_ab,47,1789402613,0.026324555943678298
no_topology_baseline,full_self_consistent_rstar,full_self_consistent_rstar,0,393204537,0.023681351244253124
no_topology_baseline,full_self_consistent_rstar,full_self_consistent_rstar,1,1279148192,0.021818880484109796
no_topology_baseline,full_self_consistent_rstar,full_self_consistent_rstar,2,1088251785,0.022182273401362793
no_topology_baseline,full_self_consistent_rstar,full_self_consistent_rstar,3,2081188552,0.023313918723448585
no_topology_baseline,full_self_consistent_rstar,full_self_consistent_rstar,4,173094940,0.023339757996253013
no_topology_baseline,full_self_consistent_rstar,full_self_consistent_rstar,5,1988224595,0.02887294455935306
no_topology_baseline,full_self_consistent_rstar,full_self_consistent_rstar,6,944655978,0.026229059571057728
no_topology_baseline,full_self_consistent_rstar,full_self_consistent_rstar,7,116242092,0.02539756685336616
no_topology_baseline,full_self_consistent_rstar,full_self_consistent_rstar,8,1298341987,0.02722300913359151
no_topology_baseline,full_self_consistent_rstar,full_self_consistent_rstar,9,1409611087,0.022011361436655587
no_topology_baseline,full_self_consistent_rstar,full_self_consistent_rstar,10,422258518,0.025304172055984085
no_topology_baseline,full_self_consistent_rstar,full_self_consistent_rstar,11,466960314,0.021905104072750644
no_topology_baseline,full_self_consistent_rstar,full_self_consistent_rstar,12,1730429477,0.022150797764786262
no_topology_baseline,full_self_consistent_rstar,full_self_consistent_rstar,13,812032837,0.023516291882168087
no_topology_baseline,full_self_consistent_rstar,full_self_consistent_rstar,14,90983932,0.0246871740571403
no_topology_baseline,full_self_consistent_rstar,full_self_consistent_rstar,15,789470145,0.019641025913494665
no_topology_baseline,full_self_consistent_rstar,full_self_consistent_rstar,16,535365760,0.023262907681353345
no_topology_baseline,full_self_consistent_rstar,full_self_consistent_rstar,17,638355670,0.02160005944413599
no_topology_baseline,full_self_consistent_rstar,full_self_consistent_rstar,18,1589500507,0.02000409376761708
no_topology_baseline,full_self_consistent_rstar,full_self_consistent_rstar,19,1897238664,0.023954465468092972
no_topology_baseline,full_self_consistent_rstar,full_self_consistent_rstar,20,1064506372,0.02194844020027049
no_topology_baseline,full_self_consistent_rstar,full_self_consistent_rstar,21,1732572767,0.021162495053699854
no_topology_baseline,full_self_consistent_rstar,full_self_consistent_rstar,22,2096024317,0.019765666770653795
no_topology_baseline,full_self_consistent_rstar,full_self_consistent_rstar,23,1264183016,0.02581678883680326
no_topology_baseline,full_self_consistent_rstar,full_self_consistent_rstar,24,504210036,0.025998867292973737
no_topology_baseline,full_self_consistent_rstar,full_self_consistent_rstar,25,1791474423,0.026587243081245222
no_topology_baseline,full_self_consistent_rstar,full_self_consistent_rstar,26,1200951211,0.02677587299357952
no_topology_baseline,full_self_consistent_rstar,full_self_consistent_rstar,27,564550053,0.012033723885882287
no_topology_baseline,full_self_consistent_rstar,full_self_consistent_rstar,28,47779782,0.01920705615557422
no_topology_baseline,full_self_consistent_rstar,full_self_consistent_rstar,29,115308549,0.022670390111817075
no_topology_baseline,full_self_consistent_rstar,full_self_consistent_rstar,30,1084143412,0.02407716398299017
no_topology_baseline,full_self_consistent_rstar,full_self_consistent_rstar,31,660806899,0.02085269703580958
no_topology_baseline,full_self_consistent_rstar,full_self_consistent_rstar,32,810894224,0.023063043844907576
no_topology_baseline,full_self_consistent_rstar,full_self_consistent_rstar,33,1393065958,0.023797002866244855
no_topology_baseline,full_self_consistent_rstar,full_self_consistent_rstar,34,545219650,0.02115755878857112
no_topology_baseline,full_self_consistent_rstar,full_self_consistent_rstar,35,1076496081,0.018672282337005634
no_topology_baseline,full_self_consistent_rstar,full_self_consistent_rstar,36,416808884,0.019095305781388735
no_topology_baseline,full_self_consistent_rstar,full_self_consistent_rstar,37,933729205,0.022974659771925015
no_topology_baseline,full_self_consistent_rstar,full_self_consistent_rstar,38,158166777,0.02010131744660116
no_topology_baseline,full_self_consistent_rstar,full_self_consistent_rstar,39,549814769,0.024686663738322352
no_topology_baseline,full_self_consistent_rstar,full_self_consistent_rstar,40,2011977993,0.022766166195764447
no_topology_baseline,full_self_consistent_rstar,full_self_consistent_rstar,41,794088395,0.024848591065336934
no_topology_baseline,full_self_consistent_rstar,full_self_consistent_rstar,42,1418693802,0.02268885278507736
no_topology_baseline,full_self_consistent_rstar,full_self_consistent_rstar,43,1044534541,0.027332336278301752
no_topology_baseline,full_self_consistent_rstar,full_self_consistent_rstar,44,456263285,0.0252061311448537
no_topology_baseline,full_self_consistent_rstar,full_self_consistent_rstar,45,182174700,0.026095774415437697
no_topology_baseline,full_self_consistent_rstar,full_self_consistent_rstar,46,2144122692,0.02186621858174273
no_topology_baseline,full_self_consistent_rstar,full_self_consistent_rstar,47,1789402613,0.0213705539893949
no_topology_baseline,c_to_ab_receiver_only,receiver_only,0,393204537,0.027779651416928387
no_topology_baseline,c_to_ab_receiver_only,receiver_only,1,1279148192,0.02991057208162486
no_topology_baseline,c_to_ab_receiver_only,receiver_only,2,1088251785,0.03774456982864642
no_topology_baseline,c_to_ab_receiver_only,receiver_only,3,2081188552,0.02498680884951301
no_topology_baseline,c_to_ab_receiver_only,receiver_only,4,173094940,0.03234752294813855
no_topology_baseline,c_to_ab_receiver_only,receiver_only,5,1988224595,0.032789470446080854
no_topology_baseline,c_to_ab_receiver_only,receiver_only,6,944655978,0.03548726721017594
no_topology_baseline,c_to_ab_receiver_only,receiver_only,7,116242092,0.034886621224306955
no_topology_baseline,c_to_ab_receiver_only,receiver_only,8,1298341987,0.031278291988533255
no_topology_baseline,c_to_ab_receiver_only,receiver_only,9,1409611087,0.03257076568285163
no_topology_baseline,c_to_ab_receiver_only,receiver_only,10,422258518,0.03118567458189588
no_topology_baseline,c_to_ab_receiver_only,receiver_only,11,466960314,0.03287881383152832
no_topology_baseline,c_to_ab_receiver_only,receiver_only,12,1730429477,0.03214012334479745
no_topology_baseline,c_to_ab_receiver_only,receiver_only,13,812032837,0.030098646167788103
no_topology_baseline,c_to_ab_receiver_only,receiver_only,14,90983932,0.03169852794727299
no_topology_baseline,c_to_ab_receiver_only,receiver_only,15,789470145,0.029564302417988415
no_topology_baseline,c_to_ab_receiver_only,receiver_only,16,535365760,0.033796972287756966
no_topology_baseline,c_to_ab_receiver_only,receiver_only,17,638355670,0.03191541493076459
no_topology_baseline,c_to_ab_receiver_only,receiver_only,18,1589500507,0.03136452451107311
no_topology_baseline,c_to_ab_receiver_only,receiver_only,19,1897238664,0.03489508525699355
no_topology_baseline,c_to_ab_receiver_only,receiver_only,20,1064506372,0.03413972555542631
no_topology_baseline,c_to_ab_receiver_only,receiver_only,21,1732572767,0.036442045475671224
no_topology_baseline,c_to_ab_receiver_only,receiver_only,22,2096024317,0.03140507076546747
no_topology_baseline,c_to_ab_receiver_only,receiver_only,23,1264183016,0.03365997141348752
no_topology_baseline,c_to_ab_receiver_only,receiver_only,24,504210036,0.03640961207302355
no_topology_baseline,c_to_ab_receiver_only,receiver_only,25,1791474423,0.03503599707786508
no_topology_baseline,c_to_ab_receiver_only,receiver_only,26,1200951211,0.031176839717008215
no_topology_baseline,c_to_ab_receiver_only,receiver_only,27,564550053,0.025460716711600037
no_topology_baseline,c_to_ab_receiver_only,receiver_only,28,47779782,0.026875867328242285
no_topology_baseline,c_to_ab_receiver_only,receiver_only,29,115308549,0.033780288383178446
no_topology_baseline,c_to_ab_receiver_only,receiver_only,30,1084143412,0.03243830837133879
no_topology_baseline,c_to_ab_receiver_only,receiver_only,31,660806899,0.03467523819225786
no_topology_baseline,c_to_ab_receiver_only,receiver_only,32,810894224,0.033295572265952755
no_topology_baseline,c_to_ab_receiver_only,receiver_only,33,1393065958,0.03278359177387546
no_topology_baseline,c_to_ab_receiver_only,receiver_only,34,545219650,0.03574469304562512
no_topology_baseline,c_to_ab_receiver_only,receiver_only,35,1076496081,0.02363459914276525
no_topology_baseline,c_to_ab_receiver_only,receiver_only,36,416808884,0.029271674018192972
no_topology_baseline,c_to_ab_receiver_only,receiver_only,37,933729205,0.0360205152510626
no_topology_baseline,c_to_ab_receiver_only,receiver_only,38,158166777,0.031765783147995705
no_topology_baseline,c_to_ab_receiver_only,receiver_only,39,549814769,0.03346969990794674
no_topology_baseline,c_to_ab_receiver_only,receiver_only,40,2011977993,0.028862662651347563
no_topology_baseline,c_to_ab_receiver_only,receiver_only,41,794088395,0.031901201200506574
no_topology_baseline,c_to_ab_receiver_only,receiver_only,42,1418693802,0.029890942217749277
no_topology_baseline,c_to_ab_receiver_only,receiver_only,43,1044534541,0.03500773478853159
no_topology_baseline,c_to_ab_receiver_only,receiver_only,44,456263285,0.03312492476548807
no_topology_baseline,c_to_ab_receiver_only,receiver_only,45,182174700,0.0317993442779264
no_topology_baseline,c_to_ab_receiver_only,receiver_only,46,2144122692,0.03428636699269058
no_topology_baseline,c_to_ab_receiver_only,receiver_only,47,1789402613,0.03576923644462593
no_topology_baseline,c_to_ab_standpoint_only,standpoint_only,0,393204537,0.02238486345246346
no_topology_baseline,c_to_ab_standpoint_only,standpoint_only,1,1279148192,0.019520436934818967
no_topology_baseline,c_to_ab_standpoint_only,standpoint_only,2,1088251785,0.0199150346115519
no_topology_baseline,c_to_ab_standpoint_only,standpoint_only,3,2081188552,0.020380670256652755
no_topology_baseline,c_to_ab_standpoint_only,standpoint_only,4,173094940,0.022436326866635197
no_topology_baseline,c_to_ab_standpoint_only,standpoint_only,5,1988224595,0.02434461166949685
no_topology_baseline,c_to_ab_standpoint_only,standpoint_only,6,944655978,0.02531321424535544
no_topology_baseline,c_to_ab_standpoint_only,standpoint_only,7,116242092,0.02455982774697553
no_topology_baseline,c_to_ab_standpoint_only,standpoint_only,8,1298341987,0.025853560141207595
no_topology_baseline,c_to_ab_standpoint_only,standpoint_only,9,1409611087,0.021322378699900786
no_topology_baseline,c_to_ab_standpoint_only,standpoint_only,10,422258518,0.02172764789096495
no_topology_baseline,c_to_ab_standpoint_only,standpoint_only,11,466960314,0.021705671606648855
