topology_arm,representation_arm,arm_family,n_nodes,n_directed_edges,topology_notes,mean_bounded_differentiated_recovery,sd_bounded_differentiated_recovery,n_runs,n_seed_events
no_topology_baseline,reverse_only_c_to_ab,reverse_only_c_to_ab,12,0,12 nodes with no coupling edges,0.0261627856992807,0.0028064768666868135,48,132
no_topology_baseline,full_self_consistent_rstar,full_self_consistent_rstar,12,0,12 nodes with no coupling edges,0.022973230832148958,0.002869502300280169,48,132
no_topology_baseline,c_to_ab_receiver_only,receiver_only,12,0,12 nodes with no coupling edges,0.03223849687315643,0.003025357634571765,48,132
no_topology_baseline,c_to_ab_standpoint_only,standpoint_only,12,0,12 nodes with no coupling edges,0.021992484590130614,0.002752631584879856,48,132
no_topology_baseline,c_to_ab_magnitude_only,magnitude_only,12,0,12 nodes with no coupling edges,0.021992484590130614,0.002752631584879856,48,132
c12_1_2,reverse_only_c_to_ab,reverse_only_c_to_ab,12,48,primary Luke/D12RG normalized readout candidate,0.03218360082398938,0.0030078871291537934,48,132
c12_1_2,full_self_consistent_rstar,full_self_consistent_rstar,12,48,primary Luke/D12RG normalized readout candidate,0.028589149064657465,0.0030964327203865443,48,132
c12_1_2,c_to_ab_receiver_only,receiver_only,12,48,primary Luke/D12RG normalized readout candidate,0.03450021896579996,0.0024849197527209905,48,132
c12_1_2,c_to_ab_standpoint_only,standpoint_only,12,48,primary Luke/D12RG normalized readout candidate,0.026960639090658794,0.0033349120186100087,48,132
c12_1_2,c_to_ab_magnitude_only,magnitude_only,12,48,primary Luke/D12RG normalized readout candidate,0.026960639090658794,0.0033349120186100087,48,132
c12_reversed,reverse_only_c_to_ab,reverse_only_c_to_ab,12,48,"C12(1,2) with all directed arrows reversed",0.03233211327796304,0.002647084942322466,48,132
c12_reversed,full_self_consistent_rstar,full_self_consistent_rstar,12,48,"C12(1,2) with all directed arrows reversed",0.02912877191569173,0.0036015390016793,48,132
c12_reversed,c_to_ab_receiver_only,receiver_only,12,48,"C12(1,2) with all directed arrows reversed",0.034897009237106785,0.002109867289569478,48,132
c12_reversed,c_to_ab_standpoint_only,standpoint_only,12,48,"C12(1,2) with all directed arrows reversed",0.02640798460530355,0.0033506402219725968,48,132
c12_reversed,c_to_ab_magnitude_only,magnitude_only,12,48,"C12(1,2) with all directed arrows reversed",0.02640798460530355,0.0033506402219725968,48,132
c12_side_broken,reverse_only_c_to_ab,reverse_only_c_to_ab,12,48,degree-matched C12 side-correspondence-broken control,0.010421119269378798,0.002179354960186516,48,132
c12_side_broken,full_self_consistent_rstar,full_self_consistent_rstar,12,48,degree-matched C12 side-correspondence-broken control,0.007465887464648493,0.002741528695227201,48,132
c12_side_broken,c_to_ab_receiver_only,receiver_only,12,48,degree-matched C12 side-correspondence-broken control,0.016099510144288797,0.0026793503596504583,48,132
c12_side_broken,c_to_ab_standpoint_only,standpoint_only,12,48,degree-matched C12 side-correspondence-broken control,0.006824869950551323,0.002362179059191698,48,132
c12_side_broken,c_to_ab_magnitude_only,magnitude_only,12,48,degree-matched C12 side-correspondence-broken control,0.006824869950551323,0.002362179059191698,48,132
c12_shuffled,reverse_only_c_to_ab,reverse_only_c_to_ab,12,48,C12 capacity-preserving target-shuffled control,0.006036721695971977,0.002299564269763867,48,132
c12_shuffled,full_self_consistent_rstar,full_self_consistent_rstar,12,48,C12 capacity-preserving target-shuffled control,0.0009702637220128275,0.002747771851830957,48,132
c12_shuffled,c_to_ab_receiver_only,receiver_only,12,48,C12 capacity-preserving target-shuffled control,0.009362158413278069,0.002486644082898206,48,132
c12_shuffled,c_to_ab_standpoint_only,standpoint_only,12,48,C12 capacity-preserving target-shuffled control,0.0007701455546080838,0.0024310532433839305,48,132
c12_shuffled,c_to_ab_magnitude_only,magnitude_only,12,48,C12 capacity-preserving target-shuffled control,0.0007701455546080838,0.0024310532433839305,48,132
c10,reverse_only_c_to_ab,reverse_only_c_to_ab,10,40,"C10(1,2) neighbouring-cycle control",-0.0041283683871324766,0.002909817507391033,48,132
c10,full_self_consistent_rstar,full_self_consistent_rstar,10,40,"C10(1,2) neighbouring-cycle control",-0.003924315377017017,0.0025449118367776415,48,132
c10,c_to_ab_receiver_only,receiver_only,10,40,"C10(1,2) neighbouring-cycle control",-0.0031878479826135623,0.0039566138536611985,48,132
c10,c_to_ab_standpoint_only,standpoint_only,10,40,"C10(1,2) neighbouring-cycle control",-0.0056000644759287,0.0027824530635626636,48,132
c10,c_to_ab_magnitude_only,magnitude_only,10,40,"C10(1,2) neighbouring-cycle control",-0.0056000644759287,0.0027824530635626636,48,132
c11,reverse_only_c_to_ab,reverse_only_c_to_ab,11,44,"C11(1,2) neighbouring-cycle control",-0.007886826233803193,0.0034222854279244846,48,132
c11,full_self_consistent_rstar,full_self_consistent_rstar,11,44,"C11(1,2) neighbouring-cycle control",-0.009017594478295594,0.002617646499527613,48,132
c11,c_to_ab_receiver_only,receiver_only,11,44,"C11(1,2) neighbouring-cycle control",-0.004180644260822972,0.004449992657894439,48,132
c11,c_to_ab_standpoint_only,standpoint_only,11,44,"C11(1,2) neighbouring-cycle control",-0.006596881713606305,0.002535704364761674,48,132
c11,c_to_ab_magnitude_only,magnitude_only,11,44,"C11(1,2) neighbouring-cycle control",-0.006596881713606305,0.002535704364761674,48,132
c13,reverse_only_c_to_ab,reverse_only_c_to_ab,13,52,"C13(1,2) neighbouring-cycle control",-0.0030213144148561084,0.0025154539912430928,48,132
c13,full_self_consistent_rstar,full_self_consistent_rstar,13,52,"C13(1,2) neighbouring-cycle control",-0.00066133536788985,0.002566414564672706,48,132
