topology_arm,representation_arm,arm_family,n_nodes,n_directed_edges,topology_notes,mean_bounded_differentiated_recovery,sd_bounded_differentiated_recovery,n_runs,n_seed_events,base_topology,perturbation_kind,node_count_n,distance_from_12,signed_distance_from_12,is_odd,edge_count,is_ring_sharing,is_reversed,is_null
c8,reverse_only_c_to_ab,reverse_only,8,32,"C8(1,2) topology sweep",0.020511136598944428,0.005818956381035643,36,132,c8,sweep,8,4,-4,False,32,False,False,False
c8,full_self_consistent_rstar,full_self_consistent,8,32,"C8(1,2) topology sweep",0.015803599442451886,0.005490719782415021,36,132,c8,sweep,8,4,-4,False,32,False,False,False
c8,c_to_ab_receiver_only,receiver_only,8,32,"C8(1,2) topology sweep",0.025241519764627143,0.004337163840629678,36,132,c8,sweep,8,4,-4,False,32,False,False,False
c8,c_to_ab_magnitude_only,magnitude_only,8,32,"C8(1,2) topology sweep",0.01426392466954549,0.006146177479073515,36,132,c8,sweep,8,4,-4,False,32,False,False,False
c8,c_to_ab_standpoint_only,standpoint_only,8,32,"C8(1,2) topology sweep",0.01426392466954549,0.006146177479073515,36,132,c8,sweep,8,4,-4,False,32,False,False,False
c9,reverse_only_c_to_ab,reverse_only,9,36,"C9(1,2) topology sweep",-0.0006612569839876349,0.0029459656141976116,36,132,c9,sweep,9,3,-3,True,36,False,False,False
c9,full_self_consistent_rstar,full_self_consistent,9,36,"C9(1,2) topology sweep",-0.0008172588060351217,0.0033400717180704855,36,132,c9,sweep,9,3,-3,True,36,False,False,False
c9,c_to_ab_receiver_only,receiver_only,9,36,"C9(1,2) topology sweep",-0.0001048846759120338,0.0026889468594409912,36,132,c9,sweep,9,3,-3,True,36,False,False,False
c9,c_to_ab_magnitude_only,magnitude_only,9,36,"C9(1,2) topology sweep",-0.0013929442279614643,0.003272045453444779,36,132,c9,sweep,9,3,-3,True,36,False,False,False
c9,c_to_ab_standpoint_only,standpoint_only,9,36,"C9(1,2) topology sweep",-0.0013929442279614643,0.003272045453444779,36,132,c9,sweep,9,3,-3,True,36,False,False,False
c10,reverse_only_c_to_ab,reverse_only,10,40,"C10(1,2) topology sweep",-0.0047923825033816285,0.002738886067859046,36,132,c10,sweep,10,2,-2,False,40,False,False,False
c10,full_self_consistent_rstar,full_self_consistent,10,40,"C10(1,2) topology sweep",-0.004645945388917922,0.003470924075415277,36,132,c10,sweep,10,2,-2,False,40,False,False,False
c10,c_to_ab_receiver_only,receiver_only,10,40,"C10(1,2) topology sweep",-0.0026316867464844323,0.0037016847697183657,36,132,c10,sweep,10,2,-2,False,40,False,False,False
c10,c_to_ab_magnitude_only,magnitude_only,10,40,"C10(1,2) topology sweep",-0.005863005410348588,0.002968254751826054,36,132,c10,sweep,10,2,-2,False,40,False,False,False
