nearest_fraction,classification,n_hits,mean_abs_error,focus_fraction,n_gt_1,fraction_total_hits,class_hit_fraction
0/1,reverse-stable,18,0.002653672686056893,False,False,31,0.5806451612903226
1/1,reverse-stable,18,0.003758673527319894,False,False,29,0.6206896551724138
1/2,boundary,8,0.0018816864269269665,True,False,10,0.8
4/5,full-stable,8,0.0033638022584983884,False,True,10,0.8
0/1,boundary,7,0.0018693493725825809,False,False,31,0.22580645161290322
4/23,boundary,7,0.0019506291297721587,False,True,16,0.4375
1/1,boundary,6,0.0017142834155973914,False,False,29,0.20689655172413793
1/5,full-stable,6,0.0016351453814891597,False,False,8,0.75
1/9,boundary,6,0.00118045157828704,False,False,14,0.42857142857142855
1/9,reverse-stable,6,0.0002081860680479853,False,False,14,0.42857142857142855
15/17,reverse-stable,6,0.0016312519581016909,False,True,8,0.75
19/23,boundary,6,0.0010454882127760208,False,True,8,0.75
4/23,full-stable,6,0.0011213747042576095,False,True,16,0.375
4/9,boundary,6,0.0,False,True,7,0.8571428571428571
5/6,boundary,6,0.0033605382719484136,False,True,11,0.5454545454545454
5/9,boundary,6,0.0,False,True,7,0.8571428571428571
8/9,reverse-stable,6,0.00021804743003939198,False,True,14,0.42857142857142855
1/24,full-stable,5,0.005020485465922134,False,False,12,0.4166666666666667
1/7,boundary,5,0.0015684400079281624,False,False,10,0.5
1/8,boundary,5,0.0007120395233661536,False,False,9,0.5555555555555556
2/21,full-stable,5,0.0008198561649709584,False,True,8,0.625
23/24,full-stable,5,0.0047663872513848075,False,True,12,0.4166666666666667
4/11,full-stable,5,0.00267644447583687,False,True,6,0.8333333333333334
7/11,full-stable,5,0.0014100854440511456,False,True,9,0.5555555555555556
8/9,boundary,5,0.0012679217220181948,False,True,14,0.35714285714285715
0/1,full-stable,4,0.002952973619240361,False,False,31,0.12903225806451613
1/1,full-stable,4,0.002973449022123792,False,False,29,0.13793103448275862
1/12,full-stable,4,0.0003299660843130124,False,False,7,0.5714285714285714
1/13,boundary,4,0.0014518143412978052,False,False,5,0.8
1/14,boundary,4,0.001652290231581189,False,False,5,0.8
1/24,boundary,4,0.0012986078334570363,False,False,12,0.3333333333333333
1/6,boundary,4,0.002734350347099672,False,False,11,0.36363636363636365
1/6,full-stable,4,0.000306282744062171,False,False,11,0.36363636363636365
10/19,boundary,4,0.0014619883040936088,False,True,7,0.5714285714285714
11/12,full-stable,4,0.00032996608431296037,False,True,6,0.6666666666666666
11/14,full-stable,4,0.0014412237371150272,False,True,4,1.0
11/15,full-stable,4,0.0004711422642230678,False,True,4,1.0
14/17,full-stable,4,0.0003029630808680517,False,True,6,0.6666666666666666
17/20,full-stable,4,0.0025533939323809096,False,True,7,0.5714285714285714
23/24,boundary,4,0.0010738871232341407,False,True,12,0.3333333333333333
3/4,full-stable,4,0.002326031585941718,True,True,7,0.5714285714285714
4/21,full-stable,4,0.0037979869564005037,False,True,6,0.6666666666666666
5/19,full-stable,4,0.0009847030468376206,False,True,5,0.8
5/6,full-stable,4,0.0007314343906195953,False,True,11,0.36363636363636365
6/7,boundary,4,0.002313238628972203,False,True,6,0.6666666666666666
7/8,boundary,4,0.0006222452890786712,False,True,7,0.5714285714285714
9/19,boundary,4,0.0014619883040935533,False,True,6,0.6666666666666666
1/11,boundary,3,0.001144952596539119,False,False,3,1.0
1/24,reverse-stable,3,0.0013124006217034832,False,False,12,0.25
1/4,full-stable,3,0.0015735126938753636,True,False,9,0.3333333333333333
1/4,representation,3,0.0,True,False,9,0.3333333333333333
1/4,reverse-stable,3,0.0004284128047393569,True,False,9,0.3333333333333333
1/7,full-stable,3,0.0019004513274472983,False,False,10,0.3
1/8,full-stable,3,0.001995890500550037,False,False,9,0.3333333333333333
10/11,boundary,3,0.0010529850473405637,False,True,3,1.0
10/17,boundary,3,0.0008843029343490091,False,True,3,1.0
12/13,boundary,3,0.0011349115612023786,False,True,4,0.75
13/15,full-stable,3,0.0005796839683939922,False,True,4,0.75
13/18,reverse-stable,3,0.001423200426095561,False,True,3,1.0
13/22,reverse-stable,3,0.0024392409572771743,False,True,4,0.75
16/19,full-stable,3,0.0007733935266512523,False,True,7,0.42857142857142855
16/19,reverse-stable,3,0.0014602588395776772,False,True,7,0.42857142857142855
19/21,boundary,3,0.0015119972587612402,False,True,6,0.5
19/21,full-stable,3,0.00040054445158865803,False,True,6,0.5
2/15,full-stable,3,0.0008847426782223703,False,True,3,1.0
2/17,reverse-stable,3,0.001744244001765094,False,True,5,0.6
2/21,boundary,3,0.001670306837788386,False,True,8,0.375
2/23,boundary,3,0.0009648039254621146,False,True,4,0.75
2/3,boundary,3,0.004462334640794781,False,True,5,0.6
23/24,reverse-stable,3,0.0014000543812259976,False,True,12,0.25
3/14,full-stable,3,0.0004885516503213191,False,True,3,1.0
3/17,full-stable,3,0.0010655351368456893,False,True,3,1.0
3/19,boundary,3,0.0029190041543403025,False,True,5,0.6
3/20,full-stable,3,0.0007335764378300821,False,True,4,0.75
3/22,boundary,3,0.00096536938317023,False,True,7,0.42857142857142855
3/4,reverse-stable,3,0.00041134622971720586,True,True,7,0.42857142857142855
4/23,representation,3,0.0006845878441001929,False,True,16,0.1875
5/23,full-stable,3,0.0011902304350960846,False,True,3,1.0
5/7,full-stable,3,0.003189110063186229,False,True,3,1.0
8/9,full-stable,3,0.0001874190499057867,False,True,14,0.21428571428571427
9/10,full-stable,3,0.0021988153296668145,False,True,4,0.75
9/11,full-stable,3,0.0023731395269150912,False,True,3,1.0
0/1,representation,2,0.0,False,False,31,0.06451612903225806
1/12,boundary,2,0.0012828233981609788,False,False,7,0.2857142857142857
1/18,full-stable,2,0.0009541315304371009,False,False,4,0.5
1/18,reverse-stable,2,5.551115123125783e-17,False,False,4,0.5
1/2,full-stable,2,0.003886882566351585,True,False,10,0.2
1/3,boundary,2,0.0033461960163155835,False,False,4,0.5
1/3,reverse-stable,2,0.0015988112851776093,False,False,4,0.5
1/5,boundary,2,0.002727850190966108,False,False,8,0.25
1/6,representation,2,0.002408707699557436,False,False,11,0.18181818181818182
1/7,reverse-stable,2,0.0012431778185000297,False,False,10,0.2
