source,topology_arm,classification,representation_arm,comparison,metric,value,nearest_fraction,numerator,denominator,abs_error_to_fraction,is_close_to_fraction,is_focus_fraction,has_numerator_gt_1,tags
paired_boundary,c10_ring_share_5,boundary,,full_minus_reverse,full_win_fraction,0.5,1/2,1,2,0.0,True,True,False,c10_boundary_candidate|ring_sharing|ring_share_5|5_or_10_proxy|even_n
paired_boundary,c10_ring_share_5,boundary,,full_minus_reverse,reverse_win_fraction,0.5,1/2,1,2,0.0,True,True,False,c10_boundary_candidate|ring_sharing|ring_share_5|5_or_10_proxy|even_n
paired_boundary,c13_shuffled,boundary,,full_minus_reverse,full_win_fraction,0.5,1/2,1,2,0.0,True,True,False,c13_full_branch|odd_n
paired_boundary,c13_shuffled,boundary,,full_minus_reverse,reverse_win_fraction,0.5,1/2,1,2,0.0,True,True,False,c13_full_branch|odd_n
paired_boundary,c14_reversed,boundary,,full_minus_reverse,full_win_fraction,0.5,1/2,1,2,0.0,True,True,False,c14_transition_probe|reversed|even_n
paired_boundary,c14_reversed,boundary,,full_minus_reverse,reverse_win_fraction,0.5,1/2,1,2,0.0,True,True,False,c14_transition_probe|reversed|even_n
paired_boundary,c14_ring_share_7,reverse-stable,,full_minus_reverse,full_win_fraction,0.25,1/4,1,4,0.0,True,True,False,c14_transition_probe|ring_sharing|ring_share_7|x3_or_7mod12_proxy|even_n
paired_boundary,c14_ring_share_10,reverse-stable,,full_minus_reverse,full_win_fraction,0.25,1/4,1,4,0.0,True,True,False,c14_transition_probe|ring_sharing|ring_share_10|5_or_10_proxy|even_n
event_geometry,representation_events,representation,full_self_consistent_rstar,,full_self_consistent_rstar_top4_survivor_overlap_fraction,0.25,1/4,1,4,0.0,True,True,False,top4_overlap
event_geometry,representation_events,representation,c_to_ab_magnitude_only,,c_to_ab_magnitude_only_top4_survivor_overlap_fraction,0.25,1/4,1,4,0.0,True,True,False,top4_overlap
event_geometry,representation_events,representation,c_to_ab_standpoint_only,,c_to_ab_standpoint_only_top4_survivor_overlap_fraction,0.25,1/4,1,4,0.0,True,True,False,top4_overlap
paired_boundary,c14_ring_share_7,reverse-stable,,full_minus_reverse,reverse_win_fraction,0.75,3/4,3,4,0.0,True,True,True,c14_transition_probe|ring_sharing|ring_share_7|x3_or_7mod12_proxy|even_n
paired_boundary,c14_ring_share_10,reverse-stable,,full_minus_reverse,reverse_win_fraction,0.75,3/4,3,4,0.0,True,True,True,c14_transition_probe|ring_sharing|ring_share_10|5_or_10_proxy|even_n
readout_rank_scaled,c13_degree_null,full-stable,full_self_consistent_rstar,,readout_minmax_scaled,0.18179512710601084,2/11,2,11,2.3054712170983427e-05,True,True,True,c13_full_branch|odd_n
readout_rank_scaled,c10_side_broken,full-stable,c_to_ab_magnitude_only,,readout_minmax_scaled,0.24980280963710516,1/4,1,4,0.00019719036289483904,True,True,False,c10_boundary_candidate|5_or_10_proxy|even_n
readout_rank_scaled,c10_side_broken,full-stable,c_to_ab_standpoint_only,,readout_minmax_scaled,0.24980280963710516,1/4,1,4,0.00019719036289483904,True,True,False,c10_boundary_candidate|5_or_10_proxy|even_n
readout_deviation_from_c12,c12_degree_null,reverse-stable,full_self_consistent_rstar,,abs_deviation_from_c12_scaled,0.7487659613108484,3/4,3,4,0.0012340386891516175,True,True,True,c12_neighborhood|even_n
readout_rank_scaled,c12_degree_null,reverse-stable,full_self_consistent_rstar,,readout_minmax_scaled,0.24871476158578193,1/4,1,4,0.0012852384142180706,True,True,False,c12_neighborhood|even_n
readout_rank_scaled,c13_ring_share_7,full-stable,full_self_consistent_rstar,,readout_minmax_scaled,0.18346142141236987,2/11,2,11,0.0016432395941880507,True,True,True,c13_full_branch|ring_sharing|ring_share_7|x3_or_7mod12_proxy|odd_n
readout_deviation_from_c12,c10_side_broken,full-stable,c_to_ab_magnitude_only,,abs_deviation_from_c12_scaled,0.7482557131394216,3/4,3,4,0.0017442868605783701,True,True,True,c10_boundary_candidate|5_or_10_proxy|even_n
readout_deviation_from_c12,c10_side_broken,full-stable,c_to_ab_standpoint_only,,abs_deviation_from_c12_scaled,0.7482557131394216,3/4,3,4,0.0017442868605783701,True,True,True,c10_boundary_candidate|5_or_10_proxy|even_n
readout_deviation_from_c12,c14_shuffled,full-stable,full_self_consistent_rstar,,abs_deviation_from_c12_scaled,0.7518376822740837,3/4,3,4,0.0018376822740836518,True,True,True,c14_transition_probe|even_n
paired_boundary,c13,full-stable,,full_minus_reverse,abs_mean_delta_scaled,0.4973024663225964,1/2,1,2,0.0026975336774036074,True,True,False,c13_full_branch|odd_n
paired_boundary,c13_ring_share_7,full-stable,,full_minus_reverse,ci_width_scaled,0.7460221296514735,3/4,3,4,0.00397787034852648,True,True,True,c13_full_branch|ring_sharing|ring_share_7|x3_or_7mod12_proxy|odd_n
readout_rank_scaled,c14_shuffled,full-stable,full_self_consistent_rstar,,readout_minmax_scaled,0.2456738426441636,1/4,1,4,0.004326157355836413,True,True,False,c14_transition_probe|even_n
paired_boundary,c13_reversed,full-stable,,full_minus_reverse,ci_width_scaled,0.5050762314552996,1/2,1,2,0.0050762314552995624,True,True,False,c13_full_branch|reversed|odd_n
paired_boundary,c14_ring_share_5,boundary,,full_minus_reverse,ci_width_scaled,0.49281395920979604,1/2,1,2,0.0071860407902039625,True,True,False,c14_transition_probe|ring_sharing|ring_share_5|5_or_10_proxy|even_n
paired_boundary,c10_ring_share_5,boundary,,full_minus_reverse,ci_width_scaled,0.49213254937478823,1/2,1,2,0.00786745062521177,True,True,False,c10_boundary_candidate|ring_sharing|ring_share_5|5_or_10_proxy|even_n
paired_boundary,c10_side_broken,full-stable,,full_minus_reverse,reverse_win_fraction,0.0,0/1,0,1,0.0,True,False,False,c10_boundary_candidate|5_or_10_proxy|even_n
paired_boundary,c10_degree_null,reverse-stable,,full_minus_reverse,full_win_fraction,0.0,0/1,0,1,0.0,True,False,False,c10_boundary_candidate|5_or_10_proxy|even_n
paired_boundary,c12_ring_share_7,reverse-stable,,full_minus_reverse,full_win_fraction,0.0,0/1,0,1,0.0,True,False,False,c12_neighborhood|ring_sharing|ring_share_7|x3_or_7mod12_proxy|even_n
readout_deviation_from_c12,c12,reverse-stable,c_to_ab_magnitude_only,,abs_deviation_from_c12_scaled,0.0,0/1,0,1,0.0,True,False,False,c12_neighborhood|even_n
readout_rank_scaled,c10_ring_share_5,boundary,c_to_ab_magnitude_only,,readout_minmax_scaled,0.0,0/1,0,1,0.0,True,False,False,c10_boundary_candidate|ring_sharing|ring_share_5|5_or_10_proxy|even_n
readout_deviation_from_c12,c12,reverse-stable,c_to_ab_receiver_only,,abs_deviation_from_c12_scaled,0.0,0/1,0,1,0.0,True,False,False,c12_neighborhood|even_n
readout_rank_scaled,c10_side_broken,full-stable,c_to_ab_receiver_only,,readout_minmax_scaled,0.0,0/1,0,1,0.0,True,False,False,c10_boundary_candidate|5_or_10_proxy|even_n
readout_deviation_from_c12,c12,reverse-stable,c_to_ab_standpoint_only,,abs_deviation_from_c12_scaled,0.0,0/1,0,1,0.0,True,False,False,c12_neighborhood|even_n
