nearest_fraction,c_side_localization,n_hits,families
0/1,registered_c_side_target,23,diagnostic_fraction_only|full_carrier_projector_rank_candidate
0/1,five_or_ten_proxy_region,4,full_carrier_projector_rank_candidate
0/1,non_target_or_broad,4,full_carrier_projector_rank_candidate
1/1,registered_c_side_target,20,full_carrier_projector_rank_candidate
1/1,five_or_ten_proxy_region,4,full_carrier_projector_rank_candidate
1/1,non_target_or_broad,4,full_carrier_projector_rank_candidate
1/1,representation_event_geometry,1,diagnostic_fraction_only
1/10,five_or_ten_proxy_region,2,full_carrier_projector_rank_candidate
1/10,registered_c_side_target,1,diagnostic_fraction_only
1/11,registered_c_side_target,2,diagnostic_fraction_only
1/11,non_target_or_broad,1,full_carrier_projector_rank_candidate
1/12,registered_c_side_target,3,diagnostic_fraction_only|full_carrier_projector_rank_candidate
1/12,five_or_ten_proxy_region,2,diagnostic_fraction_only|punctured_carrier_projector_rank_candidate
1/12,non_target_or_broad,2,diagnostic_fraction_only
1/13,registered_c_side_target,4,diagnostic_fraction_only|punctured_carrier_projector_rank_candidate
1/13,non_target_or_broad,1,punctured_carrier_projector_rank_candidate
1/14,non_target_or_broad,2,diagnostic_fraction_only
1/14,registered_c_side_target,2,full_carrier_projector_rank_candidate
1/14,x3_or_7mod12_proxy_region,1,punctured_carrier_projector_rank_candidate
1/18,non_target_or_broad,3,diagnostic_fraction_only
1/18,registered_c_side_target,1,diagnostic_fraction_only
1/19,non_target_or_broad,1,diagnostic_fraction_only
1/2,registered_c_side_target,7,full_carrier_projector_rank_candidate|punctured_carrier_projector_rank_candidate
1/2,non_target_or_broad,3,punctured_carrier_projector_rank_candidate
1/20,five_or_ten_proxy_region,1,diagnostic_fraction_only
1/20,non_target_or_broad,1,diagnostic_fraction_only
1/23,five_or_ten_proxy_region,1,diagnostic_fraction_only
1/24,five_or_ten_proxy_region,6,diagnostic_fraction_only
1/24,non_target_or_broad,4,diagnostic_fraction_only
1/24,registered_c_side_target,1,diagnostic_fraction_only
1/24,x3_or_7mod12_proxy_region,1,diagnostic_fraction_only
1/3,registered_c_side_target,3,diagnostic_fraction_only|full_carrier_projector_rank_candidate
1/3,non_target_or_broad,1,diagnostic_fraction_only
1/4,registered_c_side_target,6,diagnostic_fraction_only|five_or_ten_proxy_fraction_diagnostic|full_carrier_projector_rank_candidate
1/4,five_or_ten_proxy_region,2,five_or_ten_proxy_fraction_diagnostic
1/4,non_target_or_broad,1,diagnostic_fraction_only
1/5,non_target_or_broad,5,diagnostic_fraction_only|punctured_carrier_projector_rank_candidate
1/5,registered_c_side_target,3,diagnostic_fraction_only
1/6,non_target_or_broad,4,diagnostic_fraction_only|punctured_carrier_projector_rank_candidate
1/6,registered_c_side_target,3,diagnostic_fraction_only
1/6,five_or_ten_proxy_region,2,diagnostic_fraction_only|punctured_carrier_projector_rank_candidate
1/6,x3_or_7mod12_proxy_region,2,diagnostic_fraction_only|punctured_carrier_projector_rank_candidate
1/7,registered_c_side_target,6,full_carrier_projector_rank_candidate
1/7,non_target_or_broad,2,full_carrier_projector_rank_candidate
1/7,x3_or_7mod12_proxy_region,2,diagnostic_fraction_only
1/8,registered_c_side_target,4,diagnostic_fraction_only
1/8,non_target_or_broad,3,diagnostic_fraction_only
1/8,five_or_ten_proxy_region,2,diagnostic_fraction_only
1/9,registered_c_side_target,9,diagnostic_fraction_only|punctured_carrier_projector_rank_candidate
1/9,five_or_ten_proxy_region,3,diagnostic_fraction_only|punctured_carrier_projector_rank_candidate
1/9,non_target_or_broad,2,diagnostic_fraction_only
10/11,registered_c_side_target,2,diagnostic_fraction_only
10/11,non_target_or_broad,1,full_carrier_projector_rank_candidate
10/13,non_target_or_broad,1,diagnostic_fraction_only
10/17,registered_c_side_target,3,diagnostic_fraction_only
10/19,non_target_or_broad,3,diagnostic_fraction_only
10/19,five_or_ten_proxy_region,2,diagnostic_fraction_only
10/19,registered_c_side_target,2,diagnostic_fraction_only
10/21,registered_c_side_target,1,diagnostic_fraction_only
11/12,five_or_ten_proxy_region,2,diagnostic_fraction_only|punctured_carrier_projector_rank_candidate
11/12,non_target_or_broad,2,diagnostic_fraction_only
11/12,registered_c_side_target,2,diagnostic_fraction_only|full_carrier_projector_rank_candidate
11/14,non_target_or_broad,4,diagnostic_fraction_only|full_carrier_projector_rank_candidate
11/15,non_target_or_broad,4,diagnostic_fraction_only
11/18,registered_c_side_target,2,diagnostic_fraction_only
11/19,five_or_ten_proxy_region,1,diagnostic_fraction_only
11/20,five_or_ten_proxy_region,1,diagnostic_fraction_only
11/20,non_target_or_broad,1,diagnostic_fraction_only
11/20,registered_c_side_target,1,diagnostic_fraction_only
11/21,registered_c_side_target,1,diagnostic_fraction_only
11/24,non_target_or_broad,1,diagnostic_fraction_only
12/13,registered_c_side_target,3,diagnostic_fraction_only|punctured_carrier_projector_rank_candidate
12/13,non_target_or_broad,1,punctured_carrier_projector_rank_candidate
12/23,five_or_ten_proxy_region,1,diagnostic_fraction_only
12/23,registered_c_side_target,1,diagnostic_fraction_only
13/14,registered_c_side_target,2,full_carrier_projector_rank_candidate
13/14,non_target_or_broad,1,diagnostic_fraction_only
13/15,non_target_or_broad,3,diagnostic_fraction_only|punctured_carrier_projector_rank_candidate
13/15,five_or_ten_proxy_region,1,diagnostic_fraction_only
13/16,non_target_or_broad,2,diagnostic_fraction_only
13/16,x3_or_7mod12_proxy_region,1,diagnostic_fraction_only
13/17,registered_c_side_target,1,diagnostic_fraction_only
13/18,registered_c_side_target,3,diagnostic_fraction_only
13/19,non_target_or_broad,1,diagnostic_fraction_only
13/22,registered_c_side_target,3,diagnostic_fraction_only
13/22,non_target_or_broad,1,diagnostic_fraction_only
13/24,five_or_ten_proxy_region,1,diagnostic_fraction_only
13/24,registered_c_side_target,1,diagnostic_fraction_only
14/17,non_target_or_broad,4,diagnostic_fraction_only
14/17,x3_or_7mod12_proxy_region,2,diagnostic_fraction_only
14/19,registered_c_side_target,2,diagnostic_fraction_only
14/19,five_or_ten_proxy_region,1,diagnostic_fraction_only
14/19,non_target_or_broad,1,diagnostic_fraction_only
15/17,registered_c_side_target,6,diagnostic_fraction_only
15/17,five_or_ten_proxy_region,1,diagnostic_fraction_only
15/17,non_target_or_broad,1,diagnostic_fraction_only
15/19,non_target_or_broad,2,diagnostic_fraction_only
15/22,non_target_or_broad,1,diagnostic_fraction_only
15/22,registered_c_side_target,1,diagnostic_fraction_only
15/23,non_target_or_broad,1,diagnostic_fraction_only
16/19,registered_c_side_target,3,diagnostic_fraction_only
16/19,non_target_or_broad,2,diagnostic_fraction_only
16/19,five_or_ten_proxy_region,1,diagnostic_fraction_only
16/19,x3_or_7mod12_proxy_region,1,diagnostic_fraction_only
16/23,non_target_or_broad,1,diagnostic_fraction_only
17/18,non_target_or_broad,3,diagnostic_fraction_only
17/18,registered_c_side_target,1,diagnostic_fraction_only
17/19,five_or_ten_proxy_region,1,diagnostic_fraction_only
17/19,non_target_or_broad,1,diagnostic_fraction_only
17/19,x3_or_7mod12_proxy_region,1,diagnostic_fraction_only
17/20,non_target_or_broad,3,diagnostic_fraction_only
17/20,registered_c_side_target,2,diagnostic_fraction_only
17/20,x3_or_7mod12_proxy_region,2,diagnostic_fraction_only
17/21,five_or_ten_proxy_region,2,diagnostic_fraction_only
17/21,non_target_or_broad,2,diagnostic_fraction_only
17/21,registered_c_side_target,1,diagnostic_fraction_only
17/22,non_target_or_broad,2,diagnostic_fraction_only
17/22,five_or_ten_proxy_region,1,diagnostic_fraction_only
17/22,registered_c_side_target,1,diagnostic_fraction_only
17/23,registered_c_side_target,1,diagnostic_fraction_only
17/24,non_target_or_broad,1,diagnostic_fraction_only
17/24,registered_c_side_target,1,diagnostic_fraction_only
18/19,non_target_or_broad,1,diagnostic_fraction_only
18/23,non_target_or_broad,3,diagnostic_fraction_only
19/20,non_target_or_broad,1,diagnostic_fraction_only
19/20,registered_c_side_target,1,diagnostic_fraction_only
19/21,five_or_ten_proxy_region,5,diagnostic_fraction_only
19/21,non_target_or_broad,1,diagnostic_fraction_only
19/22,registered_c_side_target,3,diagnostic_fraction_only
19/22,five_or_ten_proxy_region,1,diagnostic_fraction_only
19/23,non_target_or_broad,3,diagnostic_fraction_only
19/23,five_or_ten_proxy_region,2,diagnostic_fraction_only
19/23,registered_c_side_target,2,diagnostic_fraction_only
19/23,x3_or_7mod12_proxy_region,1,diagnostic_fraction_only
19/24,registered_c_side_target,2,diagnostic_fraction_only
2/11,non_target_or_broad,1,two_eleven_anomaly_not_c12_projector
2/11,x3_or_7mod12_proxy_region,1,two_eleven_anomaly_not_c12_projector
2/13,five_or_ten_proxy_region,1,full_carrier_projector_rank_candidate
2/13,non_target_or_broad,1,punctured_carrier_projector_rank_candidate
2/15,non_target_or_broad,3,diagnostic_fraction_only|punctured_carrier_projector_rank_candidate
2/17,registered_c_side_target,4,diagnostic_fraction_only
2/17,five_or_ten_proxy_region,1,diagnostic_fraction_only
2/19,registered_c_side_target,3,diagnostic_fraction_only
2/19,non_target_or_broad,1,diagnostic_fraction_only
2/19,x3_or_7mod12_proxy_region,1,diagnostic_fraction_only
2/21,five_or_ten_proxy_region,7,diagnostic_fraction_only
2/21,non_target_or_broad,1,diagnostic_fraction_only
2/23,registered_c_side_target,3,diagnostic_fraction_only
2/23,five_or_ten_proxy_region,1,diagnostic_fraction_only
2/3,registered_c_side_target,3,diagnostic_fraction_only|full_carrier_projector_rank_candidate
2/3,five_or_ten_proxy_region,1,punctured_carrier_projector_rank_candidate
2/3,non_target_or_broad,1,diagnostic_fraction_only
2/5,registered_c_side_target,3,diagnostic_fraction_only
2/9,registered_c_side_target,1,diagnostic_fraction_only
20/23,registered_c_side_target,4,diagnostic_fraction_only
20/23,non_target_or_broad,1,diagnostic_fraction_only
21/23,registered_c_side_target,3,diagnostic_fraction_only
21/23,five_or_ten_proxy_region,1,diagnostic_fraction_only
22/23,five_or_ten_proxy_region,1,diagnostic_fraction_only
