source,topology_arm,classification,representation_arm,comparison,metric,value,nearest_fraction,numerator,denominator,abs_error_to_fraction,is_close_to_fraction,is_focus_fraction,has_numerator_gt_1,tags,denominator_universe,raw_numerator,raw_denominator,raw_fraction,raw_count_recovered,carrier_dimension_R,reduced_fraction,c12_neighborhood,reversed_region,ring_share_region,survivor_strength_region,five_or_ten_proxy_region,x3_or_7mod12_proxy_region,boundary_or_reverse_side,reverse_side_readout,c_side_localization,c_side_localization_score,candidate_family,full_carrier_rank_integral,punctured_carrier_rank_integral,candidate_rank,projector_level,topology_compatibility_candidate,trace_determinant_candidate,basis
paired_boundary,c14_ring_share_7,reverse-stable,,full_minus_reverse,full_win_fraction,0.25,1/4,1,4,0.0,True,True,False,c14_transition_probe|ring_sharing|ring_share_7|x3_or_7mod12_proxy|even_n,paired_seed_runs,9,36,9/36,True,14,1/4,False,False,True,False,False,True,True,True,registered_c_side_target,3,diagnostic_fraction_only,False,False,,1,False,False,raw=9/36/paired_seed_runs
paired_boundary,c14_ring_share_10,reverse-stable,,full_minus_reverse,full_win_fraction,0.25,1/4,1,4,0.0,True,True,False,c14_transition_probe|ring_sharing|ring_share_10|5_or_10_proxy|even_n,paired_seed_runs,9,36,9/36,True,14,1/4,False,False,True,False,True,False,True,True,registered_c_side_target,3,five_or_ten_proxy_fraction_diagnostic,False,False,,1,False,False,raw=9/36/paired_seed_runs; 1/4 or 3/4 near 5/10 proxy
readout_rank_scaled,c12_degree_null,reverse-stable,full_self_consistent_rstar,,readout_minmax_scaled,0.2487147615857819,1/4,1,4,0.001285238414218,True,True,False,c12_neighborhood|even_n,topology_readout_scaled_metric,1,4,1/4,False,12,1/4,True,False,False,False,False,False,True,True,registered_c_side_target,3,full_carrier_projector_rank_candidate,True,False,3.0,3,True,True,topology_readout_scaled_metric; R=12; rank=3
event_geometry,representation_events,representation,full_self_consistent_rstar,,full_self_consistent_rstar_top4_survivor_overlap_fraction,0.25,1/4,1,4,0.0,True,True,False,top4_overlap,top4_survivor_overlap,1,4,1/4,True,0,1/4,False,False,False,True,False,False,False,False,registered_c_side_target,1,diagnostic_fraction_only,False,False,,1,False,False,raw=1/4/top4_survivor_overlap
event_geometry,representation_events,representation,c_to_ab_magnitude_only,,c_to_ab_magnitude_only_top4_survivor_overlap_fraction,0.25,1/4,1,4,0.0,True,True,False,top4_overlap,top4_survivor_overlap,1,4,1/4,True,0,1/4,False,False,False,True,False,False,False,False,registered_c_side_target,1,diagnostic_fraction_only,False,False,,1,False,False,raw=1/4/top4_survivor_overlap
event_geometry,representation_events,representation,c_to_ab_standpoint_only,,c_to_ab_standpoint_only_top4_survivor_overlap_fraction,0.25,1/4,1,4,0.0,True,True,False,top4_overlap,top4_survivor_overlap,1,4,1/4,True,0,1/4,False,False,False,True,False,False,False,False,registered_c_side_target,1,diagnostic_fraction_only,False,False,,1,False,False,raw=1/4/top4_survivor_overlap
readout_rank_scaled,c10_side_broken,full-stable,c_to_ab_magnitude_only,,readout_minmax_scaled,0.2498028096371051,1/4,1,4,0.0001971903628948,True,True,False,c10_boundary_candidate|5_or_10_proxy|even_n,topology_readout_scaled_metric,1,4,1/4,False,10,1/4,False,False,False,False,True,False,False,False,five_or_ten_proxy_region,0,five_or_ten_proxy_fraction_diagnostic,False,False,,1,False,False,topology_readout_scaled_metric; 1/4 or 3/4 near 5/10 proxy
readout_rank_scaled,c10_side_broken,full-stable,c_to_ab_standpoint_only,,readout_minmax_scaled,0.2498028096371051,1/4,1,4,0.0001971903628948,True,True,False,c10_boundary_candidate|5_or_10_proxy|even_n,topology_readout_scaled_metric,1,4,1/4,False,10,1/4,False,False,False,False,True,False,False,False,five_or_ten_proxy_region,0,five_or_ten_proxy_fraction_diagnostic,False,False,,1,False,False,topology_readout_scaled_metric; 1/4 or 3/4 near 5/10 proxy
readout_rank_scaled,c14_shuffled,full-stable,full_self_consistent_rstar,,readout_minmax_scaled,0.2456738426441636,1/4,1,4,0.0043261573558364,True,True,False,c14_transition_probe|even_n,topology_readout_scaled_metric,1,4,1/4,False,14,1/4,False,False,False,False,False,False,False,False,non_target_or_broad,0,diagnostic_fraction_only,False,False,,0,False,False,topology_readout_scaled_metric
readout_rank_scaled,c13_ring_share_7,full-stable,full_self_consistent_rstar,,readout_minmax_scaled,0.1834614214123698,2/11,2,11,0.001643239594188,True,True,True,c13_full_branch|ring_sharing|ring_share_7|x3_or_7mod12_proxy|odd_n,topology_readout_scaled_metric,2,11,2/11,False,13,2/11,False,False,True,False,False,True,False,False,x3_or_7mod12_proxy_region,1,two_eleven_anomaly_not_c12_projector,False,False,,0,False,False,topology_readout_scaled_metric; R=13; R*2/11=2.3636363636363638; (R-1)*2/11=2.1818181818181817
readout_rank_scaled,c13_degree_null,full-stable,full_self_consistent_rstar,,readout_minmax_scaled,0.1817951271060108,2/11,2,11,2.3054712170983427e-05,True,True,True,c13_full_branch|odd_n,topology_readout_scaled_metric,2,11,2/11,False,13,2/11,False,False,False,False,False,False,False,False,non_target_or_broad,0,two_eleven_anomaly_not_c12_projector,False,False,,0,False,False,topology_readout_scaled_metric; R=13; R*2/11=2.3636363636363638; (R-1)*2/11=2.1818181818181817
